file	line	env	label	title	section	snippet
main.tex	183	proposition	prop:final-package-shape-convention	Final package-shape convention	Scope and theoremization boundary.	For the current presentation package there is a single source-level package shape. The primary article is submission_abstract.tex; the selected technical supplement is main.tex; the selected bounded theorem-obligation ledger consists of theorem_inventory.json and theorem_inventory.md; and the selected supplemental support surface is the finite tuple theorem_inventory.json, theorem_inventory.md, and exact inclusion of review_bundle/ with the final digest record review_bundle/FINAL_DIGESTS_SHA256.
main.tex	232	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Scope and theoremization boundary.	Let $P^{+}_{6}$ denote the current row-frozen certificate state whose accepted rows are exactly $a_1,,a_6$ in Table~tab:current-acceptance-ledger. Let $P^{+}_{7}$ denote the enlarged submitted support state obtained by adjoining the single theorem-ledger row $a_7$ whose submitted coordinate is theorem_inventory.json. Then $P^{+}_{6} P^{+}_{7}$ as finite record surfaces, and the inclusion is conservative for the first six certificates: every acceptance decision, evidence level, assigned-gate fami
main.tex	297	definition	def:architecture-axis-map	Architecture-axis map	Architecture	The compiler architecture uses five disjoint evidence axes. An accepted claim may read evidence from an axis only at the admissible evidence level shown in the displayed axis map; the negative boundary in the last column is part of the claim certificate and cannot be discharged by prose from another axis. center tabularx{}{p{.16}p{.27}p{.27}X} Axis & Role in this paper & Admissible evidence & Negative boundary \\ BEDC source theory & finite-kernel theory, proof obligations, and implementation co
main.tex	336	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture	In any record-gate-sound package using Definition~def:architecture-axis-map, passage or evidence on one architecture axis cannot certify a load-bearing claim whose claim kind requires another axis. More precisely, if a claim certificate uses an axis $A$ but its stronger reading needs an evidence item or negative-boundary discharge listed only on a different axis $A'$, then the stronger reading is not accepted unless the package contains a separate submitted coordinate for $A'$ and the gates assi
main.tex	512	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture	For the pinned newmath repository path papers/bedc/parts/visions/audit_map_methodology/automated_theory_discovery_pipeline_calculus.tex at commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record is the complete imported interface used by this paper at the manual path-verified level and only at that level. Its extraction certificate is: manual line-range audit against the pinned file, mirrored in source_interface_record.json, extraction date 2026-06-01, and summary mode
main.tex	551	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture	Let $I$ be the imported discovery-gate interface certified by Lemma~lem:source-interface-extraction-correctness. Any later use of an imported source label in this paper is a consequence of $I$ only if it is a function of the finite fields recorded in Table~tab:source-interface-record: the source path, pinned commit, label, line range, extraction date, bounded summary, and evidence-level qualifier. A proposed stronger use---for example an exact import of the original source theorem statement, a f
main.tex	594	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture	The imported discovery-gate spine used in the finite-record interface theorem, Theorem~thm:publication-safety-interface, has a reviewer-facing source interface. Namely, the tuple consisting of the pinned local source path, commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record, source_interface_record.json, and the supplemental copy review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a0641767388a401883062aa522ea0b397b.tex is sufficient to
main.tex	624	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture	The source-interface table, its JSON mirror, and the bundled source snapshot give one record-level imported discovery-gate interface for the finite-record interface theorem, Theorem~thm:publication-safety-interface. The record fields are as follows: the source commit is 3fb3d6a0641767388a401883062aa522ea0b397b; the bundled snapshot is review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a0641767388a401883062aa522ea0b397b.tex; the finite comparison script is review_bu
main.tex	691	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture	Let $I_{ man}$ be the manual imported-source interface of Lemma~lem:source-interface-extraction-correctness, and let $I_{ exe}$ be the executable finite comparison of Proposition~prop:source-interface-record-file-consistency. In the finite-record safety interface of Theorem~thm:publication-safety-interface, the strongest imported discovery-gate premise available from $I_{ man}$ together with $I_{ exe}$ is exactly the following finite certificate: enumerate the imported source path and pinned sou
main.tex	756	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture	Every load-bearing occurrence in this manuscript of an imported discovery-gate label from Table~tab:source-interface-record factors through the bounded source-interface certificate of Theorem~thm:bounded-source-interface-maximality. Hence a downstream proof may use only the row's recorded path, pinned commit, label token, line range, extraction date, bounded summary, evidence-level qualifier, equality with source_interface_record.json, manifest agreement, and bundled-snapshot label containment. 
main.tex	790	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture	In the current source package, the citation bedc-newmath-source and the commit string 3fb3d6a0641767388a401883062aa522ea0b397b serve only as the public-source coordinate for the imported newmath workspace. The load-bearing source-interface premise used by Theorem~thm:publication-safety-interface remains the bundled finite record certified by Theorem~thm:bounded-source-interface-maximality: path, commit string, sixteen labels, line ranges, bounded summaries, JSON equality, manifest agreement, sna
main.tex	844	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture	For the present source package, any load-bearing statement containing the public source citation bedc-newmath-source and the pinned commit 3fb3d6a0641767388a401883062aa522ea0b397b factors through exactly the bounded coordinates of Theorem~thm:public-source-reachability-non-escalation. Thus the citation contributes only the public locator, pinned commit string, and the already-recorded bundled source-interface rows. It contributes neither a dated public fetch, nor a branch-membership proof, nor p
