173	187	proposition	prop:final-package-shape-convention	Problem and contribution		Final package-shape convention	For the current presentation package there is a single source-level package shape. The primary article is submission_abstract.tex; the local technical supplement is main.tex; the local bounded theorem-obligation ledger consists of theorem_inventory.json and theorem_inventory.md; and the local support surface is the finite tuple theorem_inventory.json, theorem_inventory.md, and review_bundle/ with the final digest record review_bundle/FINAL_DIGESTS_SHA256.md. The package records no DOI-bearing replacement, venue-upload receipt, final archive-equivalent byte-equality locator, or alternate external support directory. Consequently every bundle-backed support claim in this source is a local/path-
216	233	theorem	thm:nested-package-states	Problem and contribution		Nested six-row and seven-row package states	Let $P^{+}_{6}$ denote the current row-frozen certificate state whose accepted rows are exactly $a_1,,a_6$ in Table~tab:current-acceptance-ledger. Let $P^{+}_{7}$ denote the enlarged submitted support state obtained by adjoining the single theorem-ledger row $a_7$ whose submitted coordinate is theorem_inventory.json. Then $P^{+}_{6} P^{+}_{7}$ as finite record surfaces, and the inclusion is conservative for the first six certificates: every acceptance decision, evidence level, assigned-gate family, discovery-interface field, and command-boundary field of rows $a_1,,a_6$ is the same in $P^{+}_{6}$ and $P^{+}_{7}$. The only new accepted claim of $P^{+}_{7}$ is the bounded theorem-obligation le
281	318	definition	def:architecture-axis-map	Architecture		Architecture-axis map	The compiler architecture uses five disjoint evidence axes. An accepted claim may read evidence from an axis only at the admissible evidence level shown in the displayed axis map; the negative boundary in the last column is part of the claim certificate and cannot be discharged by prose from another axis. {}{p{.16}p{.27}p{.27}X} Axis & Role in this paper & Admissible evidence & Negative boundary \\ BEDC source theory & finite-kernel theory, proof obligations, and implementation contracts & pinned source paths, commits, imported labels, bounded summaries, and source-interface records & not a publication acceptance record, not a fresh rebuild, and not a complete BEDC exposition \\ Lean markers
320	334	proposition	prop:architecture-axis-non-escalation	Architecture		Axis non-escalation	In any record-gate-sound package using Definition~def:architecture-axis-map, passage or evidence on one architecture axis cannot certify a load-bearing claim whose claim kind requires another axis. More precisely, if a claim certificate uses an axis $A$ but its stronger reading needs an evidence item or negative-boundary discharge listed only on a different axis $A'$, then the stronger reading is not accepted unless the package contains a separate submitted coordinate for $A'$ and the gates assigned to that coordinate pass. Consequently Theorem~thm:publication-safety-interface constructs only finite publication certificates whose axis coordinates are explicitly present in the submitted suppo
364	414	theorem	thm:presentation-compressed-interface	Architecture		Presentation-route compressed interface	Fix a presentation-only package whose architecture axes are those of Definition~def:architecture-axis-map. Suppose its load-bearing claims are checked only through the finite submitted surface $S$, acceptance ledger $L$, dispatch table $$, and verifier tuple \( C(c)=(K,,E,H,R,D,B)\) of Definition~def:operational-acceptance-interface, and suppose the package satisfies the record-gate-soundness hypothesis used in Theorem~thm:publication-safety-interface. Then its whole presentation claim factors through the following five-coordinate interface: \[ _{pres}(S,L,)= (Axis,RGS,Cert, Bad,Boundary), \] where \(Axis\) is the five-axis map, \(RGS\) is the finite record-gate-soundness predicate, \(Cert\)
594	611	lemma	lem:source-interface-extraction-correctness	Architecture		Manual bounded source-interface extraction correctness	For the pinned newmath repository path papers/bedc/parts/visions/audit_map_methodology/automated_theory_discovery_pipeline_calculus.tex at commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record is the complete imported interface used by this paper at the manual path-verified level and only at that level. Its extraction certificate is: manual line-range audit against the pinned file, mirrored in source_interface_record.json, extraction date 2026-06-01, and summary mode ``bounded paraphrase'' rather than replacement of the full source statements. Consequently every use below of an imported discovery-gate label is limited to the corresponding row's path, commit, labe
633	649	proposition	prop:manual-source-interface-non-escalation	Architecture		Manual source-interface non-escalation	Let $I$ be the imported discovery-gate interface certified by Lemma~lem:source-interface-extraction-correctness. Any later use of an imported source label in this paper is a consequence of $I$ only if it is a function of the finite fields recorded in Table~tab:source-interface-record: the source path, pinned commit, label, line range, extraction date, bounded summary, and evidence-level qualifier. A proposed stronger use---for example an exact import of the original source theorem statement, a fresh BEDC or Lean rebuild, an axiom-purity statement, or a semantic validation of the imported source theorem---is accepted by the finite-record safety interface only after the submitted record surfac
676	689	proposition	prop:reviewable-source-snapshot-interface	Architecture		Reviewable source-snapshot interface	The imported discovery-gate spine used in the finite-record interface theorem, Theorem~thm:publication-safety-interface, has a reviewer-facing source interface. Namely, the tuple consisting of the pinned local source path, commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record, source_interface_record.json, and the supplemental copy review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a0641767388a401883062aa522ea0b397b.tex is sufficient to inspect every imported source label used by this paper at the path-verified evidence level. The distribution mode for review is supplemental upload of review_bundle/ with the presentation-only submis
706	735	proposition	prop:source-interface-record-file-consistency	Architecture		Executable source-interface record comparison	The source-interface table, its JSON mirror, and the bundled source snapshot give one record-level imported discovery-gate interface for the finite-record interface theorem, Theorem~thm:publication-safety-interface. The record fields are as follows: the source commit is 3fb3d6a0641767388a401883062aa522ea0b397b; the bundled snapshot is review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a0641767388a401883062aa522ea0b397b.tex; the finite comparison script is review_bundle/verify_source_interface_record.py; the recorded successful comparison log is review_bundle/source_interface_verification_run.log; the recorded SHA-256 digest checked by the script is a492900222dd
773	802	theorem	thm:bounded-source-interface-maximality	Architecture		Bounded source-interface maximality	Let $I_{ man}$ be the manual imported-source interface of Lemma~lem:source-interface-extraction-correctness, and let $I_{ exe}$ be the executable finite comparison of Proposition~prop:source-interface-record-file-consistency. In the finite-record safety interface of Theorem~thm:publication-safety-interface, the strongest imported discovery-gate premise available from $I_{ man}$ together with $I_{ exe}$ is exactly the following finite certificate: the imported source path and pinned source commit; the sixteen ordered labels, line ranges, extraction date, and bounded statement summaries in Table~tab:source-interface-record; equality of those ordered triples with source_interface_record.json; a
