# python_version	sympy_version
# 3.10.11	1.13.1
n	F_n	factorization
2	1	1
3	2	2
4	3	3
5	5	5
6	8	2^3
7	13	13
8	21	3*7
9	34	2*17
10	55	5*11
11	89	89
12	144	2^4*3^2
13	233	233
14	377	13*29
15	610	2*5*61
16	987	3*7*47
17	1597	1597
18	2584	2^3*17*19
19	4181	37*113
20	6765	3*5*11*41
21	10946	2*13*421
22	17711	89*199
23	28657	28657
24	46368	2^5*3^2*7*23
25	75025	5^2*3001
26	121393	233*521
27	196418	2*17*53*109
28	317811	3*13*29*281
29	514229	514229
30	832040	2^3*5*11*31*61
31	1346269	557*2417
32	2178309	3*7*47*2207
33	3524578	2*89*19801
34	5702887	1597*3571
35	9227465	5*13*141961
36	14930352	2^4*3^3*17*19*107
37	24157817	73*149*2221
38	39088169	37*113*9349
39	63245986	2*233*135721
40	102334155	3*5*7*11*41*2161
41	165580141	2789*59369
42	267914296	2^3*13*29*211*421
43	433494437	433494437
44	701408733	3*43*89*199*307
45	1134903170	2*5*17*61*109441
46	1836311903	139*461*28657
47	2971215073	2971215073
48	4807526976	2^6*3^2*7*23*47*1103
49	7778742049	13*97*6168709
50	12586269025	5^2*11*101*151*3001
51	20365011074	2*1597*6376021
52	32951280099	3*233*521*90481
53	53316291173	953*55945741
54	86267571272	2^3*17*19*53*109*5779
55	139583862445	5*89*661*474541
56	225851433717	3*7^2*13*29*281*14503
57	365435296162	2*37*113*797*54833
58	591286729879	59*19489*514229
59	956722026041	353*2710260697
60	1548008755920	2^4*3^2*5*11*31*41*61*2521
61	2504730781961	4513*555003497
62	4052739537881	557*2417*3010349
63	6557470319842	2*13*17*421*35239681
64	10610209857723	3*7*47*1087*2207*4481
65	17167680177565	5*233*14736206161
66	27777890035288	2^3*89*199*9901*19801
67	44945570212853	269*116849*1429913
68	72723460248141	3*67*1597*3571*63443
69	117669030460994	2*137*829*18077*28657
70	190392490709135	5*11*13*29*71*911*141961
71	308061521170129	6673*46165371073
72	498454011879264	2^5*3^3*7*17*19*23*107*103681
73	806515533049393	9375829*86020717
74	1304969544928657	73*149*2221*54018521
75	2111485077978050	2*5^2*61*3001*230686501
76	3416454622906707	3*37*113*9349*29134601
77	5527939700884757	13*89*988681*4832521
78	8944394323791464	2^3*79*233*521*859*135721
79	14472334024676221	157*92180471494753
80	23416728348467685	3*5*7*11*41*47*1601*2161*3041
81	37889062373143906	2*17*53*109*2269*4373*19441
82	61305790721611591	2789*59369*370248451
83	99194853094755497	99194853094755497
84	160500643816367088	2^4*3^2*13*29*83*211*281*421*1427
85	259695496911122585	5*1597*9521*3415914041
86	420196140727489673	6709*144481*433494437
87	679891637638612258	2*173*514229*3821263937
88	1100087778366101931	3*7*43*89*199*263*307*881*967
89	1779979416004714189	1069*1665088321800481
90	2880067194370816120	2^3*5*11*17*19*31*61*181*541*109441
91	4660046610375530309	13^2*233*741469*159607993
92	7540113804746346429	3*139*461*4969*28657*275449
93	12200160415121876738	2*557*2417*4531100550901
94	19740274219868223167	2971215073*6643838879
95	31940434634990099905	5*37*113*761*29641*67735001
96	51680708854858323072	2^7*3^2*7*23*47*769*1103*2207*3167
97	83621143489848422977	193*389*3084989*361040209
98	135301852344706746049	13*29*97*6168709*599786069
99	218922995834555169026	2*17*89*197*19801*18546805133
100	354224848179261915075	3*5^2*11*41*101*151*401*3001*570601
101	573147844013817084101	743519377*770857978613
102	927372692193078999176	2^3*919*1597*3469*3571*6376021
103	1500520536206896083277	519121*5644193*512119709
104	2427893228399975082453	3*7*103*233*521*90481*102193207
105	3928413764606871165730	2*5*13*61*421*141961*8288823481
106	6356306993006846248183	953*55945741*119218851371
107	10284720757613717413913	1247833*8242065050061761
108	16641027750620563662096	2^4*3^4*17*19*53*107*109*5779*11128427
109	26925748508234281076009	827728777*32529675488417
110	43566776258854844738105	5*11^2*89*199*331*661*39161*474541
111	70492524767089125814114	2*73*149*2221*1459000305513721
112	114059301025943970552219	3*7^2*13*29*47*281*14503*10745088481
113	184551825793033096366333	677*272602401466814027129
114	298611126818977066918552	2^3*37*113*229*797*9349*54833*95419
115	483162952612010163284885	5*1381*28657*2441738887963981
116	781774079430987230203437	3*59*347*19489*514229*1270083883
117	1264937032042997393488322	2*17*233*29717*135721*39589685693
118	2046711111473984623691759	353*709*8969*336419*2710260697
119	3311648143516982017180081	13*1597*159512939815855788121
120	5358359254990966640871840	2^5*3^2*5*7*11*23*31*41*61*241*2161*2521*20641
121	8670007398507948658051921	89*97415813466381445596089
122	14028366653498915298923761	4513*555003497*5600748293801
123	22698374052006863956975682	2*2789*59369*68541957733949701
124	36726740705505779255899443	3*557*2417*3010349*3020733700601
125	59425114757512643212875125	5^3*3001*158414167964045700001
126	96151855463018422468774568	2^3*13*17*19*29*211*421*1009*31249*35239681
127	155576970220531065681649693	27941*5568053048227732210073
128	251728825683549488150424261	3*7*47*127*1087*2207*4481*186812208641
129	407305795904080553832073954	2*257*5417*8513*39639893*433494437
130	659034621587630041982498215	5*11*131*233*521*2081*24571*14736206161
131	1066340417491710595814572169	1066340417491710595814572169
132	1725375039079340637797070384	2^4*3^2*43*89*199*307*9901*19801*261399601
133	2791715456571051233611642553	13*37*113*3457*42293*351301301942501
134	4517090495650391871408712937	269*4021*116849*1429913*24994118449
135	7308805952221443105020355490	2*5*17*53*61*109*109441*1114769954367361
136	11825896447871834976429068427	3*7*67*1597*3571*63443*23230657239121
137	19134702400093278081449423917	19134702400093278081449423917
138	30960598847965113057878492344	2^3*137*139*461*691*829*18077*28657*1485571
139	50095301248058391139327916261	277*2114537501*85526722937689093
140	81055900096023504197206408605	3*5*11*13*29*41*71*281*911*141961*12317523121
141	131151201344081895336534324866	2*108289*1435097*142017737*2971215073
142	212207101440105399533740733471	6673*46165371073*688846502588399
143	343358302784187294870275058337	89*233*8581*1929584153756850496621
144	555565404224292694404015791808	2^6*3^3*7*17*19*23*47*107*1103*103681*10749957121
145	898923707008479989274290850145	5*514229*349619996930737079890201
146	1454489111232772683678306641953	151549*9375829*86020717*11899937029
147	2353412818241252672952597492098	2*13*97*293*421*3529*6168709*347502052673
148	3807901929474025356630904134051	3*73*149*2221*11987*54018521*81143477963
149	6161314747715278029583501626149	110557*162709*4000949*85607646594577
150	9969216677189303386214405760200	2^3*5^2*11*31*61*101*151*3001*12301*18451*230686501
151	16130531424904581415797907386349	5737*2811666624525811646469915877
