158	proposition	Final package-shape convention	prop:final-package-shape-convention	Problem and contribution
208	theorem	Nested six-row and seven-row package states	thm:nested-package-states	Problem and contribution
273	definition	Architecture-axis map	def:architecture-axis-map	Architecture
312	proposition	Axis non-escalation	prop:architecture-axis-non-escalation	Architecture
472	lemma	Manual bounded source-interface extraction correctness	lem:source-interface-extraction-correctness	Architecture
511	proposition	Manual source-interface non-escalation	prop:manual-source-interface-non-escalation	Architecture
554	proposition	Reviewable source-snapshot interface	prop:reviewable-source-snapshot-interface	Architecture
584	proposition	Executable source-interface record comparison	prop:source-interface-record-file-consistency	Architecture
653	proposition	Source-interface evidence-level separation	prop:source-interface-evidence-level-separation	Architecture
741	definition	Operational acceptance interface	def:operational-acceptance-interface	Abstract finite-record interface
922	definition	Record-gate soundness external interface	def:record-gate-soundness-external-interface	Abstract finite-record interface
954	proposition	Record-gate interface equivalence and non-claim boundary	prop:record-gate-soundness-external-interface-exactness	Abstract finite-record interface
998	definition	Stronger-reading preorder	def:stronger-reading-preorder	Abstract finite-record interface
1022	definition	Certificate-schema acceptance table	def:certificate-schema-acceptance-table	Abstract finite-record interface
1062	proposition	Finite certificate schema verifier as a record check	prop:finite-certificate-schema-verifier	Abstract finite-record interface
1128	theorem	Verifier input--predicate--output contract	thm:verifier-input-output-contract	Abstract finite-record interface
1195	theorem	Finite verifier normal form	thm:finite-verifier-normal-form	Abstract finite-record interface
1262	theorem	Schema-relative finite-record acceptance exactness	thm:record-acceptance-exactness	Abstract finite-record interface
1322	corollary	Executable schema exactness and negative fixture	cor:executable-schema-exactness-negative-fixture	Abstract finite-record interface
1361	theorem	Finite-coordinate determination and trust-boundary classifier	thm:finite-coordinate-determination-boundary	Abstract finite-record interface
1423	proposition	Machine-readable certificate records	prop:machine-readable-certificate-records	Abstract finite-record interface
1525	theorem	Executable record non-escalation	thm:executable-record-non-escalation	Abstract finite-record interface
1583	theorem	Executable certificate-construction invariant	thm:executable-certificate-construction-invariant	Abstract finite-record interface
1651	proposition	Deterministic claim-kind dispatch	prop:claim-kind-dispatch	Abstract finite-record interface
1672	theorem	Mixed-claim projection obstruction	thm:mixed-claim-projection-obstruction	Abstract finite-record interface
