  176	proposition	prop:final-package-shape-convention	Final package-shape convention
  225	theorem	thm:nested-package-states	Nested six-row and seven-row package states
  290	definition	def:architecture-axis-map	Architecture-axis map
  329	proposition	prop:architecture-axis-non-escalation	Axis non-escalation
  505	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness
  544	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation
  587	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface
  617	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison
  684	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality
  749	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation
  803	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness
  841	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction
  899	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation
  990	definition	def:operational-acceptance-interface	Operational acceptance interface
 1171	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface
 1203	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary
 1247	definition	def:stronger-reading-preorder	Stronger-reading preorder
 1271	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table
 1311	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check
 1377	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract
 1444	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness
 1502	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form
 1578	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness
 1638	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture
 1677	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier
 1739	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point
 1839	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction
 1895	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness
 1934	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records
 2036	theorem	thm:executable-record-non-escalation	Executable record non-escalation
 2094	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant
 2162	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch
 2183	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction
 2246	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary
 2344	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary
 2354	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary
 2423	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton
 2524	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form
 2611	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine
 2688	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain
 2755	proposition	prop:gate-interface-separation	Gate-interface separation
 2779	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence
 2827	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating
 2904	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation
 2948	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness
 3159	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity
 3241	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation
 3377	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton
 3483	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package
 3602	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction
 3712	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound
 3851	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor
 3915	proposition	prop:publication-safety-maximality	Finite-record maximality
 3959	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance
 4008	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness
 4055	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings
 4141	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy
 4190	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade
 4290	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger
 4400	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness
 4524	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary
 4603	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance
 4645	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity
 4738	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation
 4804	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification
 4914	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation
 5017	lemma	lem:gate-witness-criterion	Gate-witness criterion
 5042	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses
 5170	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage
 5229	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity
 5372	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion
 5415	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation
 5459	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation
 5489	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement
 5538	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation
 5589	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate
 5660	proposition	audit:submission-artifact-role-separation	Submission artifact role separation
 5752	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation
 5819	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction
 5860	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction
 5935	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface
 6055	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses
 6130	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification
 6195	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion
 6267	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map
 6516	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization
 6560	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator criterion
 6622	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test
 6676	theorem	thm:final-support-surface-closure	Final support-surface closure
 6798	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation
 6891	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims
 6958	theorem	thm:support-surface-invariant-compression	Support-surface invariant compression
 7023	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary
 7066	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record
 7089	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records
 7133	proposition	prop:upload-or-archive-instantiation-update-protocol	Upload-or-archive instantiation update protocol
 7224	corollary	cor:current-no-receipt-support-surface-non-escalation	Current no-receipt support-surface non-escalation
 7277	corollary	cor:fresh-inventory-digest-instance-this-source-state	Fresh inventory digest instance for this source state
 7309	theorem	thm:digest-closure-refresh-criterion	Digest-closure refresh criterion for final package claims
 7378	theorem	thm:submission-support-refresh-rigidity	Submission support refresh rigidity
 7450	proposition	prop:primary-architectural-fallback-without-external-support	Primary architectural fallback without external support
 7516	theorem	thm:deterministic-theorem-environment-extractor-boundary	Deterministic theorem-environment extractor boundary
 7563	theorem	thm:extractor-domain-exactness-non-gluing	Extractor-domain exactness and non-gluing
 7624	theorem	thm:final-byte-extractor-inventory-inclusion	Final-byte extractor inventory inclusion
 7694	theorem	thm:theorem-inventory-proofchecker-obstruction	Theorem-inventory proof-checker obstruction
 7742	theorem	prop:manual-theorem-inventory-boundary	Theorem-inventory boundary
 7794	proposition	prop:regenerated-theorem-inventory-digest-closure	Regenerated theorem-inventory digest closure
 7843	corollary	cor:current-theorem-inventory-digest-instance	Current theorem-inventory digest instance
 7879	proposition	prop:post-inventory-fixed-point-support-certificate	Post-inventory fixed-point support certificate
 7936	theorem	thm:post-inventory-finite-record-realization	Post-inventory finite-record realization
 8001	theorem	thm:theorem-obligation-ledger-boundary	Seven-row submitted theorem-obligation ledger integration
 8073	proposition	prop:post-inventory-support-tuple-extraction-certificate	Post-inventory support-tuple extraction certificate
 8115	proposition	prop:submitted-theorem-inventory-availability	Submitted theorem-inventory availability
 8141	proposition	prop:submission-support-instantiation-field-normal-form	Submission-support instantiation field normal form
 8197	corollary	cor:current-local-support-normal-form	Current local-support normal form
 8252	proposition	audit:review-bundle-availability-condition	Review-bundle availability condition
 8306	proposition	audit:case-snapshot-non-rerun-boundary	Case-snapshot non-rerun boundary
 8337	theorem	thm:finite-row-case-evidence-closure	Finite-row closure of case evidence
 8390	corollary	cor:current-case-behaviour-evidence-criterion	Current case-behaviour evidence criterion
 8447	proposition	audit:command-run-boundary-inventory	Command-run boundary inventory
 8540	theorem	thm:post-edit-rerun-metadata-gate	Post-edit rerun metadata gate
 8582	theorem	thm:final-local-support-state-reconciliation	Final four-interface maximality and support-state reconciliation
 8730	theorem	thm:presentation-route-five-interface-sharpness	Presentation-route five-interface sharpness
 8878	theorem	thm:presentation-route-stronger-reading-classifier	Presentation-route stronger-reading classifier
 8991	corollary	cor:presentation-summary-non-escalation	Presentation-summary non-escalation
 9051	theorem	thm:submission-support-fixed-point-normal-form	Machine-checkable support-coordinate fixed-point normal form
 9119	theorem	thm:post-inventory-support-coordinate-dichotomy	Post-inventory support-coordinate dichotomy
 9175	proposition	prop:final-refreshed-coordinate-instantiation	Final refreshed-coordinate instantiation
 9221	theorem	thm:post-inventory-package-fixed-point	Post-inventory support-coordinate fixed point
 9320	corollary	cor:current-post-inventory-realization	Current post-inventory realization
 9357	theorem	thm:current-inventory-artifact-realization	Current inventory support-coordinate realization
 9449	theorem	thm:current-command-result-closure	Current command-result closure
 9495	corollary	cor:current-post-inventory-support-tuple-instantiation	Current post-inventory support tuple instantiation
 9543	corollary	cor:stable-replay-post-inventory-tuple	Byte-level stable replay criterion for the post-inventory tuple
 9592	proposition	prop:post-inventory-freshness-obstruction	Post-inventory freshness obstruction
 9632	proposition	prop:three-coordinate-submission-support-closure	Three-coordinate submission-support closure
 9697	corollary	cor:local-fixed-point-external-boundary	Local fixed point and external-support boundary
 9748	proposition	prop:current-absence-external-support-surface-instantiation	Current absence of external support-surface instantiation
 9805	theorem	thm:four-coordinate-submission-support-skeleton	Four-coordinate submission-support skeleton
COUNT 139
