### main.tex
176-195	proposition	prop:final-package-shape-convention	Final package-shape convention
225-242	theorem	thm:nested-package-states	Nested six-row and seven-row package states
290-327	definition	def:architecture-axis-map	Architecture-axis map
329-343	proposition	prop:architecture-axis-non-escalation	Axis non-escalation
505-522	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness
544-560	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation
587-600	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface
617-646	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison
684-713	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality
749-762	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows
783-801	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation
837-851	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness
875-895	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction
933-949	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation
1024-1203	definition	def:operational-acceptance-interface	Operational acceptance interface
1205-1235	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface
1237-1249	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary
1281-1303	definition	def:stronger-reading-preorder	Stronger-reading preorder
1305-1343	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table
1345-1365	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check
1411-1445	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract
1478-1496	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness
1536-1572	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form
1612-1637	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness
1672-1689	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture
1711-1732	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier
1773-1805	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point
1873-1893	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction
1929-1942	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness
1968-1998	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records
2070-2093	theorem	thm:executable-record-non-escalation	Executable record non-escalation
2128-2152	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant
2196-2203	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch
2217-2247	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction
2280-2320	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary
2378-2381	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary
2388-2417	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary
2457-2481	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton
2558-2596	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form
2645-2674	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine
2722-2751	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain
2789-2794	proposition	prop:gate-interface-separation	Gate-interface separation
2813-2831	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence
2861-2874	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating
2938-2954	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation
