idx	line	end	env	label	title	section
1	161	180	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution
2	211	228	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution
3	276	313	definition	def:architecture-axis-map	Architecture-axis map	Architecture
4	315	329	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture
5	475	492	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture
6	514	530	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture
7	557	570	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture
8	587	616	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture
9	654	683	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture
10	719	735	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture
11	810	989	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface
12	991	1021	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface
13	1023	1035	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface
14	1067	1089	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface
15	1091	1129	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface
16	1131	1151	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface
17	1197	1231	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface
18	1264	1300	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface
19	1340	1365	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface
20	1400	1417	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface
21	1439	1460	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface
22	1501	1533	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface
23	1601	1631	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface
24	1703	1726	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface
25	1761	1785	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface
26	1829	1836	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface
27	1850	1880	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface
