file	line	env	title	labels	proof_after	body_start
sec_preliminaries.tex	99	proposition	Trace, primitive orbits, and Euler product	prop:prelim-trace-primitive;eq:zeta-def	yes	 \label{prop:prelim-trace-primitive} For the adjacency matrix \(A\) of a primitive finite directed multigraph, the dynamical \(\zeta\)-function satisfies \begin{equation}\label{eq:zeta-def} \zeta_A(z) :=\exp\!\left(\sum_{n\ge 1}\frac{\Tr(A^n)}{n}z^n\right) =\frac{1}{\det(I-zA)} =\prod_{n\ge 1}(1-z^n)^{-p_n(A)}. \end{equation} 
sec_preliminaries.tex	133	lemma	Perron--Frobenius trace bound	lem:pf-trace-bound	yes	 \label{lem:pf-trace-bound} Let \(A\) be a primitive non-negative \(d\times d\) matrix with Perron root \(\lambda=\rho(A)\). Then \[ \abs{\Tr(A^n)}\le d\,\lambda^n \qquad (n\ge 1). \] In particular, there is a constant \(C_A>0\) such that \[ \abs{\Tr(A^n)}\le C_A\lambda^n \qquad (n\ge 1). \] 
sec_preliminaries.tex	186	lemma	"Primitive M\""obius asymptotic"	lem:primitive-orbit-asymptotic	yes	 \label{lem:primitive-orbit-asymptotic} Let \(A\) be a primitive non-negative matrix with Perron root \(\lambda>1\), and let \[ \Lambda(A):=\max\{|\mu|:\mu\in\spec(A),\ \mu\neq\lambda\}. \] If the set is empty, put \(\Lambda(A)=0\). Then \[ \Tr(A^n)=\lambda^n+O(\Lambda(A)^n) \] and \[ K_{\mathrm{PF}}(A) := \begin{cases} \displaystyle \sup_{n\ge 1} \frac{\abs{\Tr(A^n)-\lambda^n}}{\Lambda(A)^n}, & \Lambda(A)>0, \\[2ex] 0, & \Lambda(A)=0, \end{cases} \qquad K_{\mathrm{tr}}(A) := \sup_{\ell\ge 1}\fr
sec_preliminaries.tex	369	proposition	Finite-state determinant data	prop:finite-state-data-collection;prop:finite-state-data-package	yes	 \label{prop:finite-state-data-collection} \label{prop:finite-state-data-package} The following objects form the finite-state input data used in Main Theorems~I--III: \[ (A,X_A^+,p_n(A),\zeta_A,\Lambda(A),G,\tau, \widetilde A,A_\varrho,\psi^m,a_{\varrho, \pi}^{(m)}) . \] More precisely, once a finite directed multigraph \(\Gamma=(V,E_A)\), a primitive adjacency matrix \(A\), a finite group \(G\), and an edge cocycle \(\tau:E_A\to G\) are fixed, all the displayed objects are determined as follows
sec_preliminaries.tex	458	lemma	Reduced constant at a simple eigenvalue	lem:simple-eigenvalue-reduced-constant	yes	 \label{lem:simple-eigenvalue-reduced-constant} Let \(M\) be a complex square matrix and let \(\alpha\neq 0\) be a simple eigenvalue of \(M\). Define \[ C_\alpha(M) :=\lim_{z\to \alpha^{-1}} (1-\alpha z)\det(I-zM)^{-1}. \] Then the limit exists and \[ C_\alpha(M) = \prod_{\substack{\nu\in\spec(M)\\ \nu\neq\alpha}} \left(1-\frac{\nu}{\alpha}\right)^{-1}, \] with algebraic multiplicities in the product. In particular, if \(A\) is primitive with Perron root \(\lambda\), then \(C(A)=C_\lambda(A)\). 
sec_preliminaries.tex	507	definition	Abel finite-part constant	def:abel-finite-part	no	\label{def:abel-finite-part} For a primitive matrix \(A\) with Perron root \(\lambda>1\), we write \[ \FP(A):=\lim_{r\uparrow 1}\bigl(P_A(r)+\log(1-r)\bigr). \] The associated orbit-Mertens constant is \[ \mathcal M(A):=\gamma+\FP(A). \] 
sec_preliminaries.tex	553	definition	Fixed-matrix cyclic-lift records	def:spectral-fingerprints	no	 \label{def:spectral-fingerprints} In the fixed-matrix cyclic-lift comparison, the \emph{cyclic spectral record} of \(A\) is the sequence \[ \{\Psi_q(A)\}_{q\ge 1}. \] For each \(q\ge 1\), the \emph{\(q\)-torsion cyclic record} is the root-of-unity layer \[ \{F_A(\omega_q^j)\}_{0\le j\le q-1}. \] The associated \emph{fixed-matrix exponential record} is the growth rate \[ \limsup_{q\to\infty}\abs{\Psi_q(A)}^{1/q}. \] These are auxiliary scalar records of this one matrix \(A\). They are not invari
sec_chebotarev_peter_weyl_bridge.tex	35	lemma	Uniform bound for Adams decomposition coefficients	lem:adams-coefficients-bounded	yes	 \label{lem:adams-coefficients-bounded} For every \(\varrho,\pi\in\Irr(G)\) and every \(m\ge 1\), \[ \abs{a_{\varrho,\pi}^{(m)}}\le \dim\varrho. \] 
sec_chebotarev_peter_weyl_bridge.tex	65	remark	Periodicity of Adams coefficients	rem:adams-coefficients-periodic	no	 \label{rem:adams-coefficients-periodic} Let \(\exp(G)\) denote the exponent of \(G\). Since \(g^{m+\exp(G)}=g^m\) for every \(g\in G\), one has \[ \psi^{m+\exp(G)}\chi_\varrho=\psi^m\chi_\varrho. \] Consequently \(a_{\varrho,\pi}^{(m+\exp(G))}=a_{\varrho,\pi}^{(m)}\) for all \(m\), so only finitely many Adams coefficient vectors occur. In the estimates below we use this finiteness only through the uniform bound of \Cref{lem:adams-coefficients-bounded}. 
sec_chebotarev_peter_weyl_bridge.tex	79	corollary	"Main Theorem I(c): irreducible-channel determinant
  formula"	cor:primitive-peter-weyl-determinant;eq:primitive-peter-weyl-determinant	yes	 \label{cor:primitive-peter-weyl-determinant} For each \(\pi\in\Irr(G)\), write \[ P_\pi(z):=\det(I-zA_\pi),\qquad P_\pi(0)=1, \] and let \(D_\pi\) be the unique analytic germ on \(|z|<\lambda^{-1}\) with \(D_\pi(0)=0\) and \(\exp D_\pi=P_\pi^{-1}\). The finite determinant data are the polynomials \(P_\pi\), or equivalently the matrices \(A_\pi\); the logarithmic branches are these normalized germs derived from them. For every \(\varrho\in\Irr(G)\) and every \(|z|<\lambda^{-1}\), \begin{equation
sec_chebotarev_peter_weyl_bridge.tex	137	remark	Abelian toy model: the cyclic lift	rem:abelian-toy-model-cyclic	yes	" \label{rem:abelian-toy-model-cyclic} Let \(G=\ZZ/q\ZZ\), and let \(\chi_j(h)=\omega_q^{jh}\) be its irreducible characters. The canonical cyclic-lift cocycle is the special cocycle \(\tau_q:E_A\to\ZZ/q\ZZ\) with \(\tau_q(e)=1\) on every edge; its skew-product adjacency matrix is \(A\otimes P_q\). For this cocycle, and not for a general \(\ZZ/q\ZZ\)-valued edge labelling, one has \(A_{\chi_j}=\omega_q^jA\), and therefore \[ \mathcal L_{\chi_j}(z)=\log\det(I-\omega_q^j zA)^{-1}. \] The Adams--M\"""
sec_chebotarev_peter_weyl_bridge.tex	164	theorem	Main Theorem I(d): primitive Peter--Weyl trace formula	thm:primitive-peter-weyl-trace;eq:primitive-peter-weyl-trace	yes	 \label{thm:primitive-peter-weyl-trace} For every \(\varrho\in\Irr(G)\) and every \(n\ge 1\), \begin{equation}\label{eq:primitive-peter-weyl-trace} \pi_{n,\varrho}(A,\tau) = \frac{1}{n}\sum_{m\mid n}\mu(m) \sum_{\pi\in\Irr(G)} a_{\varrho,\pi}^{(m)} \Tr(A_\pi^{n/m}). \end{equation} 
sec_chebotarev_peter_weyl_bridge.tex	191	corollary	Finite trace formula for primitive coefficients	cor:primitive-peter-weyl-trace	yes	 \label{cor:primitive-peter-weyl-trace} The coefficient-level primitive data are finite-state data. More precisely, the finite character table of \(G\), the Adams coefficients \(a_{\varrho,\pi}^{(m)}\), and the twisted trace sequences \(\{\Tr(A_\pi^k):k\ge1,\ \pi\in\Irr(G)\}\) determine every primitive Peter--Weyl coefficient \(\pi_{n,\varrho}(A,\tau)\). Equivalently, for every \(\varrho\in\Irr(G)\), the series \(\Pi_\varrho(z) =\sum_{n\ge1}\pi_{n,\varrho}(A,\tau)z^n\) is determined by the finit
sec_chebotarev_peter_weyl_bridge.tex	236	proposition	Conjugacy-class primitive decomposition	prop:class-primitive-decomposition;eq:class-primitive-generating-function;eq:class-primitive-coefficients	yes	 \label{prop:class-primitive-decomposition} Let \(C\subset G\) be a conjugacy class. If \(p_{n,C}\) denotes the number of primitive orbits of length \(n\) whose \(G\)-label lies in \(C\), then for \(|z|<\lambda^{-1}\), \begin{equation}\label{eq:class-primitive-generating-function} \sum_{n\ge 1}p_{n,C}z^n = \frac{|C|}{|G|} \sum_{\varrho\in\Irr(G)} \chi_\varrho^\ast(C)\,\Pi_\varrho(z), \end{equation} and therefore \begin{equation}\label{eq:class-primitive-coefficients} p_{n,C} = \frac{|C|}{|G|} \s
sec_chebotarev_peter_weyl_bridge.tex	271	theorem	Main Theorem I(e): class-count trace recovery	thm:class-count-trace-recovery;thm:class-count-trace-readout;cor:class-artin-mobius-trace;eq:class-artin-mobius-trace	yes	 \label{thm:class-count-trace-recovery} \label{thm:class-count-trace-readout} \label{cor:class-artin-mobius-trace} For every conjugacy class \(C\subset G\) and every \(n\ge 1\), \begin{equation}\label{eq:class-artin-mobius-trace} p_{n,C} = \frac{|C|}{|G|\,n} \sum_{\varrho\in\Irr(G)} \chi_\varrho^\ast(C) \sum_{m\mid n}\mu(m) \sum_{\pi\in\Irr(G)} a_{\varrho,\pi}^{(m)} \Tr(A_\pi^{n/m}). \end{equation} Equivalently, after the finite character table, the conjugacy-class power maps, and the determinan
sec_chebotarev_peter_weyl_bridge.tex	356	lemma	Trivial and non-trivial class decomposition	lem:class-primitive-trivial-split	yes	 \label{lem:class-primitive-trivial-split} For every conjugacy class \(C\subset G\) and every \(n\ge 1\), \[ p_{n,C} = \frac{|C|}{|G|}p_n(A) +\frac{|C|}{|G|} \sum_{\varrho\neq\mathbf 1} \chi_\varrho^\ast(C)\,\pi_{n,\varrho}(A,\tau). \] 
sec_chebotarev_peter_weyl_bridge.tex	376	lemma	Non-trivial Peter--Weyl channel bound	lem:nontrivial-peter-weyl-channel-bound	yes	 \label{lem:nontrivial-peter-weyl-channel-bound} For every non-trivial \(\varrho\in\Irr(G)\) and every \(n\ge 1\), \[ \abs{\pi_{n,\varrho}(A,\tau)} \le \frac{|V|\,\dim\varrho\,\eta^n}{n} +\frac{|V|\,\dim\varrho}{n} \left(\sum_{\kappa\in\Irr(G)}\dim\kappa\right) \sum_{\substack{m\mid n\\ m>1}}\lambda^{n/m}, \] and therefore \[ \abs{\pi_{n,\varrho}(A,\tau)} \le \frac{|V|\,\dim\varrho\,\eta^n}{n} +\frac{|V|\,\dim\varrho}{n} \left(\sum_{\kappa\in\Irr(G)}\dim\kappa\right) \frac{\lambda^{n/2+1}}{\lamb
sec_chebotarev_peter_weyl_bridge.tex	471	lemma	Absolute convergence at the Perron point	lem:nontrivial-perron-point-convergence	yes	 \label{lem:nontrivial-perron-point-convergence} Assume \(\lambda>1\) and \(\eta<\lambda\). Then, for every non-trivial \(\varrho\in\Irr(G)\), the series \[ \Pi_\varrho(\lambda^{-1}) =\sum_{n\ge 1}\pi_{n,\varrho}(A,\tau)\lambda^{-n} \] converges absolutely. 
sec_chebotarev_peter_weyl_bridge.tex	495	lemma	Abel limit equals the ordinary correction sum	lem:abel-correction-sum	yes	 \label{lem:abel-correction-sum} Let \(A\) be a primitive non-negative matrix with Perron root \(\lambda>1\). If \[ \sum_{n\ge 1}\left|\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right| <\infty, \] then \[ \FP(A) = \sum_{n\ge 1}\left(\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right). \] Equivalently, for every \(0\le r<1\), \[ P_A(r)+\log(1-r) = \sum_{n\ge 1}\left(\frac{p_n(A)}{\lambda^n}-\frac{1}{n}\right)r^n, \] and the limit \(r\uparrow 1\) may be passed termwise. 
sec_chebotarev_peter_weyl_bridge.tex	538	lemma	Geometric-harmonic tails	lem:geometric-harmonic-tail	yes	 \label{lem:geometric-harmonic-tail} If \(0<\vartheta<1\), then for every \(N\ge 1\), \[ \sum_{n>N}\frac{\vartheta^n}{n} \le \frac{\vartheta^{N+1}}{(N+1)(1-\vartheta)}. \] In particular, if \(b_n=O(\vartheta^n/n)\), then \[ \sum_{n>N}b_n=O\!\left(\frac{\vartheta^N}{N}\right). \] 
sec_chebotarev_peter_weyl_bridge.tex	564	lemma	Harmonic-log remainder bound	lem:harmonic-log-remainder	yes	 \label{lem:harmonic-log-remainder} For every \(N\ge 1\), \[ 0 < H_N-\log N-\gamma \le \frac{1}{N+1}. \] 
sec_chebotarev_peter_weyl_bridge.tex	616	lemma	Perron-channel contribution	lem:perron-channel-contribution	yes	 \label{lem:perron-channel-contribution} Assume \(\lambda>1\), \(\eta<\lambda\), and set \[ \Lambda_*:=\max\{\Lambda(A),\eta,\lambda^{1/2}\}. \] Then \(\vartheta_*:=\Lambda_*/\lambda\in(0,1)\), and \[ \sum_{n\le N}\frac{p_n(A)}{\lambda^n} = H_N+\mathcal M(A)-\gamma +O\!\left(\frac{\vartheta_*^N}{N}\right). \] 
sec_chebotarev_readout.tex	13	theorem	Main Theorem II(c): class-constant Fourier recovery	thm:class-mertens-fourier;eq:class-mertens-fourier-inversion;eq:class-mertens-plancherel	yes	 \label{thm:class-mertens-fourier} Under the hypotheses of \Cref{thm:class-mertens-explicit}, let \(\Delta_C(A,\tau;G)\) be as in \Cref{prop:class-mertens-deviations}. Thus the boundary values \(\Pi_\kappa(\lambda^{-1})\) appearing below are the Perron-point channel values supplied by \Cref{prop:class-mertens-deviations} with that same fixed analytic branch convention. Then for every non-trivial \(\kappa\in\Irr(G)\), \begin{equation}\label{eq:class-mertens-fourier-inversion} \Pi_\kappa(\lambda^{
sec_chebotarev_readout.tex	121	remark	recovery analogy stops at the orthogonality step	rem:recovery-analogy-orthogonality-step;rem:readout-analogy-orthogonality-step	no	 \label{rem:recovery-analogy-orthogonality-step} \label{rem:readout-analogy-orthogonality-step} \Cref{thm:class-mertens-fourier} has the same formal linear-algebra shape as the root-of-unity calculations for fixed-matrix cyclic-lift reconstruction. In the separate canonical cyclic-lift comparison case, ordinary Fourier inversion acts on root-of-unity layers of the single matrix \(A\). Here the full family of conjugacy-class Mertens constants \(\mathcal M_C(A,\tau;G)\) recovers the non-trivial tw
sec_eta_gap.tex	16	theorem	Line-field rigidity at the Perron boundary	thm:eta-gap-rigidity;eq:eta-gap-line-field;eq:eta-gap-loop-character	yes	 \label{thm:eta-gap-rigidity} Fix the finite directed graph with primitive adjacency matrix \(A\), the fixed finite-group cocycle \(\tau\), and the associated twisted matrices \(A_\varrho\) from \eqref{eq:twisted-matrix-def}. Let \(\varrho:G\to U(V_\varrho)\) be an irreducible unitary representation. Then \[ \rho(A_\varrho)=\lambda \] denotes spectral-radius equality for the row-vector twisted matrix from \eqref{eq:twisted-matrix-def}. For the line-field formulation define the column block opera
sec_eta_gap.tex	198	corollary	Finite-state criterion for the strict twisted gap	cor:eta-gap-boundary-classifier;eq:eta-gap-boundary-classifier	yes	" \label{cor:eta-gap-boundary-classifier} This is the operational test for the gap hypothesis. It contains no product-constant formula; it only decides whether the finite extension has a non-trivial Perron-boundary channel. Thus the boundary criterion below is used only to certify the hypothesis of Main Theorems~II--III before the Adams--M\""obius determinant recovery is applied. Suppose \(G\) is non-trivial. Then the following are equivalent. \begin{enumerate} \item The Perron-point input used in"
sec_eta_gap.tex	241	corollary	Loop-character classification of boundary channels	cor:eta-gap-character-classification	yes	 \label{cor:eta-gap-character-classification} Fix a non-trivial irreducible unitary representation \(\varrho:G\to U(V_\varrho)\). For a phase \(\omega\in\TT\) and a vertex \(i\), let \[ W_i(\varrho,\omega) := \bigcap_{\gamma:i\to i} \ker\bigl(\varrho(\tau(\gamma))-\omega^{|\gamma|}I\bigr), \] where the intersection is over all closed admissible paths based at \(i\). Then \(\rho(A_\varrho)=\lambda\) if and only if there are a phase \(\omega\in\TT\) and unit vectors \(\xi_i\in W_i(\varrho,\omega)\
