file	line	env	title	label	has_following_proof	flag	snippet
sec_fredholm_cyclic_construction.tex	47	definition	Cyclic data, trace budget, and support size	def:cyclic-data-trace-budget	no	no	\label{def:cyclic-data-trace-budget} A countable cyclic datum is a family \[ \mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}, \qquad n_j,m_j\in\NN,\quad \beta_j\in\CC\setminus\{0\}, \] indexed by a finit
sec_fredholm_cyclic_construction.tex	99	lemma	Single cyclic-block spectrum	lem:single-cyclic-block-spectrum	yes	no	\label{lem:single-cyclic-block-spectrum} Let \(n,m\in\NN\), \(\beta\in\CC\setminus\{0\}\), and \(\alpha^n=\beta\). Then the non-zero eigenvalues of \(C(n,\alpha)\otimes I_m\) are \[ \alpha\omega,\qquad \om
sec_fredholm_cyclic_construction.tex	136	lemma	Finite cyclic truncation determinant with positive exponents	lem:finite-cyclic-truncation-determinant	yes	no	\label{lem:finite-cyclic-truncation-determinant} Let \(F\) be a finite set of indices and put \[ L_F:=\bigoplus_{j\in F}\bigl(C(n_j,\alpha_j)\otimes I_{m_j}\bigr), \qquad \alpha_j^{n_j}=\beta_j. \] The
sec_fredholm_cyclic_construction.tex	182	lemma	Direct normal convergence of the cyclic product	lem:direct-cyclic-weierstrass-product	yes	no	\label{lem:direct-cyclic-weierstrass-product} Assume \[ \sum_{j\in J}m_j n_j\abs{\beta_j}^{1/n_j}<\infty, \qquad a_j:=\abs{\beta_j}^{1/n_j}. \] Then for every \(R>0\), \[ \sum_{j\in J} m_j \s
sec_fredholm_cyclic_construction.tex	268	lemma	Trace-norm limit convention for cyclic products	lem:cyclic-product-trace-norm-limit	yes	no	\label{lem:cyclic-product-trace-norm-limit} Assume \[ \sum_{j\in J}m_j n_j\abs{\beta_j}^{1/n_j}<\infty \] and choose \(\alpha_j^{n_j}=\beta_j\). Let \[ H_{\mathcal D} :=\bigoplus_{j\in J}\bigl(\C
sec_fredholm_cyclic_construction.tex	364	lemma	Choice of roots and unitary relabelling	lem:choice-of-roots	yes	no	\label{lem:choice-of-roots} Let \(n,m\in\NN\), let \(\beta\in\CC\setminus\{0\}\), and let \(\alpha^n=(\alpha')^n=\beta\). Then \(C(n,\alpha)\otimes I_m\) and \(C(n,\alpha')\otimes I_m\) are unitarily equivalent.
sec_fredholm_cyclic_construction.tex	411	proposition	Acyclic construction interface for cyclic data	prop:cyclic-data-construction-interface	yes	no	\label{prop:cyclic-data-construction-interface} Let \(\mathcal D\) be a countable cyclic datum in the sense of \Cref{def:cyclic-data-trace-budget} with \(\tau_{\mathcal D}<\infty\), and choose roots \(\alpha_j
sec_fredholm_cyclic_construction.tex	544	definition	Closed non-zero spectral support	def:closed-nonzero-support	no	no	\label{def:closed-nonzero-support} For a normal trace-class operator \(L\), write \[ \mathsf S(L):= \overline{\mathrm{span}} \{\,\ker(L-\lambda I):\lambda\in\spec(L)\setminus\{0\}\,\}. \] This notation is the su
sec_fredholm_cyclic_construction.tex	557	lemma	Closed support is \(\overline{\Ran L}\)	lem:normal-support-range-closure	yes	no	\label{lem:normal-support-range-closure} If \(L\) is normal and trace-class, then \[ \mathsf S(L)=(\ker L)^\perp=\overline{\Ran(L)}. \] This identifies the closed support with \(\overline{\Ran L}\). It doe
sec_fredholm_cyclic_construction.tex	589	proposition	Sharp trace-norm budget for cyclic zero divisors	prop:sharp-trace-budget-support-obstruction	yes	no	\label{prop:sharp-trace-budget-support-obstruction} Let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) be a countable family with \(n_j,m_j\in\NN\) and \(\beta_j\in\CC\setminus\{0\}\). Choose roots \(\alpha_j^{
sec_fredholm_cyclic_construction.tex	698	proposition	Collapsed spectral multiplicities of Euler data	prop:collapsed-spectral-multiplicities	yes	no	\label{prop:collapsed-spectral-multiplicities} Let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) satisfy \[ n_j,m_j\in\NN,\qquad \beta_j\in\CC\setminus\{0\},\qquad \sum_{j\in J}m_j n_j\abs{\beta_j}^{1/
sec_fredholm_cyclic_construction.tex	806	definition	Regularized determinant normalization	def:regularized-determinant-normalization	no	no	\label{def:regularized-determinant-normalization} For an integer \(r\ge1\) and a finite-dimensional operator \(A\), this paper uses \[ \det_r(I-zA) := \det(I-zA) \exp\!\left(\sum_{q=1}^{r-1}\frac
sec_fredholm_cyclic_construction.tex	826	lemma	Regularized determinant extension and cyclic-block factor	lem:regularized-determinant-extension-cyclic-factor	yes	no	\label{lem:regularized-determinant-extension-cyclic-factor} The normalization of \Cref{def:regularized-determinant-normalization} extends to \(A\in\mathcal S_r\) as the standard regularized Fredholm determinant
sec_fredholm_cyclic_construction.tex	867	proposition	Regularized zero-divisor chain for cyclic blocks	prop:regularized-zero-divisor-chain	yes	no	\label{prop:regularized-zero-divisor-chain} Let \(r\ge1\), let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) satisfy \[ \sum_{j\in J}m_jn_j\abs{\beta_j}^{p/n_j}<\infty \] for some \(1<p\le r\), and let \(P
sec_fredholm_cyclic_construction.tex	952	lemma	Finite-subset convention for regularized cyclic products	lem:regularized-cyclic-finite-subset-products	yes	no	\label{lem:regularized-cyclic-finite-subset-products} Let \(1<p\le r\) with \(r\in\NN\), and let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) satisfy \[ \sum_{j\in J}m_jn_j\abs{\beta_j}^{p/n_j}<\infty. \]
sec_fredholm_cyclic_construction.tex	1019	theorem	Exact Schatten membership threshold for the cyclic model	thm:schatten-cyclic-model-membership	yes	no	\label{thm:schatten-cyclic-model-membership} Let \(1<p<\infty\), let \(r=\lceil p\rceil\), and let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) be countable cyclic data. The integer \(r\) is recorded only for t
sec_fredholm_cyclic_construction.tex	1054	theorem	Regularized cyclic determinant on a prescribed \(\mathcal S_p\) budget	thm:schatten-cyclic-regularized-determinant	yes	no	\label{thm:schatten-cyclic-regularized-determinant} Let \(1<p<\infty\), let \(r=\lceil p\rceil\), and let \(\mathcal D=\{(n_j,\beta_j,m_j)\}_{j\in J}\) be countable cyclic data satisfying \[ \tau_{\mathcal
sec_fredholm_cyclic_construction.tex	1206	corollary	Controlled scope of the regularized cyclic package	cor:regularized-controlled-extension-scope	yes	no	\label{cor:regularized-controlled-extension-scope} Let \(1<p<\infty\), put \(r=\lceil p\rceil\), and let \(\mathcal D\) be countable cyclic data satisfying \[ \sum_{j\in J}m_jn_j\abs{\beta_j}^{p/n_j}<\infty
sec_fredholm_cyclic_construction.tex	1249	proposition	Regularized determinant domain boundary	prop:regularized-domain-boundary	yes	no	\label{prop:regularized-domain-boundary} Let \(1<p<\infty\), put \(r=\lceil p\rceil\), and let \(\mathcal D\) be cyclic data satisfying \[ \sum_{j\in J}m_jn_j\abs{\beta_j}^{p/n_j}<\infty . \] The conclus
