00174-00193	proposition	prop:final-package-shape-convention	Final package-shape convention	section: Problem and contribution	proof=195-221
00223-00240	theorem	thm:nested-package-states	Nested six-row and seven-row package states	section: Problem and contribution	proof=242-264
00288-00325	definition	def:architecture-axis-map	Architecture-axis map	section: Architecture	proof=None-None
00327-00341	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	section: Architecture	proof=343-369
00487-00504	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	section: Architecture	proof=506-524
00526-00542	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	section: Architecture	proof=544-567
00569-00582	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	section: Architecture	proof=584-597
00599-00628	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	section: Architecture	proof=630-664
00666-00695	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	section: Architecture	proof=697-729
00731-00749	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	section: Architecture	proof=751-783
00785-00799	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	section: Architecture	proof=801-821
00823-00843	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	section: Architecture	proof=845-879
00881-00897	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	section: Architecture	proof=899-925
00972-01151	definition	def:operational-acceptance-interface	Operational acceptance interface	subsection: Abstract finite-record interface	proof=None-None
01153-01183	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	subsection: Abstract finite-record interface	proof=None-None
01185-01197	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	subsection: Abstract finite-record interface	proof=1199-1227
01229-01251	definition	def:stronger-reading-preorder	Stronger-reading preorder	subsection: Abstract finite-record interface	proof=None-None
01253-01291	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	subsection: Abstract finite-record interface	proof=None-None
01293-01313	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	subsection: Abstract finite-record interface	proof=1315-1357
01359-01393	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	subsection: Abstract finite-record interface	proof=1395-1424
01426-01462	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	subsection: Abstract finite-record interface	proof=1464-1500
01502-01527	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	subsection: Abstract finite-record interface	proof=1529-1560
01562-01579	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	subsection: Abstract finite-record interface	proof=1581-1599
01601-01622	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	subsection: Abstract finite-record interface	proof=1624-1661
01663-01695	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	subsection: Abstract finite-record interface	proof=1697-1761
01763-01783	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	subsection: Abstract finite-record interface	proof=1785-1817
01819-01832	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	subsection: Abstract finite-record interface	proof=1834-1856
01858-01888	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	subsection: Abstract finite-record interface	proof=1890-1958
01960-01983	theorem	thm:executable-record-non-escalation	Executable record non-escalation	subsection: Abstract finite-record interface	proof=1985-2016
02018-02042	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	subsection: Abstract finite-record interface	proof=2044-2084
02086-02093	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	subsection: Abstract finite-record interface	proof=2095-2105
02107-02137	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	subsection: Abstract finite-record interface	proof=2139-2168
02170-02210	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	subsection: Abstract finite-record interface	proof=2212-2265
02268-02271	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	subsection: Abstract finite-record interface	proof=2273-2277
02278-02307	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	subsection: Abstract finite-record interface	proof=2309-2345
02347-02371	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	subsection: Abstract finite-record interface	proof=2373-2446
02448-02486	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	subsection: Abstract finite-record interface	proof=2488-2533
02535-02564	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	subsection: Abstract finite-record interface	proof=2566-2610
02612-02641	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	subsection: Abstract finite-record interface	proof=2643-2677
02679-02684	proposition	prop:gate-interface-separation	Gate-interface separation	subsection: Abstract finite-record interface	proof=2686-2701
02703-02721	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	subsection: Abstract finite-record interface	proof=2723-2749
02751-02764	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	subsection: Abstract finite-record interface	proof=2766-2789
02828-02844	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	subsection: Abstract finite-record interface	proof=2846-2871
02872-02975	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	subsection: Abstract finite-record interface	proof=2977-3081
03083-03112	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	subsection: Abstract finite-record interface	proof=3114-3163
03165-03220	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	subsection: Abstract finite-record interface	proof=3222-3299
03301-03347	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	subsection: Abstract finite-record interface	proof=3349-3405
03407-03456	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	subsection: Abstract finite-record interface	proof=3458-3525
03526-03574	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	subsection: Abstract finite-record interface	proof=3576-3622
03636-03685	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	subsection: Abstract finite-record interface	proof=3687-3732
03747-03775	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	subsection: Abstract finite-record interface	proof=3777-3809
03811-03830	proposition	prop:publication-safety-maximality	Finite-record maximality	subsection: Abstract finite-record interface	proof=3832-3853
03855-03879	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	subsection: Abstract finite-record interface	proof=3881-3902
03904-03918	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	subsection: Abstract finite-record interface	proof=3920-3949
03951-03987	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	subsection: Abstract finite-record interface	proof=3989-4035
04037-04057	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	subsection: Abstract finite-record interface	proof=4059-4084
04086-04114	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	subsection: Abstract finite-record interface	proof=4116-4146
04186-04225	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	subsection: Primary-claim inventory audit	proof=4227-4283
04296-04352	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness	subsection: Current-package instantiation	proof=4354-4417
04420-04442	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	subsection: Current-package instantiation	proof=4444-4497
04499-04515	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	subsection: Current-package instantiation	proof=4517-4539
04541-04577	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	subsection: Current-package instantiation	proof=4579-4632
04634-04659	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	subsection: Current-package instantiation	proof=4661-4698
04700-04747	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	subsection: Current-package instantiation	proof=4749-4808
04810-04841	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	subsection: Current-package instantiation	proof=4843-4880
04913-04924	lemma	lem:gate-witness-criterion	Gate-witness criterion	subsection: Case-study witness protocol	proof=4926-4936
04938-04962	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	subsection: Case-study witness protocol	proof=4964-5011
05066-05084	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	section: Case studies	proof=5086-5123
05125-05156	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	section: Case studies	proof=5158-5199
05268-05289	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	subsection: Primary--supplement interface	proof=5291-5309
05311-05327	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	subsection: Primary--supplement interface	proof=5329-5353
05355-05369	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	subsection: Primary--supplement interface	proof=5371-5383
05385-05409	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	subsection: Primary--supplement interface	proof=5411-5432
05434-05451	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	subsection: Primary--supplement interface	proof=5453-5466
05485-05505	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	subsection: Primary--supplement interface	proof=None-None
05556-05566	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	subsection: Primary--supplement interface	proof=None-None
05648-05671	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	subsection: Primary--supplement interface	proof=5673-5713
05715-05726	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	subsection: Primary--supplement interface	proof=5728-5754
05756-05781	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	subsection: Primary--supplement interface	proof=5783-5829
05831-05888	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	subsection: Primary--supplement interface	proof=5890-5949
05951-05981	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	subsection: Primary--supplement interface	proof=5983-6024
06026-06042	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	subsection: Primary--supplement interface	proof=6044-6089
06091-06129	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	subsection: Primary--supplement interface	proof=6131-6161
06163-06175	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	subsection: Primary--supplement interface	proof=6177-6230
06412-06425	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization	subsection: Review-bundle and archive-equivalence condition	proof=6427-6454
06456-06475	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator criterion	subsection: Review-bundle and archive-equivalence condition	proof=6477-6516
06518-06540	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test	subsection: Review-bundle and archive-equivalence condition	proof=6542-6570
06572-06591	theorem	thm:final-support-surface-closure	Final support-surface closure	subsection: Review-bundle and archive-equivalence condition	proof=6593-6637
06694-06720	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	subsection: Review-bundle and archive-equivalence condition	proof=6722-6752
