173	187	proposition	prop:final-package-shape-convention	Final package-shape convention	section: Problem and contribution	proof=189-214	For the current presentation package there is a single source-level package shape. The primary article is \path{submission_abstract.tex}; the local technical supplement is \path{main.tex}; the local bounded theorem-obligation ledger consists of \path{theorem_inventory.json} and \
216	233	theorem	thm:nested-package-states	Nested six-row and seven-row package states	section: Problem and contribution	proof=235-257	Let $P^{+}_{6}$ denote the current row-frozen certificate state whose accepted rows are exactly $a_1,\ldots,a_6$ in Table~\ref{tab:current-acceptance-ledger}. Let $P^{+}_{7}$ denote the enlarged submitted support state obtained by adjoining the single theorem-ledger
281	318	definition	def:architecture-axis-map	Architecture-axis map	section: Architecture	proof=None	The compiler architecture uses five disjoint evidence axes. An accepted claim may read evidence from an axis only at the admissible evidence level shown in the displayed axis map; the negative boundary in the last column is part of the claim certificate and cannot be discharged b
320	334	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	section: Architecture	proof=336-362	In any record-gate-sound package using Definition~\ref{def:architecture-axis-map}, passage or evidence on one architecture axis cannot certify a load-bearing claim whose claim kind requires another axis. More precisely, if a claim certificate uses an axis $A$ but its stronger rea
364	414	theorem	thm:presentation-compressed-interface	Presentation-route compressed interface	section: Architecture	proof=416-455	Fix a presentation-only package whose architecture axes are those of Definition~\ref{def:architecture-axis-map}. Suppose its load-bearing claims are checked only through the finite submitted surface $S$, acceptance ledger $L$, dispatch table $\Gamma$, and verifier tuple
594	611	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	section: Architecture	proof=613-631	For the pinned newmath repository path \path{papers/bedc/parts/visions/audit_map_methodology/automated_theory_discovery_pipeline_calculus.tex} at commit \path{3fb3d6a0641767388a401883062aa522ea0b397b}, Table~\ref{tab:source-interface-record} is the complete imported interface use
633	649	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	section: Architecture	proof=651-674	Let $I$ be the imported discovery-gate interface certified by Lemma~\ref{lem:source-interface-extraction-correctness}. Any later use of an imported source label in this paper is a consequence of $I$ only if it is a function of the finite fields recorded in Table~\ref{tab:source-i
676	689	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	section: Architecture	proof=691-704	The imported discovery-gate spine used in the finite-record interface theorem, Theorem~\ref{thm:publication-safety-interface}, has a reviewer-facing source interface. Namely, the tuple consisting of the pinned local source path, commit \path{3fb3d6a0641767388a401883062aa522ea0b39
706	735	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	section: Architecture	proof=737-771	The source-interface table, its JSON mirror, and the bundled source snapshot give one record-level imported discovery-gate interface for the finite-record interface theorem, Theorem~\ref{thm:publication-safety-interface}. The record fields are as follows: the source commit is
773	802	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	section: Architecture	proof=804-836	Let $I_{\rm man}$ be the manual imported-source interface of Lemma~\ref{lem:source-interface-extraction-correctness}, and let $I_{\rm exe}$ be the executable finite comparison of Proposition~\ref{prop:source-interface-record-file-consistency}. In the finite-record safety interfac
838	851	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	section: Architecture	proof=853-870	Every load-bearing occurrence in this manuscript of an imported discovery-gate label from Table~\ref{tab:source-interface-record} factors through the bounded source-interface certificate of Theorem~\ref{thm:bounded-source-interface-maximality}. Hence a downstream proof
