line,end,env,label,title,has_proof
174,193,proposition,prop:final-package-shape-convention,Final package-shape convention,False
223,240,theorem,thm:nested-package-states,Nested six-row and seven-row package states,False
288,325,definition,def:architecture-axis-map,Architecture-axis map,False
327,341,proposition,prop:architecture-axis-non-escalation,Axis non-escalation,False
487,504,lemma,lem:source-interface-extraction-correctness,Manual bounded source-interface extraction correctness,False
526,542,proposition,prop:manual-source-interface-non-escalation,Manual source-interface non-escalation,False
569,582,proposition,prop:reviewable-source-snapshot-interface,Reviewable source-snapshot interface,False
599,628,proposition,prop:source-interface-record-file-consistency,Executable source-interface record comparison,False
666,695,theorem,thm:bounded-source-interface-maximality,Bounded source-interface maximality,False
731,749,theorem,thm:public-source-reachability-non-escalation,Public-source reachability non-escalation,False
785,799,corollary,cor:public-source-coordinate-exactness,Public-source coordinate exactness,False
823,843,theorem,thm:source-interface-semantic-completeness-obstruction,Source-interface semantic-completeness obstruction,False
881,897,proposition,prop:source-interface-evidence-level-separation,Source-interface evidence-level separation,False
972,1151,definition,def:operational-acceptance-interface,Operational acceptance interface,False
1153,1183,definition,def:record-gate-soundness-external-interface,Record-gate soundness external interface,False
1185,1197,proposition,prop:record-gate-soundness-external-interface-exactness,Record-gate interface equivalence and non-claim boundary,False
1229,1251,definition,def:stronger-reading-preorder,Stronger-reading preorder,False
1253,1291,definition,def:certificate-schema-acceptance-table,Certificate-schema acceptance table,False
1293,1313,proposition,prop:finite-certificate-schema-verifier,Finite certificate schema verifier as a record check,False
1359,1393,theorem,thm:verifier-input-output-contract,Verifier input--predicate--output contract,False
1426,1462,theorem,thm:finite-verifier-normal-form,Executable-record verifier normal form,False
1502,1527,theorem,thm:record-acceptance-exactness,Schema-relative executable-record acceptance exactness,False
1562,1579,corollary,cor:executable-schema-exactness-negative-fixture,Executable schema exactness and negative fixture,False
1601,1622,theorem,thm:finite-coordinate-determination-boundary,Finite-coordinate determination and trust-boundary classifier,False
1663,1695,theorem,thm:record-interface-rigidity,Record-interface rigidity and refresh fixed point,False
1763,1783,theorem,thm:record-gate-implementation-overclaim-obstruction,Record-gate implementation overclaim obstruction,False
1819,1832,corollary,cor:finite-record-acceptance-not-implementation-soundness,Finite-record acceptance is not implementation soundness,False
1858,1888,proposition,prop:machine-readable-certificate-records,Machine-readable certificate records,False
1960,1983,theorem,thm:executable-record-non-escalation,Executable record non-escalation,False
2018,2042,theorem,thm:executable-certificate-construction-invariant,Executable certificate-construction invariant,False
2086,2093,proposition,prop:claim-kind-dispatch,Deterministic claim-kind dispatch,False
2107,2137,theorem,thm:mixed-claim-projection-obstruction,Mixed-claim projection obstruction,False
2170,2210,theorem,thm:concrete-finite-script-implementation-soundness,Concrete finite-script projection-contract boundary,False
2268,2271,corollary,cor:finite-script-rgs-instantiation-boundary,Finite-script projection instantiation boundary,False
2278,2307,theorem,thm:assigned-gate-soundness-audit-boundary,Assigned-gate soundness audit boundary,False
2347,2371,theorem,thm:finite-certificate-obstruction-skeleton,Finite certificate obstruction skeleton,False
2448,2486,theorem,thm:finite-extension-budget-normal-form,Finite extension-budget normal form,False
2535,2564,theorem,thm:finite-record-certificate-calculus-spine,Finite-record certificate calculus spine,False
2612,2641,proposition,prop:publication-safety-dependency-normal-form,Dependency normal form for the publication-safety chain,False
2679,2684,proposition,prop:gate-interface-separation,Gate-interface separation,False
2703,2721,corollary,cor:human-promotion-daemon-active-track-separation,Human promotion is not daemon-visible active-track equivalence,False
2751,2764,proposition,prop:scheduler-selection-advisory,Scheduler selection is advisory before discovery gating,False
2828,2844,proposition,prop:publication-safety-minimal-bad-record-witness,Minimal bad-record witness for command-run escalation,False
2872,2975,theorem,thm:publication-safety-interface,Bounded software-audit interface under record-gate soundness,False
3083,3112,theorem,thm:finite-record-certificate-rigidity,Finite-record certificate rigidity,False
3165,3220,theorem,thm:boundary-axis-non-escalation-exactness,Boundary-axis exact non-escalation,False
3301,3347,theorem,thm:mixed-interface-overclaim-skeleton,Mixed-interface overclaim skeleton,False
3407,3456,theorem,thm:presentation-scoped-boundary-normal-form,Package-local boundary normal form for the presentation package,False
3526,3574,theorem,thm:five-axis-upgrade-obstruction,Package-local five-axis upgrade obstruction,False
3636,3685,theorem,thm:current-boundary-skeleton-non-gluing,Current package-local boundary skeleton and non-gluing lower bound,False
3747,3775,proposition,prop:certificate-constructor-bad-subrecord-extractor,Certificate constructor and bad-subrecord extractor,False
3811,3830,proposition,prop:publication-safety-maximality,Finite-record maximality,False
3855,3879,corollary,cor:publication-safety-current-package-instance,Current-package bounded source-level audit instance,False
3904,3918,corollary,cor:finite-record-gate-soundness-boundary,Finite-record boundary for external gate soundness,False
3951,3987,theorem,thm:implementation-soundness-extension-criterion,Boundary extension criterion for implementation-soundness readings,False
4037,4057,corollary,cor:submitted-gate-implementation-contract-dichotomy,Submitted gate-implementation contract dichotomy,False
4086,4114,theorem,thm:external-interface-projection-no-free-upgrade,External-interface projection and no-free-implementation upgrade,False
4186,4225,proposition,prop:current-package-acceptance-certificate-ledger,Current-package acceptance and certificate ledger,False
4296,4352,theorem,thm:current-package-certificate-exactness,Current-package bounded schema-relative certificate exactness,False
4420,4442,theorem,thm:manual-ledger-dependence-boundary,Ledger dependence and semantic extractor-completeness boundary,False
4499,4515,corollary,cor:row-frozen-current-package-invariance,Row-frozen current-package invariance,False
4541,4577,theorem,thm:current-package-extension-coordinate-rigidity,Current-package extension-coordinate rigidity,False
4634,4659,theorem,thm:current-package-semantic-non-escalation,Current-package semantic non-escalation,False
4700,4747,theorem,thm:named-boundary-positive-coordinate-classification,Named boundary positive-coordinate classification,False
4810,4841,corollary,cor:current-package-path-verified-instantiation,Current package path-verified instantiation,False
4913,4924,lemma,lem:gate-witness-criterion,Gate-witness criterion,False
4938,4962,proposition,prop:path-complete-case-witnesses,Path-complete case witnesses,False
5066,5084,proposition,prop:review-bundle-case-snapshot-coverage,Review-bundle case-snapshot coverage,False
5125,5156,theorem,thm:case-witness-skeleton-rigidity,Case-witness skeleton rigidity,False
5268,5289,proposition,audit:fresh-venue-record-criterion,Fresh venue-record criterion,False
5311,5327,theorem,thm:venue-rule-freshness-non-escalation,Venue-rule freshness non-escalation,False
5355,5369,corollary,cor:historical-venue-record-non-escalation,Historical venue record non-escalation,False
5385,5409,corollary,cor:upload-time-venue-compliance-record-requirement,Upload-time venue-compliance record requirement,False
5434,5451,proposition,prop:round-five-venue-record-instantiation,Round-five venue-record instantiation,False
5485,5505,proposition,audit:venue-submission-pack-gate,Venue-submission pack gate,False
5556,5566,proposition,audit:submission-artifact-role-separation,Submission artifact role separation,False
5648,5671,proposition,prop:formal-source-gate-instantiation,Formal-source gate instantiation,False
5715,5726,theorem,thm:formal-source-promotion-obstruction,Formal-source promotion obstruction,False
5756,5781,theorem,thm:evidence-level-overclaim-obstruction,Evidence-level overclaim obstruction,False
5831,5888,theorem,thm:finite-witness-manifest-record-interface,Finite-witness manifest-bounded record interface,False
5951,5981,corollary,cor:artifact-semantic-validity-boundary,Artifact semantic-validity boundary for finite witnesses,False
6026,6042,proposition,prop:primary-claim-row-classification,Primary-claim conditional inventory-audit classification,False
6091,6129,proposition,prop:primary-inventory-freshness-criterion,Primary-inventory freshness criterion,False
6163,6175,proposition,prop:primary-supplement-interface-map,Primary--supplement interface map,False
6412,6420,theorem,thm:exact-inclusion-support-surface-realization,Exact-inclusion support-surface realization,False
6450,6469,theorem,thm:public-branch-archive-equivalent-realization,Public branch archive-equivalent locator criterion,False
6512,6534,corollary,cor:submission-time-support-instantiation-test,Submission-time support instantiation test,False
6566,6585,theorem,thm:final-support-surface-closure,Final support-surface closure,False
6688,6714,theorem,thm:workspace-final-package-reconciliation,Workspace-to-final-package reconciliation,False
6781,6807,theorem,thm:support-surface-normal-form,Support-surface normal form for bundle-backed claims,False
6848,6879,theorem,thm:support-surface-invariant-compression,Support-surface invariant compression,False
6913,6931,theorem,thm:upload-or-archive-instantiation-boundary,Upload instantiation boundary,False
6956,6967,corollary,cor:upload-or-archive-instantiation-record,Upload-or-archive instantiation record,False
6979,6994,proposition,prop:no-external-instantiation-from-local-bundle-records,No external instantiation from local bundle records,False
7023,7068,proposition,prop:upload-or-archive-instantiation-update-protocol,Upload-or-archive instantiation update protocol,False
7114,7139,corollary,cor:current-no-receipt-support-surface-non-escalation,Current no-receipt support-surface non-escalation,False
7167,7178,corollary,cor:fresh-inventory-digest-instance-this-source-state,Fresh inventory digest instance for this source state,False
7199,7228,theorem,thm:digest-closure-refresh-criterion,Digest-closure refresh criterion for final package claims,False
7268,7283,proposition,prop:primary-architectural-fallback-without-external-support,Primary architectural fallback without external support,False
7334,7351,theorem,thm:deterministic-theorem-environment-extractor-boundary,Deterministic theorem-environment extractor boundary,False
7381,7401,theorem,thm:extractor-domain-exactness-non-gluing,Extractor-domain exactness and non-gluing,False
7442,7467,theorem,thm:final-byte-extractor-inventory-inclusion,Final-byte extractor inventory inclusion,False
7512,7528,theorem,thm:theorem-inventory-proofchecker-obstruction,Theorem-inventory proof-checker obstruction,False
7560,7581,theorem,prop:manual-theorem-inventory-boundary,Theorem-inventory boundary,False
7612,7630,proposition,prop:regenerated-theorem-inventory-digest-closure,Regenerated theorem-inventory digest closure,False
7661,7673,corollary,cor:current-theorem-inventory-digest-instance,Current theorem-inventory digest instance,False
7697,7717,proposition,prop:post-inventory-fixed-point-support-certificate,Post-inventory fixed-point support certificate,False
7754,7779,theorem,thm:post-inventory-finite-record-realization,Post-inventory finite-record realization,False
7819,7846,theorem,thm:theorem-obligation-ledger-boundary,Seven-row submitted theorem-obligation ledger integration,False
7891,7904,proposition,prop:post-inventory-support-tuple-extraction-certificate,Post-inventory support-tuple extraction certificate,False
7933,7943,proposition,prop:submitted-theorem-inventory-availability,Submitted theorem-inventory availability,False
7959,7986,proposition,prop:submission-support-instantiation-field-normal-form,Submission-support instantiation field normal form,False
8015,8033,corollary,cor:current-local-support-normal-form,Current local-support normal form,False
8070,8091,proposition,audit:review-bundle-availability-condition,Review-bundle availability condition,False
8124,8135,proposition,audit:case-snapshot-non-rerun-boundary,Case-snapshot non-rerun boundary,False
8155,8173,theorem,thm:finite-row-case-evidence-closure,Finite-row closure of case evidence,False
8208,8218,corollary,cor:current-case-behaviour-evidence-criterion,Current case-behaviour evidence criterion,False
8265,8287,proposition,audit:command-run-boundary-inventory,Command-run boundary inventory,False
8358,8373,theorem,thm:post-edit-rerun-metadata-gate,Post-edit rerun metadata gate,False
8400,8455,theorem,thm:final-local-support-state-reconciliation,Final four-interface maximality and support-state reconciliation,False
8548,8615,theorem,thm:presentation-route-five-interface-sharpness,Presentation-route five-interface sharpness,False
8696,8726,theorem,thm:submission-support-fixed-point-normal-form,Machine-checkable support-coordinate fixed-point normal form,False
