0149	0168	proposition	prop:final-package-shape-convention	Final package-shape convention	proof=True	section: Problem and contribution
0199	0216	theorem	thm:nested-package-states	Nested six-row and seven-row package states	proof=True	section: Problem and contribution
0264	0301	definition	def:architecture-axis-map	Architecture-axis map	proof=False	section: Architecture
0303	0317	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	proof=True	section: Architecture
0463	0480	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	proof=True	section: Architecture
0502	0518	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	proof=True	section: Architecture
0545	0558	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	proof=True	section: Architecture
0575	0605	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	proof=True	section: Architecture
0644	0660	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	proof=True	section: Architecture
0732	0911	definition	def:operational-acceptance-interface	Operational acceptance interface	proof=False	subsection: Abstract finite-record interface
0913	0943	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	proof=False	subsection: Abstract finite-record interface
0945	0957	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	proof=True	subsection: Abstract finite-record interface
0989	1011	definition	def:stronger-reading-preorder	Stronger-reading preorder	proof=False	subsection: Abstract finite-record interface
1013	1051	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	proof=False	subsection: Abstract finite-record interface
1053	1073	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	proof=True	subsection: Abstract finite-record interface
1119	1153	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	proof=True	subsection: Abstract finite-record interface
1186	1217	theorem	thm:finite-verifier-normal-form	Finite verifier normal form	proof=True	subsection: Abstract finite-record interface
1253	1278	theorem	thm:record-acceptance-exactness	Schema-relative finite-record acceptance exactness	proof=True	subsection: Abstract finite-record interface
1313	1330	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	proof=True	subsection: Abstract finite-record interface
1352	1373	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	proof=True	subsection: Abstract finite-record interface
1414	1444	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	proof=True	subsection: Abstract finite-record interface
1516	1539	theorem	thm:executable-record-non-escalation	Executable record non-escalation	proof=True	subsection: Abstract finite-record interface
1574	1598	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	proof=True	subsection: Abstract finite-record interface
1642	1649	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	proof=True	subsection: Abstract finite-record interface
1663	1693	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	proof=True	subsection: Abstract finite-record interface
1726	1757	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection soundness	proof=True	subsection: Abstract finite-record interface
1802	1805	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	proof=True	subsection: Abstract finite-record interface
1812	1841	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	proof=True	subsection: Abstract finite-record interface
1881	1905	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	proof=True	subsection: Abstract finite-record interface
1982	2020	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	proof=True	subsection: Abstract finite-record interface
2069	2074	proposition	prop:gate-interface-separation	Gate-interface separation	proof=True	subsection: Abstract finite-record interface
2093	2111	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	proof=True	subsection: Abstract finite-record interface
2141	2154	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	proof=True	subsection: Abstract finite-record interface
2216	2232	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	proof=True	subsection: Abstract finite-record interface
2260	2346	theorem	thm:publication-safety-interface	Conditional finite-record safety interface under record-gate soundness	proof=True	subsection: Abstract finite-record interface
2447	2476	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	proof=True	subsection: Abstract finite-record interface
2529	2584	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	proof=True	subsection: Abstract finite-record interface
2665	2711	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	proof=True	subsection: Abstract finite-record interface
2771	2816	theorem	thm:presentation-scoped-boundary-normal-form	Scoped boundary normal form for the presentation package	proof=True	subsection: Abstract finite-record interface
2885	2929	theorem	thm:five-axis-upgrade-obstruction	Five-axis upgrade obstruction	proof=True	subsection: Abstract finite-record interface
3004	3032	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	proof=True	subsection: Abstract finite-record interface
3068	3085	proposition	prop:publication-safety-maximality	Finite-record maximality	proof=True	subsection: Abstract finite-record interface
3110	3130	corollary	cor:publication-safety-current-package-instance	Current-package source-level instance of the safety interface	proof=True	subsection: Abstract finite-record interface
3152	3166	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	proof=True	subsection: Abstract finite-record interface
3199	3235	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	proof=True	subsection: Abstract finite-record interface
3285	3305	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	proof=True	subsection: Abstract finite-record interface
3372	3411	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	proof=True	subsection: Primary-claim inventory audit
3482	3527	theorem	thm:current-package-certificate-exactness	Current-package schema-relative finite-record certificate exactness	proof=True	subsection: Current-package instantiation
3595	3617	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	proof=True	subsection: Current-package instantiation
3674	3690	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	proof=True	subsection: Current-package instantiation
3716	3752	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	proof=True	subsection: Current-package instantiation
3809	3834	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	proof=True	subsection: Current-package instantiation
3875	3922	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	proof=True	subsection: Current-package instantiation
3985	4016	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	proof=True	subsection: Current-package instantiation
4088	4099	lemma	lem:gate-witness-criterion	Gate-witness criterion	proof=True	subsection: Case-study witness protocol
4113	4137	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	proof=True	subsection: Case-study witness protocol
4241	4259	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	proof=True	section: Case studies
4300	4330	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	proof=True	section: Case studies
4438	4457	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	proof=True	subsection: Primary--supplement interface
4479	4493	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	proof=True	subsection: Primary--supplement interface
4521	4534	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	proof=True	subsection: Primary--supplement interface
4550	4574	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	proof=True	subsection: Primary--supplement interface
4599	4614	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	proof=True	subsection: Primary--supplement interface
4648	4668	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	proof=False	subsection: Primary--supplement interface
4719	4729	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	proof=False	subsection: Primary--supplement interface
4811	4834	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	proof=True	subsection: Primary--supplement interface
4878	4889	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	proof=True	subsection: Primary--supplement interface
4919	4944	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	proof=True	subsection: Primary--supplement interface
4994	5051	theorem	thm:finite-witness-manifest-record-interface	Finite-witness manifest-bounded record interface	proof=True	subsection: Primary--supplement interface
5114	5139	corollary	cor:artifact-semantic-validity-boundary	Artifact semantic-validity boundary for finite witnesses	proof=True	subsection: Primary--supplement interface
5177	5193	proposition	prop:primary-claim-row-classification	Primary-claim conditional inventory-audit classification	proof=True	subsection: Primary--supplement interface
5242	5280	proposition	prop:primary-inventory-freshness-criterion	Primary-inventory freshness criterion	proof=True	subsection: Primary--supplement interface
5314	5326	proposition	prop:primary-supplement-interface-map	Primary--supplement interface map	proof=True	subsection: Primary--supplement interface
5562	5570	theorem	thm:exact-inclusion-support-surface-realization	Exact-inclusion support-surface realization	proof=True	subsection: Review-bundle and archive-equivalence condition
5600	5613	theorem	thm:public-branch-archive-equivalent-realization	Public branch archive-equivalent locator realization	proof=True	subsection: Review-bundle and archive-equivalence condition
5646	5668	corollary	cor:submission-time-support-instantiation-test	Submission-time support instantiation test	proof=True	subsection: Review-bundle and archive-equivalence condition
5700	5719	theorem	thm:final-support-surface-closure	Final support-surface closure	proof=True	subsection: Review-bundle and archive-equivalence condition
5822	5848	theorem	thm:workspace-final-package-reconciliation	Workspace-to-final-package reconciliation	proof=True	subsection: Review-bundle and archive-equivalence condition
5915	5941	theorem	thm:support-surface-normal-form	Support-surface normal form for bundle-backed claims	proof=True	subsection: Review-bundle and archive-equivalence condition
5982	5997	theorem	thm:upload-or-archive-instantiation-boundary	Upload instantiation boundary	proof=True	subsection: Review-bundle and archive-equivalence condition
6020	6028	corollary	cor:upload-or-archive-instantiation-record	Upload-or-archive instantiation record	proof=True	subsection: Review-bundle and archive-equivalence condition
6035	6050	proposition	prop:no-external-instantiation-from-local-bundle-records	No external instantiation from local bundle records	proof=True	subsection: Review-bundle and archive-equivalence condition
