184	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution
233	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution
298	definition	def:architecture-axis-map	Architecture-axis map	Architecture
337	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture
513	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture
552	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture
595	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture
625	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture
692	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture
757	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture
791	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture
845	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture
883	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture
941	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture
1032	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface
1213	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface
1245	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface
1289	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface
1313	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface
1353	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface
1419	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface
1486	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Abstract finite-record interface
1544	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface
1620	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface
1680	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface
1719	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface
1781	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface
1881	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Abstract finite-record interface
1937	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Abstract finite-record interface
1976	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface
2078	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface
2136	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface
2204	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface
2225	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface
2288	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Abstract finite-record interface
2386	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Abstract finite-record interface
2396	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface
2465	theorem	thm:six-coordinate-gate-implementation-soundness-skeleton	Six-coordinate gate-implementation soundness skeleton	Abstract finite-record interface
2542	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface
2643	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface
2730	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Abstract finite-record interface
2807	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Abstract finite-record interface
2874	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface
2898	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface
2946	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface
3023	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface
3067	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Abstract finite-record interface
3174	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction	Abstract finite-record interface
3341	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface
3423	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface
3559	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Abstract finite-record interface
3665	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Abstract finite-record interface
3784	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Abstract finite-record interface
3894	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Abstract finite-record interface
4033	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface
4097	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface
4141	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Abstract finite-record interface
4190	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Abstract finite-record interface
4237	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Abstract finite-record interface
4323	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Abstract finite-record interface
4372	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	Abstract finite-record interface
4472	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Primary-claim inventory audit
4582	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness	Current-package instantiation
4706	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Current-package instantiation
4785	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Current-package instantiation
4827	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	Current-package instantiation
4920	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Current-package instantiation
4986	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	Current-package instantiation
5096	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	Current-package instantiation
5199	lemma	lem:gate-witness-criterion	Gate-witness criterion	Case-study witness protocol
5224	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	Case-study witness protocol
5352	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage	Case studies
5411	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity	Case studies
5554	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion	Primary--supplement interface
5597	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation	Primary--supplement interface
5641	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation	Primary--supplement interface
5671	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement	Primary--supplement interface
5720	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation	Primary--supplement interface
5771	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate	Primary--supplement interface
5842	proposition	audit:submission-artifact-role-separation	Submission artifact role separation	Primary--supplement interface
5934	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation	Primary--supplement interface
6001	theorem	thm:formal-source-promotion-obstruction	Formal-source promotion obstruction	Primary--supplement interface
6042	theorem	thm:evidence-level-overclaim-obstruction	Evidence-level overclaim obstruction	Primary--supplement interface
