1	sec_preliminaries.tex:4	proposition	Classical finite-state zeta determinant and Euler product	prop:primitive-symbolic-exclusion,eq:trace-primitive-identity	Finite-state motivation and Fredholm notation
2	sec_preliminaries.tex:64	corollary	Primitive symbolic Euler data are not trace-class summable	cor:primitive-symbolic-summability-exclusion	Finite-state motivation and Fredholm notation
3	sec_preliminaries.tex:94	remark	Role of the symbolic product	rem:symbolic-product-role	Finite-state motivation and Fredholm notation
4	sec_fredholm_witt_cyclic.tex:15	proposition	Connecting Fredholm--Witt identity	prop:fredholm-witt-bridge	The Fredholm--Witt bridge
5	sec_fredholm_witt_cyclic.tex:100	remark	Arithmetic flexibility	rem:witt-arithmetic-flexibility	The Fredholm--Witt bridge
6	sec_fredholm_witt_cyclic.tex:110	remark	Witt coordinates are not cyclic divisor multiplicities	rem:witt-versus-cyclic-data	The Fredholm--Witt bridge
7	sec_fredholm_witt_cyclic.tex:136	proposition	Compatibility of cyclic zero divisors with Witt coordinates	prop:cyclic-witt-compatibility	The Fredholm--Witt bridge
8	sec_fredholm_cyclic_construction.tex:47	definition	Cyclic data, trace budget, and support size	def:cyclic-data-trace-budget	Realisation of prescribed cyclic zero divisors by cyclic blocks
9	sec_fredholm_cyclic_construction.tex:105	lemma	Single cyclic-block spectrum	lem:single-cyclic-block-spectrum	Realisation of prescribed cyclic zero divisors by cyclic blocks
10	sec_fredholm_cyclic_construction.tex:142	lemma	Finite cyclic truncation determinant with positive exponents	lem:finite-cyclic-truncation-determinant	Realisation of prescribed cyclic zero divisors by cyclic blocks
11	sec_fredholm_cyclic_construction.tex:188	lemma	Direct normal convergence of the cyclic product	lem:direct-cyclic-weierstrass-product	Realisation of prescribed cyclic zero divisors by cyclic blocks
12	sec_fredholm_cyclic_construction.tex:274	lemma	Trace-norm limit convention for cyclic products	lem:cyclic-product-trace-norm-limit	Realisation of prescribed cyclic zero divisors by cyclic blocks
13	sec_fredholm_cyclic_construction.tex:370	lemma	Choice of roots and unitary relabelling	lem:choice-of-roots	Realisation of prescribed cyclic zero divisors by cyclic blocks
14	sec_fredholm_cyclic_construction.tex:417	proposition	Cyclic construction interface for cyclic data	prop:cyclic-data-construction-interface	Realisation of prescribed cyclic zero divisors by cyclic blocks
15	sec_fredholm_cyclic_construction.tex:553	definition	Closed non-zero spectral support	def:closed-nonzero-support	Realisation of prescribed cyclic zero divisors by cyclic blocks
16	sec_fredholm_cyclic_construction.tex:566	lemma	Closed support is \(\overline{\Ran L}\)	lem:normal-support-range-closure	Realisation of prescribed cyclic zero divisors by cyclic blocks
17	sec_fredholm_cyclic_construction.tex:598	proposition	Sharp trace-norm budget for cyclic zero divisors	prop:sharp-trace-budget-support-obstruction	Realisation of prescribed cyclic zero divisors by cyclic blocks
18	sec_fredholm_cyclic_construction.tex:707	proposition	Collapsed spectral multiplicities of Euler data	prop:collapsed-spectral-multiplicities	Realisation of prescribed cyclic zero divisors by cyclic blocks
19	sec_fredholm_cyclic_construction.tex:830	definition	Regularized determinant normalization	def:regularized-determinant-normalization	Schatten determinants
20	sec_fredholm_cyclic_construction.tex:850	lemma	Regularized determinant extension and cyclic-block factor	lem:regularized-determinant-extension-cyclic-factor	Schatten determinants
21	sec_fredholm_cyclic_construction.tex:891	proposition	Regularized zero-divisor chain for cyclic blocks	prop:regularized-zero-divisor-chain	Schatten determinants
22	sec_fredholm_cyclic_construction.tex:979	lemma	Finite-subset convention for regularized cyclic products	lem:regularized-cyclic-finite-subset-products	Schatten determinants
23	sec_fredholm_cyclic_construction.tex:1046	theorem	Exact Schatten membership threshold for the cyclic model	thm:schatten-cyclic-model-membership	Schatten determinants
24	sec_fredholm_cyclic_construction.tex:1081	theorem	Regularized cyclic determinant on a prescribed \(\mathcal S_p\) budget	thm:schatten-cyclic-regularized-determinant	Schatten determinants
25	sec_fredholm_cyclic_construction.tex:1255	corollary	Prescribed-budget regularized cyclic determinant	cor:regularized-controlled-extension-scope	Schatten determinants
26	sec_fredholm_cyclic_construction.tex:1298	proposition	Regularized determinant domain boundary	prop:regularized-domain-boundary	Schatten determinants
27	sec_fredholm_threshold_classification.tex:4	proposition	Fredholm and regularized zero-divisor correspondence	prop:fredholm-regularized-zero-divisor-correspondence	Trace-class threshold and normal classification
28	sec_fredholm_threshold_classification.tex:71	lemma	Classical Fredholm determinant rigidity	lem:fredholm-spectral-rigidity	Trace-class threshold and normal classification
29	sec_fredholm_threshold_classification.tex:102	lemma	Product-side divisor multiplicity	lem:product-side-cyclic-divisor-multiplicity	Trace-class threshold and normal classification
30	sec_fredholm_threshold_classification.tex:163	theorem	Exact trace-class threshold and forced root budget	thm:normal-realizability-threshold	Trace-class threshold and normal classification
31	sec_fredholm_threshold_classification.tex:282	theorem	Collapsed-multiset normal realisation and determinant classification	thm:collapsed-multiset-normal-realisation	Trace-class threshold and normal classification
32	sec_fredholm_threshold_classification.tex:360	corollary	Intrinsic normal trace-class realisability criterion	cor:arbitrary-collapsed-multiset-normal-realisation	Trace-class threshold and normal classification
33	sec_fredholm_threshold_classification.tex:423	theorem	Cyclic-block realisation of prescribed cyclic zero divisors and normal classification	thm:cyclic-fredholm-realisation	Trace-class threshold and normal classification
34	sec_fredholm_threshold_classification.tex:580	remark	A nonnormal obstruction at fixed determinant	rem:nonnormal-obstruction-after-realisation	Normality beyond the normal classification
35	sec_fredholm_threshold_classification.tex:628	definition	Block-cyclic normal realisation	def:block-cyclic-normal-realisation	Normality beyond the normal classification
36	sec_fredholm_threshold_classification.tex:640	lemma	Algebraic range and closed support of a cyclic direct sum	lem:cyclic-sum-range-closure	Normality beyond the normal classification
37	sec_fredholm_threshold_classification.tex:714	corollary	Support, range, and trace budget of a block-cyclic realisation	cor:block-cyclic-rigidity	Normality beyond the normal classification
38	sec_fredholm_threshold_classification.tex:774	remark	Sharpness of the summability condition	rem:summability-sharpness	Normality beyond the normal classification
39	sec_fredholm_threshold_classification.tex:788	corollary	Finite Euler products give finite-rank determinant models	cor:finite-rank-realisation	Normality beyond the normal classification
40	sec_fredholm_spectral_rigidity.tex:46	lemma	Classical ordered Weyl--Ky Fan--Lidskii inequality	lem:weyl-ky-fan-trace-class	Triangular and pinching inputs
41	sec_fredholm_spectral_rigidity.tex:89	lemma	Classical Schatten \texorpdfstring{\(p\)}{p}-sum Weyl--Fan inequality	lem:weyl-fan-schatten-p-sum	Triangular and pinching inputs
42	sec_fredholm_spectral_rigidity.tex:141	lemma	Ordered non-zero root-space flag	lem:ordered-nonzero-root-flag	Triangular and pinching inputs
43	sec_fredholm_spectral_rigidity.tex:197	lemma	Classical Ringrose triangularisation in Schatten ideals	lem:ringrose-prescribed-diagonal	Triangular and pinching inputs
44	sec_fredholm_spectral_rigidity.tex:285	lemma	Two-by-two trace-norm pinching identity	lem:two-by-two-trace-norm-pinching	Triangular and pinching inputs
45	sec_fredholm_spectral_rigidity.tex:329	lemma	Two-by-two Schatten pinching rigidity	lem:two-by-two-schatten-pinching	Triangular and pinching inputs
46	sec_fredholm_spectral_rigidity.tex:380	lemma	Uniform two-by-two Schatten pinching modulus	lem:uniform-two-by-two-schatten-modulus	Triangular and pinching inputs
47	sec_fredholm_spectral_rigidity.tex:434	lemma	Standard trace-norm convergence of Schur compressions	lem:trace-norm-schur-compressions	Triangular and pinching inputs
48	sec_fredholm_spectral_rigidity.tex:466	lemma	Standard Schatten-norm convergence of Schur compressions	lem:schatten-schur-compressions	Triangular and pinching inputs
49	sec_fredholm_spectral_rigidity.tex:494	lemma	Spectral rigidity for regularized determinants	lem:regularized-determinant-spectral-rigidity	Triangular and pinching inputs
50	sec_fredholm_spectral_rigidity.tex:518	lemma	Trace-class triangular equality and entry pinching	lem:trace-triangular-equality-pinching	Triangular and pinching inputs
51	sec_fredholm_spectral_rigidity.tex:590	lemma	Zero-sector Schur elimination in an equality fiber	lem:zero-sector-schur-elimination-equality-fiber	Triangular and pinching inputs
52	sec_fredholm_spectral_rigidity.tex:659	lemma	Schatten triangular equality and entry pinching	lem:schatten-triangular-equality-pinching	Triangular and pinching inputs
53	sec_fredholm_spectral_rigidity.tex:772	theorem	Global trace-norm minimum and minimizer classification in a Fredholm-determinant fiber	thm:determinant-fiber-trace-minimality	Trace-class determinant-fiber minimization
54	sec_fredholm_spectral_rigidity.tex:958	corollary	Schur-entry stability for trace-norm near-minimizers	cor:schur-entry-stability	Trace-class determinant-fiber minimization
55	sec_fredholm_spectral_rigidity.tex:1033	proposition	Finite chosen-Schur-window distance bound	prop:finite-chosen-schur-window-distance-bound	Trace-class determinant-fiber minimization
56	sec_fredholm_spectral_rigidity.tex:1115	theorem	Chosen-Schur-basis tail-controlled trace-norm estimate	thm:tail-controlled-trace-distance	Stability near the determinant-fiber minimizer
57	sec_fredholm_spectral_rigidity.tex:1236	corollary	Chosen-tail stability criterion	cor:chosen-tail-stability-criterion	Stability near the determinant-fiber minimizer
58	sec_fredholm_spectral_rigidity.tex:1287	theorem	Uniform chosen-Schur-tail stability modulus	thm:uniform-chosen-schur-tail-modulus	Stability near the determinant-fiber minimizer
59	sec_fredholm_spectral_rigidity.tex:1401	theorem	Finite-dimensional trace stability near the minimizer class	thm:finite-dimensional-trace-stability	Stability near the determinant-fiber minimizer
60	sec_fredholm_spectral_rigidity.tex:1536	definition	Finite Weyl--Horn body of the determinant fiber	def:finite-weyl-horn-body	Fixed-dimensional Weyl--Horn consequences
61	sec_fredholm_spectral_rigidity.tex:1555	lemma	Classical zero-inclusive finite Horn--Li--Mathias theorem	lem:zero-inclusive-finite-horn-theorem	Fixed-dimensional Weyl--Horn consequences
62	sec_fredholm_spectral_rigidity.tex:1629	lemma	Zero-inclusive log-majorization implies Fan dominance	lem:zero-inclusive-log-majorization-fan-dominance	Fixed-dimensional Weyl--Horn consequences
63	sec_fredholm_spectral_rigidity.tex:1681	theorem	Finite-dimensional Weyl--Horn consequence of a determinant fiber	thm:finite-dimensional-weyl-horn-cyclic-determinant-fiber	Fixed-dimensional Weyl--Horn consequences
64	sec_fredholm_spectral_rigidity.tex:1766	proposition	Fixed-dimensional Horn body from trace-class rigidity	prop:finite-horn-subordinate-trace-chain	Fixed-dimensional Weyl--Horn consequences
65	sec_fredholm_spectral_rigidity.tex:1828	corollary	Universal finite-dimensional symmetric-gauge minimization	cor:universal-finite-dimensional-symmetric-gauge-minimization	Fixed-dimensional Weyl--Horn consequences
66	sec_fredholm_spectral_rigidity.tex:1886	corollary	Finite-dimensional gauge minimizer taxonomy	cor:finite-dimensional-gauge-minimizer-taxonomy	Fixed-dimensional Weyl--Horn consequences
67	sec_fredholm_spectral_rigidity.tex:1932	proposition	Sharpness of the arbitrary-gauge taxonomy	prop:arbitrary-gauge-taxonomy-sharpness	Fixed-dimensional Weyl--Horn consequences
68	sec_fredholm_spectral_rigidity.tex:1990	corollary	Exact fixed-dimensional Schatten budget range	cor:exact-fixed-dimensional-schatten-budget-range	Fixed-dimensional Weyl--Horn consequences
69	sec_fredholm_spectral_rigidity.tex:2042	corollary	Horn-boundary interpretation of finite trace stability	cor:horn-boundary-trace-stability	Fixed-dimensional Weyl--Horn consequences
70	sec_fredholm_spectral_rigidity.tex:2092	proposition	Two-by-two square-root sharpness	prop:two-by-two-square-root-sharpness	Fixed-dimensional Weyl--Horn consequences
71	sec_fredholm_spectral_rigidity.tex:2157	lemma	Collapsed multiplicities under a Schatten budget	lem:schatten-collapsed-multiplicities	Fixed-dimensional Weyl--Horn consequences
72	sec_fredholm_spectral_rigidity.tex:2222	theorem	Prescribed-budget cyclic-product \(\mathcal S_p\)-fiber rigidity	thm:schatten-determinant-fiber-minimality	Schatten regularized prescribed-budget rigidity
73	sec_fredholm_spectral_rigidity.tex:2378	theorem	Forced finite budget for prescribed regularized cyclic products	thm:schatten-forced-prescribed-budget-obstruction	Schatten regularized prescribed-budget rigidity
74	sec_fredholm_spectral_rigidity.tex:2445	corollary	Finite Schur freezing in Schatten fibers	cor:prescribed-schatten-finite-skeleton-freezing	Schatten regularized prescribed-budget rigidity
75	sec_fredholm_spectral_rigidity.tex:2517	proposition	Exact scope of the prescribed Schatten theorem chain	prop:prescribed-schatten-chain-scope	Schatten regularized prescribed-budget rigidity
76	sec_fredholm_spectral_rigidity.tex:2590	corollary	Prescribed-budget boundary for Schatten minimizer rigidity	cor:schatten-prescribed-budget-boundary	Schatten regularized prescribed-budget rigidity
77	sec_fredholm_spectral_rigidity.tex:2638	proposition	Natural \texorpdfstring{\(\det_r\)}{det-r} domain boundary for Schatten budgets	prop:schatten-natural-domain-budget-boundary	Schatten regularized prescribed-budget rigidity
78	sec_fredholm_spectral_rigidity.tex:2702	theorem	Finite-dimensional prescribed-budget Schatten stability	thm:finite-dimensional-schatten-stability	Schatten regularized prescribed-budget rigidity
79	sec_fredholm_spectral_rigidity.tex:2863	theorem	Jordan profiles away from zero	thm:nonnormal-jordan-classification	Finite non-zero nonnormal skeletons
80	sec_fredholm_spectral_rigidity.tex:3059	proposition	Zero-part freedom in determinant fibers	prop:zero-part-freedom-interface	Finite non-zero nonnormal skeletons
81	sec_fredholm_spectral_rigidity.tex:3119	remark	Algebraic partitions are not unitary classes	rem:algebraic-partitions-not-unitary-classes	Finite non-zero nonnormal skeletons
82	sec_fredholm_spectral_rigidity.tex:3136	definition	Stable unitary and algebraic root-space quotients	def:root-space-equivalence-relations	Finite non-zero nonnormal skeletons
83	sec_fredholm_spectral_rigidity.tex:3180	lemma	Riesz decomposition with quasinilpotent complement	lem:compact-riesz-root-space-quasinilpotent-complement	Finite non-zero nonnormal skeletons
84	sec_fredholm_spectral_rigidity.tex:3242	theorem	Quasinilpotent stabilization preserves non-zero root-space invariants	thm:quasinilpotent-stabilization-nonzero-invariants	Finite non-zero nonnormal skeletons
85	sec_fredholm_spectral_rigidity.tex:3323	theorem	Stable unitary finite non-zero skeleton under quasinilpotent stabilization	thm:stable-nonzero-skeleton-classification	Finite non-zero nonnormal skeletons
86	sec_fredholm_spectral_rigidity.tex:3391	definition	Finite-support non-zero-skeleton quotient	def:finite-support-skeleton-quotient	Finite-support quotient and closure order
87	sec_fredholm_spectral_rigidity.tex:3442	theorem	Finite-support finite non-zero-skeleton quotient after ignoring trace-class quasinilpotents	thm:finite-support-quasinilpotent-quotient	Finite-support quotient and closure order
88	sec_fredholm_spectral_rigidity.tex:3553	proposition	Finite zero-sector invisibility obstruction	prop:zero-sector-invisibility-obstruction	Finite-support quotient and closure order
89	sec_fredholm_spectral_rigidity.tex:3606	lemma	Classical closure order inside the finite non-zero skeleton	lem:finite-support-quotient-closure-order	Finite-support quotient and closure order
90	sec_fredholm_spectral_rigidity.tex:3681	theorem	Degeneration of finite non-zero-skeleton quotient classes at the sharp budget	thm:nonnormal-quotient-degeneration	Finite-support quotient and closure order
91	sec_fredholm_spectral_rigidity.tex:3796	corollary	Nonnormal determinant fibers are trace-norm unbounded	cor:nonnormal-fiber-unbounded	Finite-support quotient and closure order
92	sec_fredholm_spectral_rigidity.tex:3897	theorem	Determinant rigidity by collapsed spectral data	thm:cyclic-data-classification	Determinant-intrinsic rigidity
93	sec_fredholm_spectral_rigidity.tex:4009	theorem	Main trace-class rigidity	thm:main-trace-class-rigidity	Determinant-intrinsic rigidity
94	sec_fredholm_spectral_rigidity.tex:4096	theorem	Trace-class determinant rigidity hierarchy	thm:trace-class-rigidity-consequences	Determinant-intrinsic rigidity
95	sec_fredholm_spectral_rigidity.tex:4177	corollary	Finite non-zero skeleton quotient	cor:trace-rigidity-nonnormal-skeleton-package	Determinant-intrinsic rigidity
96	sec_fredholm_spectral_rigidity.tex:4200	corollary	Stability with chosen Schur tails	cor:trace-rigidity-stability-boundary-package	Determinant-intrinsic rigidity
97	sec_fredholm_spectral_rigidity.tex:4225	corollary	Fixed-dimensional Weyl--Horn image	cor:trace-rigidity-finite-horn-package	Determinant-intrinsic rigidity
98	sec_fredholm_spectral_rigidity.tex:4280	corollary	Determinant-intrinsic trace budget and minimizer class	cor:determinant-intrinsic-trace-budget	Determinant-intrinsic rigidity
