file	line	env	label	title	section	snippet
main.tex	184	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution	\label{prop:final-package-shape-convention} For the current presentation package there is a single source-level package shape. The primary article is \path{submission_abstract.tex}; the selected technical supplement is \path{main.tex}; the selected bounded theorem-obligation ledger consists of \path{theorem_inventory.json} and \path{theorem_inventory.md}; and the selected supplemental support surface is the finite tuple \path{theorem_inventory.json}, \path{theorem_inventory.md}, and exact inclus
main.tex	233	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution	\label{thm:nested-package-states} Let $P^{+}_{6}$ denote the current row-frozen certificate state whose accepted rows are exactly $a_1,\ldots,a_6$ in Table~\ref{tab:current-acceptance-ledger}. Let $P^{+}_{7}$ denote the enlarged submitted support state obtained by adjoining the single theorem-ledger row $a_7$ whose submitted coordinate is \path{theorem_inventory.json}. Then $P^{+}_{6}\subset P^{+}_{7}$ as finite record surfaces, and the inclusion is conservative for the first six certificates: e
main.tex	298	definition	def:architecture-axis-map	Architecture-axis map	Architecture	\label{def:architecture-axis-map} The compiler architecture uses five disjoint evidence axes. An accepted claim may read evidence from an axis only at the admissible evidence level shown in the displayed axis map; the negative boundary in the last column is part of the claim certificate and cannot be discharged by prose from another axis. \begin{center} \small \begin{tabularx}{\textwidth}{p{.16\textwidth}p{.27\textwidth}p{.27\textwidth}X} \toprule Axis & Role in this paper & Admissible evidence 
main.tex	337	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture	\label{prop:architecture-axis-non-escalation} In any record-gate-sound package using Definition~\ref{def:architecture-axis-map}, passage or evidence on one architecture axis cannot certify a load-bearing claim whose claim kind requires another axis. More precisely, if a claim certificate uses an axis $A$ but its stronger reading needs an evidence item or negative-boundary discharge listed only on a different axis $A'$, then the stronger reading is not accepted unless the package contains a separ
main.tex	513	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture	\label{lem:source-interface-extraction-correctness} For the pinned newmath repository path \path{papers/bedc/parts/visions/audit_map_methodology/automated_theory_discovery_pipeline_calculus.tex} at commit \path{3fb3d6a0641767388a401883062aa522ea0b397b}, Table~\ref{tab:source-interface-record} is the complete imported interface used by this paper at the manual path-verified level and only at that level. Its extraction certificate is: manual line-range audit against the pinned file, mirrored in \p
main.tex	552	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture	\label{prop:manual-source-interface-non-escalation} Let $I$ be the imported discovery-gate interface certified by Lemma~\ref{lem:source-interface-extraction-correctness}. Any later use of an imported source label in this paper is a consequence of $I$ only if it is a function of the finite fields recorded in Table~\ref{tab:source-interface-record}: the source path, pinned commit, label, line range, extraction date, bounded summary, and evidence-level qualifier. A proposed stronger use---for examp
main.tex	595	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture	\label{prop:reviewable-source-snapshot-interface} The imported discovery-gate spine used in the finite-record interface theorem, Theorem~\ref{thm:publication-safety-interface}, has a reviewer-facing source interface. Namely, the tuple consisting of the pinned local source path, commit \path{3fb3d6a0641767388a401883062aa522ea0b397b}, Table~\ref{tab:source-interface-record}, \path{source_interface_record.json}, and the supplemental copy \path{review_bundle/source_snapshots/automated_theory_discove
main.tex	625	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture	\label{prop:source-interface-record-file-consistency} The source-interface table, its JSON mirror, and the bundled source snapshot give one record-level imported discovery-gate interface for the finite-record interface theorem, Theorem~\ref{thm:publication-safety-interface}. The record fields are as follows: the source commit is \path{3fb3d6a0641767388a401883062aa522ea0b397b}; the bundled snapshot is \path{review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a0641767
main.tex	692	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture	\label{thm:bounded-source-interface-maximality} Let $I_{\rm man}$ be the manual imported-source interface of Lemma~\ref{lem:source-interface-extraction-correctness}, and let $I_{\rm exe}$ be the executable finite comparison of Proposition~\ref{prop:source-interface-record-file-consistency}. In the finite-record safety interface of Theorem~\ref{thm:publication-safety-interface}, the strongest imported discovery-gate premise available from $I_{\rm man}$ together with $I_{\rm exe}$ is exactly the f
main.tex	757	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture	\label{cor:downstream-imported-label-bounded-factorization} Every load-bearing occurrence in this manuscript of an imported discovery-gate label from Table~\ref{tab:source-interface-record} factors through the bounded source-interface certificate of Theorem~\ref{thm:bounded-source-interface-maximality}. Hence a downstream proof may use only the row's recorded path, pinned commit, label token, line range, extraction date, bounded summary, evidence-level qualifier, equality with \path{source_inter
