"line","end","env","label","title","section"
"174","193","proposition","prop:final-package-shape-convention","Final package-shape convention","section: Problem and contribution"
"223","240","theorem","thm:nested-package-states","Nested six-row and seven-row package states","section: Problem and contribution"
"288","325","definition","def:architecture-axis-map","Architecture-axis map","section: Architecture"
"327","341","proposition","prop:architecture-axis-non-escalation","Axis non-escalation","section: Architecture"
"487","504","lemma","lem:source-interface-extraction-correctness","Manual bounded source-interface extraction correctness","section: Architecture"
"526","542","proposition","prop:manual-source-interface-non-escalation","Manual source-interface non-escalation","section: Architecture"
"569","582","proposition","prop:reviewable-source-snapshot-interface","Reviewable source-snapshot interface","section: Architecture"
"599","628","proposition","prop:source-interface-record-file-consistency","Executable source-interface record comparison","section: Architecture"
"666","695","theorem","thm:bounded-source-interface-maximality","Bounded source-interface maximality","section: Architecture"
"731","749","theorem","thm:public-source-reachability-non-escalation","Public-source reachability non-escalation","section: Architecture"
"785","799","corollary","cor:public-source-coordinate-exactness","Public-source coordinate exactness","section: Architecture"
"823","843","theorem","thm:source-interface-semantic-completeness-obstruction","Source-interface semantic-completeness obstruction","section: Architecture"
"881","897","proposition","prop:source-interface-evidence-level-separation","Source-interface evidence-level separation","section: Architecture"
"972","1151","definition","def:operational-acceptance-interface","Operational acceptance interface","subsection: Abstract finite-record interface"
"1153","1183","definition","def:record-gate-soundness-external-interface","Record-gate soundness external interface","subsection: Abstract finite-record interface"
"1185","1197","proposition","prop:record-gate-soundness-external-interface-exactness","Record-gate interface equivalence and non-claim boundary","subsection: Abstract finite-record interface"
"1229","1251","definition","def:stronger-reading-preorder","Stronger-reading preorder","subsection: Abstract finite-record interface"
"1253","1291","definition","def:certificate-schema-acceptance-table","Certificate-schema acceptance table","subsection: Abstract finite-record interface"
"1293","1313","proposition","prop:finite-certificate-schema-verifier","Finite certificate schema verifier as a record check","subsection: Abstract finite-record interface"
"1359","1393","theorem","thm:verifier-input-output-contract","Verifier input--predicate--output contract","subsection: Abstract finite-record interface"
"1426","1462","theorem","thm:finite-verifier-normal-form","Executable-record verifier normal form","subsection: Abstract finite-record interface"
"1502","1527","theorem","thm:record-acceptance-exactness","Schema-relative executable-record acceptance exactness","subsection: Abstract finite-record interface"
"1562","1579","corollary","cor:executable-schema-exactness-negative-fixture","Executable schema exactness and negative fixture","subsection: Abstract finite-record interface"
"1601","1622","theorem","thm:finite-coordinate-determination-boundary","Finite-coordinate determination and trust-boundary classifier","subsection: Abstract finite-record interface"
"1663","1695","theorem","thm:record-interface-rigidity","Record-interface rigidity and refresh fixed point","subsection: Abstract finite-record interface"
"1763","1783","theorem","thm:record-gate-implementation-overclaim-obstruction","Record-gate implementation overclaim obstruction","subsection: Abstract finite-record interface"
"1819","1832","corollary","cor:finite-record-acceptance-not-implementation-soundness","Finite-record acceptance is not implementation soundness","subsection: Abstract finite-record interface"
"1858","1888","proposition","prop:machine-readable-certificate-records","Machine-readable certificate records","subsection: Abstract finite-record interface"
"1960","1983","theorem","thm:executable-record-non-escalation","Executable record non-escalation","subsection: Abstract finite-record interface"
"2018","2042","theorem","thm:executable-certificate-construction-invariant","Executable certificate-construction invariant","subsection: Abstract finite-record interface"
"2086","2093","proposition","prop:claim-kind-dispatch","Deterministic claim-kind dispatch","subsection: Abstract finite-record interface"
"2107","2137","theorem","thm:mixed-claim-projection-obstruction","Mixed-claim projection obstruction","subsection: Abstract finite-record interface"
"2170","2210","theorem","thm:concrete-finite-script-implementation-soundness","Concrete finite-script projection-contract boundary","subsection: Abstract finite-record interface"
"2268","2271","corollary","cor:finite-script-rgs-instantiation-boundary","Finite-script projection instantiation boundary","subsection: Abstract finite-record interface"
"2278","2307","theorem","thm:assigned-gate-soundness-audit-boundary","Assigned-gate soundness audit boundary","subsection: Abstract finite-record interface"
"2347","2371","theorem","thm:finite-certificate-obstruction-skeleton","Finite certificate obstruction skeleton","subsection: Abstract finite-record interface"
"2448","2486","theorem","thm:finite-extension-budget-normal-form","Finite extension-budget normal form","subsection: Abstract finite-record interface"
"2535","2564","theorem","thm:finite-record-certificate-calculus-spine","Finite-record certificate calculus spine","subsection: Abstract finite-record interface"
"2612","2641","proposition","prop:publication-safety-dependency-normal-form","Dependency normal form for the publication-safety chain","subsection: Abstract finite-record interface"
"2679","2684","proposition","prop:gate-interface-separation","Gate-interface separation","subsection: Abstract finite-record interface"
"2703","2721","corollary","cor:human-promotion-daemon-active-track-separation","Human promotion is not daemon-visible active-track equivalence","subsection: Abstract finite-record interface"
"2751","2764","proposition","prop:scheduler-selection-advisory","Scheduler selection is advisory before discovery gating","subsection: Abstract finite-record interface"
"2828","2844","proposition","prop:publication-safety-minimal-bad-record-witness","Minimal bad-record witness for command-run escalation","subsection: Abstract finite-record interface"
"2872","2975","theorem","thm:publication-safety-interface","Bounded software-audit interface under record-gate soundness","subsection: Abstract finite-record interface"
"3083","3112","theorem","thm:finite-record-certificate-rigidity","Finite-record certificate rigidity","subsection: Abstract finite-record interface"
"3165","3220","theorem","thm:boundary-axis-non-escalation-exactness","Boundary-axis exact non-escalation","subsection: Abstract finite-record interface"
"3301","3347","theorem","thm:mixed-interface-overclaim-skeleton","Mixed-interface overclaim skeleton","subsection: Abstract finite-record interface"
"3407","3456","theorem","thm:presentation-scoped-boundary-normal-form","Package-local boundary normal form for the presentation package","subsection: Abstract finite-record interface"
"3526","3574","theorem","thm:five-axis-upgrade-obstruction","Package-local five-axis upgrade obstruction","subsection: Abstract finite-record interface"
"3636","3685","theorem","thm:current-boundary-skeleton-non-gluing","Current package-local boundary skeleton and non-gluing lower bound","subsection: Abstract finite-record interface"
"3747","3775","proposition","prop:certificate-constructor-bad-subrecord-extractor","Certificate constructor and bad-subrecord extractor","subsection: Abstract finite-record interface"
"3811","3830","proposition","prop:publication-safety-maximality","Finite-record maximality","subsection: Abstract finite-record interface"
"3855","3879","corollary","cor:publication-safety-current-package-instance","Current-package bounded source-level audit instance","subsection: Abstract finite-record interface"
"3904","3918","corollary","cor:finite-record-gate-soundness-boundary","Finite-record boundary for external gate soundness","subsection: Abstract finite-record interface"
"3951","3987","theorem","thm:implementation-soundness-extension-criterion","Boundary extension criterion for implementation-soundness readings","subsection: Abstract finite-record interface"
"4037","4057","corollary","cor:submitted-gate-implementation-contract-dichotomy","Submitted gate-implementation contract dichotomy","subsection: Abstract finite-record interface"
"4086","4114","theorem","thm:external-interface-projection-no-free-upgrade","External-interface projection and no-free-implementation upgrade","subsection: Abstract finite-record interface"
"4186","4225","proposition","prop:current-package-acceptance-certificate-ledger","Current-package acceptance and certificate ledger","subsection: Primary-claim inventory audit"
"4296","4352","theorem","thm:current-package-certificate-exactness","Current-package bounded schema-relative certificate exactness","subsection: Current-package instantiation"
"4420","4442","theorem","thm:manual-ledger-dependence-boundary","Ledger dependence and semantic extractor-completeness boundary","subsection: Current-package instantiation"
"4499","4515","corollary","cor:row-frozen-current-package-invariance","Row-frozen current-package invariance","subsection: Current-package instantiation"
"4541","4577","theorem","thm:current-package-extension-coordinate-rigidity","Current-package extension-coordinate rigidity","subsection: Current-package instantiation"
"4634","4659","theorem","thm:current-package-semantic-non-escalation","Current-package semantic non-escalation","subsection: Current-package instantiation"
"4700","4747","theorem","thm:named-boundary-positive-coordinate-classification","Named boundary positive-coordinate classification","subsection: Current-package instantiation"
"4810","4841","corollary","cor:current-package-path-verified-instantiation","Current package path-verified instantiation","subsection: Current-package instantiation"
"4913","4924","lemma","lem:gate-witness-criterion","Gate-witness criterion","subsection: Case-study witness protocol"
"4938","4962","proposition","prop:path-complete-case-witnesses","Path-complete case witnesses","subsection: Case-study witness protocol"
"5066","5084","proposition","prop:review-bundle-case-snapshot-coverage","Review-bundle case-snapshot coverage","section: Case studies"
"5125","5156","theorem","thm:case-witness-skeleton-rigidity","Case-witness skeleton rigidity","section: Case studies"
"5268","5289","proposition","audit:fresh-venue-record-criterion","Fresh venue-record criterion","subsection: Primary--supplement interface"
"5311","5327","theorem","thm:venue-rule-freshness-non-escalation","Venue-rule freshness non-escalation","subsection: Primary--supplement interface"
"5355","5369","corollary","cor:historical-venue-record-non-escalation","Historical venue record non-escalation","subsection: Primary--supplement interface"
"5385","5409","corollary","cor:upload-time-venue-compliance-record-requirement","Upload-time venue-compliance record requirement","subsection: Primary--supplement interface"
"5434","5451","proposition","prop:round-five-venue-record-instantiation","Round-five venue-record instantiation","subsection: Primary--supplement interface"
"5485","5505","proposition","audit:venue-submission-pack-gate","Venue-submission pack gate","subsection: Primary--supplement interface"
"5556","5566","proposition","audit:submission-artifact-role-separation","Submission artifact role separation","subsection: Primary--supplement interface"
"5648","5671","proposition","prop:formal-source-gate-instantiation","Formal-source gate instantiation","subsection: Primary--supplement interface"
"5715","5726","theorem","thm:formal-source-promotion-obstruction","Formal-source promotion obstruction","subsection: Primary--supplement interface"
"5756","5781","theorem","thm:evidence-level-overclaim-obstruction","Evidence-level overclaim obstruction","subsection: Primary--supplement interface"
"5831","5888","theorem","thm:finite-witness-manifest-record-interface","Finite-witness manifest-bounded record interface","subsection: Primary--supplement interface"
"5951","5981","corollary","cor:artifact-semantic-validity-boundary","Artifact semantic-validity boundary for finite witnesses","subsection: Primary--supplement interface"
"6026","6042","proposition","prop:primary-claim-row-classification","Primary-claim conditional inventory-audit classification","subsection: Primary--supplement interface"
"6091","6129","proposition","prop:primary-inventory-freshness-criterion","Primary-inventory freshness criterion","subsection: Primary--supplement interface"
"6163","6175","proposition","prop:primary-supplement-interface-map","Primary--supplement interface map","subsection: Primary--supplement interface"
"6412","6420","theorem","thm:exact-inclusion-support-surface-realization","Exact-inclusion support-surface realization","subsection: Review-bundle and archive-equivalence condition"
"6450","6469","theorem","thm:public-branch-archive-equivalent-realization","Public branch archive-equivalent locator criterion","subsection: Review-bundle and archive-equivalence condition"
"6512","6534","corollary","cor:submission-time-support-instantiation-test","Submission-time support instantiation test","subsection: Review-bundle and archive-equivalence condition"
"6566","6585","theorem","thm:final-support-surface-closure","Final support-surface closure","subsection: Review-bundle and archive-equivalence condition"
"6688","6714","theorem","thm:workspace-final-package-reconciliation","Workspace-to-final-package reconciliation","subsection: Review-bundle and archive-equivalence condition"
"6781","6807","theorem","thm:support-surface-normal-form","Support-surface normal form for bundle-backed claims","subsection: Review-bundle and archive-equivalence condition"
"6848","6879","theorem","thm:support-surface-invariant-compression","Support-surface invariant compression","subsection: Review-bundle and archive-equivalence condition"
"6913","6931","theorem","thm:upload-or-archive-instantiation-boundary","Upload instantiation boundary","subsection: Review-bundle and archive-equivalence condition"
"6956","6967","corollary","cor:upload-or-archive-instantiation-record","Upload-or-archive instantiation record","subsection: Review-bundle and archive-equivalence condition"
"6979","6994","proposition","prop:no-external-instantiation-from-local-bundle-records","No external instantiation from local bundle records","subsection: Review-bundle and archive-equivalence condition"
"7023","7068","proposition","prop:upload-or-archive-instantiation-update-protocol","Upload-or-archive instantiation update protocol","subsection: Review-bundle and archive-equivalence condition"
"7114","7139","corollary","cor:current-no-receipt-support-surface-non-escalation","Current no-receipt support-surface non-escalation","subsection: Review-bundle and archive-equivalence condition"
"7167","7178","corollary","cor:fresh-inventory-digest-instance-this-source-state","Fresh inventory digest instance for this source state","subsection: Review-bundle and archive-equivalence condition"
"7199","7228","theorem","thm:digest-closure-refresh-criterion","Digest-closure refresh criterion for final package claims","subsection: Review-bundle and archive-equivalence condition"
"7268","7283","proposition","prop:primary-architectural-fallback-without-external-support","Primary architectural fallback without external support","subsection: Review-bundle and archive-equivalence condition"
"7334","7351","theorem","thm:deterministic-theorem-environment-extractor-boundary","Deterministic theorem-environment extractor boundary","subsection: Review-bundle and archive-equivalence condition"
"7381","7401","theorem","thm:extractor-domain-exactness-non-gluing","Extractor-domain exactness and non-gluing","subsection: Review-bundle and archive-equivalence condition"
"7442","7467","theorem","thm:final-byte-extractor-inventory-inclusion","Final-byte extractor inventory inclusion","subsection: Review-bundle and archive-equivalence condition"
"7512","7528","theorem","thm:theorem-inventory-proofchecker-obstruction","Theorem-inventory proof-checker obstruction","subsection: Review-bundle and archive-equivalence condition"
"7560","7581","theorem","prop:manual-theorem-inventory-boundary","Theorem-inventory boundary","subsection: Review-bundle and archive-equivalence condition"
"7612","7630","proposition","prop:regenerated-theorem-inventory-digest-closure","Regenerated theorem-inventory digest closure","subsection: Review-bundle and archive-equivalence condition"
"7661","7673","corollary","cor:current-theorem-inventory-digest-instance","Current theorem-inventory digest instance","subsection: Review-bundle and archive-equivalence condition"
"7697","7717","proposition","prop:post-inventory-fixed-point-support-certificate","Post-inventory fixed-point support certificate","subsection: Review-bundle and archive-equivalence condition"
"7754","7779","theorem","thm:post-inventory-finite-record-realization","Post-inventory finite-record realization","subsection: Review-bundle and archive-equivalence condition"
"7819","7846","theorem","thm:theorem-obligation-ledger-boundary","Seven-row submitted theorem-obligation ledger integration","subsection: Review-bundle and archive-equivalence condition"
"7891","7904","proposition","prop:post-inventory-support-tuple-extraction-certificate","Post-inventory support-tuple extraction certificate","subsection: Review-bundle and archive-equivalence condition"
"7933","7943","proposition","prop:submitted-theorem-inventory-availability","Submitted theorem-inventory availability","subsection: Review-bundle and archive-equivalence condition"
"7959","7986","proposition","prop:submission-support-instantiation-field-normal-form","Submission-support instantiation field normal form","subsection: Review-bundle and archive-equivalence condition"
"8015","8033","corollary","cor:current-local-support-normal-form","Current local-support normal form","subsection: Review-bundle and archive-equivalence condition"
"8070","8091","proposition","audit:review-bundle-availability-condition","Review-bundle availability condition","subsection: Review-bundle and archive-equivalence condition"
"8124","8135","proposition","audit:case-snapshot-non-rerun-boundary","Case-snapshot non-rerun boundary","subsection: Review-bundle and archive-equivalence condition"
"8155","8173","theorem","thm:finite-row-case-evidence-closure","Finite-row closure of case evidence","subsection: Review-bundle and archive-equivalence condition"
"8208","8218","corollary","cor:current-case-behaviour-evidence-criterion","Current case-behaviour evidence criterion","subsection: Review-bundle and archive-equivalence condition"
"8265","8287","proposition","audit:command-run-boundary-inventory","Command-run boundary inventory","subsection: Command-run boundary"
"8358","8373","theorem","thm:post-edit-rerun-metadata-gate","Post-edit rerun metadata gate","subsection: Command-run boundary"
"8400","8455","theorem","thm:final-local-support-state-reconciliation","Final four-interface maximality and support-state reconciliation","subsection: Command-run boundary"
"8548","8615","theorem","thm:presentation-route-five-interface-sharpness","Presentation-route five-interface sharpness","subsection: Command-run boundary"
"8696","8717","corollary","cor:presentation-summary-non-escalation","Presentation-summary non-escalation","subsection: Command-run boundary"
