  160-  179 | proposition | prop:final-package-shape-convention                     | Final package-shape convention | proof=True
  210-  227 | theorem     | thm:nested-package-states                               | Nested six-row and seven-row package states | proof=True
  275-  312 | definition  | def:architecture-axis-map                               | Architecture-axis map | proof=True
  314-  328 | proposition | prop:architecture-axis-non-escalation                   | Axis non-escalation | proof=True
  474-  491 | lemma       | lem:source-interface-extraction-correctness             | Manual bounded source-interface extraction correctness | proof=True
  513-  529 | proposition | prop:manual-source-interface-non-escalation             | Manual source-interface non-escalation | proof=True
  556-  569 | proposition | prop:reviewable-source-snapshot-interface               | Reviewable source-snapshot interface | proof=True
  586-  616 | proposition | prop:source-interface-record-file-consistency           | Executable source-interface record comparison | proof=True
  655-  671 | proposition | prop:source-interface-evidence-level-separation         | Source-interface evidence-level separation | proof=True
  746-  925 | definition  | def:operational-acceptance-interface                    | Operational acceptance interface | proof=False
  927-  957 | definition  | def:record-gate-soundness-external-interface            | Record-gate soundness external interface | proof=True
  959-  971 | proposition | prop:record-gate-soundness-external-interface-exactness | Record-gate interface equivalence and non-claim boundary | proof=True
 1003- 1025 | definition  | def:stronger-reading-preorder                           | Stronger-reading preorder | proof=False
 1027- 1065 | definition  | def:certificate-schema-acceptance-table                 | Certificate-schema acceptance table | proof=True
 1067- 1087 | proposition | prop:finite-certificate-schema-verifier                 | Finite certificate schema verifier as a record check | proof=True
 1133- 1167 | theorem     | thm:verifier-input-output-contract                      | Verifier input--predicate--output contract | proof=True
 1200- 1236 | theorem     | thm:finite-verifier-normal-form                         | Executable-record verifier normal form | proof=True
 1276- 1301 | theorem     | thm:record-acceptance-exactness                         | Schema-relative executable-record acceptance exactness | proof=True
 1336- 1353 | corollary   | cor:executable-schema-exactness-negative-fixture        | Executable schema exactness and negative fixture | proof=True
 1375- 1396 | theorem     | thm:finite-coordinate-determination-boundary            | Finite-coordinate determination and trust-boundary classifier | proof=True
 1437- 1469 | theorem     | thm:record-interface-rigidity                           | Record-interface rigidity and refresh fixed point | proof=True
 1537- 1567 | proposition | prop:machine-readable-certificate-records               | Machine-readable certificate records | proof=True
 1639- 1662 | theorem     | thm:executable-record-non-escalation                    | Executable record non-escalation | proof=True
 1697- 1721 | theorem     | thm:executable-certificate-construction-invariant       | Executable certificate-construction invariant | proof=True
 1765- 1772 | proposition | prop:claim-kind-dispatch                                | Deterministic claim-kind dispatch | proof=True
 1786- 1816 | theorem     | thm:mixed-claim-projection-obstruction                  | Mixed-claim projection obstruction | proof=True
 1849- 1889 | theorem     | thm:concrete-finite-script-implementation-soundness     | Concrete finite-script projection-contract exactness | proof=True
 1947- 1950 | corollary   | cor:finite-script-rgs-instantiation-boundary            | Finite-script projection instantiation boundary | proof=True
 1957- 1986 | theorem     | thm:assigned-gate-soundness-audit-boundary              | Assigned-gate soundness audit boundary | proof=True
 2026- 2050 | theorem     | thm:finite-certificate-obstruction-skeleton             | Finite certificate obstruction skeleton | proof=True
 2127- 2165 | theorem     | thm:finite-extension-budget-normal-form                 | Finite extension-budget normal form | proof=True
 2214- 2219 | proposition | prop:gate-interface-separation                          | Gate-interface separation | proof=True
 2238- 2256 | corollary   | cor:human-promotion-daemon-active-track-separation      | Human promotion is not daemon-visible active-track equivalence | proof=True
 2286- 2299 | proposition | prop:scheduler-selection-advisory                       | Scheduler selection is advisory before discovery gating | proof=True
 2363- 2379 | proposition | prop:publication-safety-minimal-bad-record-witness      | Minimal bad-record witness for command-run escalation | proof=True
 2407- 2504 | theorem     | thm:publication-safety-interface                        | Bounded software-audit interface under record-gate soundness | proof=True
 2612- 2641 | theorem     | thm:finite-record-certificate-rigidity                  | Finite-record certificate rigidity | proof=True
 2694- 2749 | theorem     | thm:boundary-axis-non-escalation-exactness              | Boundary-axis exact non-escalation | proof=True
 2830- 2876 | theorem     | thm:mixed-interface-overclaim-skeleton                  | Mixed-interface overclaim skeleton | proof=True
 2936- 2985 | theorem     | thm:presentation-scoped-boundary-normal-form            | Package-local boundary normal form for the presentation package | proof=True
 3055- 3103 | theorem     | thm:five-axis-upgrade-obstruction                       | Package-local five-axis upgrade obstruction | proof=True
 3165- 3214 | theorem     | thm:current-boundary-skeleton-non-gluing                | Current package-local boundary skeleton and non-gluing lower bound | proof=True
 3276- 3304 | proposition | prop:certificate-constructor-bad-subrecord-extractor    | Certificate constructor and bad-subrecord extractor | proof=True
 3340- 3357 | proposition | prop:publication-safety-maximality                      | Finite-record maximality | proof=True
 3382- 3406 | corollary   | cor:publication-safety-current-package-instance         | Current-package bounded source-level audit instance | proof=True
 3431- 3445 | corollary   | cor:finite-record-gate-soundness-boundary               | Finite-record boundary for external gate soundness | proof=True
 3478- 3514 | theorem     | thm:implementation-soundness-extension-criterion        | Boundary extension criterion for implementation-soundness readings | proof=True
 3564- 3584 | corollary   | cor:submitted-gate-implementation-contract-dichotomy    | Submitted gate-implementation contract dichotomy | proof=True
 3613- 3641 | theorem     | thm:external-interface-projection-no-free-upgrade       | External-interface projection and no-free-implementation upgrade | proof=True
 3713- 3752 | proposition | prop:current-package-acceptance-certificate-ledger      | Current-package acceptance and certificate ledger | proof=True
 3823- 3878 | theorem     | thm:current-package-certificate-exactness               | Current-package bounded schema-relative certificate exactness | proof=True
 3946- 3968 | theorem     | thm:manual-ledger-dependence-boundary                   | Ledger dependence and semantic extractor-completeness boundary | proof=True
 4025- 4041 | corollary   | cor:row-frozen-current-package-invariance               | Row-frozen current-package invariance | proof=True
 4067- 4103 | theorem     | thm:current-package-extension-coordinate-rigidity       | Current-package extension-coordinate rigidity | proof=True
 4160- 4185 | theorem     | thm:current-package-semantic-non-escalation             | Current-package semantic non-escalation | proof=True
 4226- 4273 | theorem     | thm:named-boundary-positive-coordinate-classification   | Named boundary positive-coordinate classification | proof=True
 4336- 4367 | corollary   | cor:current-package-path-verified-instantiation         | Current package path-verified instantiation | proof=True
 4439- 4450 | lemma       | lem:gate-witness-criterion                              | Gate-witness criterion | proof=True
 4464- 4488 | proposition | prop:path-complete-case-witnesses                       | Path-complete case witnesses | proof=True
 4592- 4610 | proposition | prop:review-bundle-case-snapshot-coverage               | Review-bundle case-snapshot coverage | proof=True
 4651- 4682 | theorem     | thm:case-witness-skeleton-rigidity                      | Case-witness skeleton rigidity | proof=True
 4794- 4813 | proposition | audit:fresh-venue-record-criterion                      | Fresh venue-record criterion | proof=True
 4835- 4849 | theorem     | thm:venue-rule-freshness-non-escalation                 | Venue-rule freshness non-escalation | proof=True
 4877- 4891 | corollary   | cor:historical-venue-record-non-escalation              | Historical venue record non-escalation | proof=True
 4907- 4931 | corollary   | cor:upload-time-venue-compliance-record-requirement     | Upload-time venue-compliance record requirement | proof=True
 4956- 4973 | proposition | prop:round-five-venue-record-instantiation              | Round-five venue-record instantiation | proof=True
 5007- 5027 | proposition | audit:venue-submission-pack-gate                        | Venue-submission pack gate | proof=True
 5078- 5088 | proposition | audit:submission-artifact-role-separation               | Submission artifact role separation | proof=True
 5170- 5193 | proposition | prop:formal-source-gate-instantiation                   | Formal-source gate instantiation | proof=True
 5237- 5248 | theorem     | thm:formal-source-promotion-obstruction                 | Formal-source promotion obstruction | proof=True
 5278- 5303 | theorem     | thm:evidence-level-overclaim-obstruction                | Evidence-level overclaim obstruction | proof=True
 5353- 5410 | theorem     | thm:finite-witness-manifest-record-interface            | Finite-witness manifest-bounded record interface | proof=True
 5473- 5498 | corollary   | cor:artifact-semantic-validity-boundary                 | Artifact semantic-validity boundary for finite witnesses | proof=True
 5536- 5552 | proposition | prop:primary-claim-row-classification                   | Primary-claim conditional inventory-audit classification | proof=True
 5601- 5639 | proposition | prop:primary-inventory-freshness-criterion              | Primary-inventory freshness criterion | proof=True
 5673- 5685 | proposition | prop:primary-supplement-interface-map                   | Primary--supplement interface map | proof=True
 5921- 5929 | theorem     | thm:exact-inclusion-support-surface-realization         | Exact-inclusion support-surface realization | proof=True
 5959- 5972 | theorem     | thm:public-branch-archive-equivalent-realization        | Public branch archive-equivalent locator realization | proof=True
 6005- 6027 | corollary   | cor:submission-time-support-instantiation-test          | Submission-time support instantiation test | proof=True
 6059- 6078 | theorem     | thm:final-support-surface-closure                       | Final support-surface closure | proof=True
 6181- 6207 | theorem     | thm:workspace-final-package-reconciliation              | Workspace-to-final-package reconciliation | proof=True
 6274- 6300 | theorem     | thm:support-surface-normal-form                         | Support-surface normal form for bundle-backed claims | proof=True
 6341- 6372 | theorem     | thm:support-surface-invariant-compression               | Support-surface invariant compression | proof=True
 6406- 6421 | theorem     | thm:upload-or-archive-instantiation-boundary            | Upload instantiation boundary | proof=True
 6444- 6452 | corollary   | cor:upload-or-archive-instantiation-record              | Upload-or-archive instantiation record | proof=True
 6459- 6474 | proposition | prop:no-external-instantiation-from-local-bundle-records | No external instantiation from local bundle records | proof=True
 6503- 6548 | proposition | prop:upload-or-archive-instantiation-update-protocol    | Upload-or-archive instantiation update protocol | proof=True
 6594- 6619 | corollary   | cor:current-no-receipt-support-surface-non-escalation   | Current no-receipt support-surface non-escalation | proof=True
 6647- 6658 | corollary   | cor:fresh-inventory-digest-instance-this-source-state   | Fresh inventory digest instance for this source state | proof=True
 6679- 6708 | theorem     | thm:digest-closure-refresh-criterion                    | Digest-closure refresh criterion for final package claims | proof=True
 6748- 6763 | proposition | prop:primary-architectural-fallback-without-external-support | Primary architectural fallback without external support | proof=True
 6814- 6831 | theorem     | thm:deterministic-theorem-environment-extractor-boundary | Deterministic theorem-environment extractor boundary | proof=True
 6861- 6882 | theorem     | prop:manual-theorem-inventory-boundary                  | Theorem-inventory boundary | proof=True
 6913- 6931 | proposition | prop:regenerated-theorem-inventory-digest-closure       | Regenerated theorem-inventory digest closure | proof=True
 6962- 6974 | corollary   | cor:current-theorem-inventory-digest-instance           | Current theorem-inventory digest instance | proof=True
 6998- 7018 | proposition | prop:post-inventory-fixed-point-support-certificate     | Post-inventory fixed-point support certificate | proof=True
 7055- 7080 | theorem     | thm:post-inventory-finite-record-realization            | Post-inventory finite-record realization | proof=True
 7120- 7147 | theorem     | thm:theorem-obligation-ledger-boundary                  | Seven-row submitted theorem-obligation ledger integration | proof=True
 7192- 7205 | proposition | prop:post-inventory-support-tuple-extraction-certificate | Post-inventory support-tuple extraction certificate | proof=True
 7234- 7244 | proposition | prop:submitted-theorem-inventory-availability           | Submitted theorem-inventory availability | proof=True
 7260- 7285 | proposition | prop:submission-support-instantiation-field-normal-form | Submission-support instantiation field normal form | proof=True
 7312- 7330 | corollary   | cor:current-local-support-normal-form                   | Current local-support normal form | proof=True
 7367- 7388 | proposition | audit:review-bundle-availability-condition              | Review-bundle availability condition | proof=True
 7421- 7432 | proposition | audit:case-snapshot-non-rerun-boundary                  | Case-snapshot non-rerun boundary | proof=True
 7452- 7470 | theorem     | thm:finite-row-case-evidence-closure                    | Finite-row closure of case evidence | proof=True
 7547- 7566 | proposition | audit:command-run-boundary-inventory                    | Command-run boundary inventory | proof=True
 7629- 7644 | proposition | prop:final-local-support-state-reconciliation           | Final local support-state reconciliation | proof=True
 7674- 7704 | theorem     | thm:submission-support-fixed-point-normal-form          | Machine-checkable support-coordinate fixed-point normal form | proof=True
 7742- 7759 | theorem     | thm:post-inventory-support-coordinate-dichotomy         | Post-inventory support-coordinate dichotomy | proof=True
 7798- 7813 | proposition | prop:final-refreshed-coordinate-instantiation           | Final refreshed-coordinate instantiation | proof=True
 7844- 7875 | theorem     | thm:post-inventory-package-fixed-point                  | Post-inventory support-coordinate fixed point | proof=True
 7928- 7943 | corollary   | cor:current-post-inventory-realization                  | Current post-inventory realization | proof=True
 7965- 7989 | theorem     | thm:current-inventory-artifact-realization              | Current inventory support-coordinate realization | proof=True
 8019- 8035 | corollary   | cor:current-post-inventory-support-tuple-instantiation  | Current post-inventory support tuple instantiation | proof=True
 8066- 8080 | corollary   | cor:stable-replay-post-inventory-tuple                  | Byte-level stable replay criterion for the post-inventory tuple | proof=True
