176	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution
225	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution
290	definition	def:architecture-axis-map	Architecture-axis map	Architecture
329	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture
505	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture
544	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture
587	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture
617	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture
684	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture
749	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture
783	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture
837	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture
875	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture
933	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture
1024	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface
1205	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface
1237	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface
1281	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface
1305	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface
1345	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface
1411	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface
1478	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Abstract finite-record interface
1536	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface
1612	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface
1672	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface
1711	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface
1773	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface
1873	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Abstract finite-record interface
1929	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Abstract finite-record interface
1968	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface
2070	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface
2128	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface
2196	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface
2217	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface
2280	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Abstract finite-record interface
2378	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Abstract finite-record interface
2388	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface
2457	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface
2558	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface
2645	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Abstract finite-record interface
2722	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Abstract finite-record interface
