001	main.tex:174	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution / 
002	main.tex:223	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution / 
003	main.tex:288	definition	def:architecture-axis-map	Architecture-axis map	Architecture / 
004	main.tex:327	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture / 
005	main.tex:487	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture / 
006	main.tex:526	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture / 
007	main.tex:569	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture / 
008	main.tex:599	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture / 
009	main.tex:666	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture / 
010	main.tex:731	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture / 
011	main.tex:785	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture / 
012	main.tex:823	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture / 
013	main.tex:881	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture / 
014	main.tex:972	definition	def:operational-acceptance-interface	Operational acceptance interface	Operational interface / Abstract finite-record interface
015	main.tex:1153	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Operational interface / Abstract finite-record interface
016	main.tex:1185	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Operational interface / Abstract finite-record interface
017	main.tex:1229	definition	def:stronger-reading-preorder	Stronger-reading preorder	Operational interface / Abstract finite-record interface
018	main.tex:1253	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Operational interface / Abstract finite-record interface
019	main.tex:1293	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Operational interface / Abstract finite-record interface
020	main.tex:1359	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Operational interface / Abstract finite-record interface
021	main.tex:1426	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Operational interface / Abstract finite-record interface
022	main.tex:1502	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Operational interface / Abstract finite-record interface
023	main.tex:1562	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Operational interface / Abstract finite-record interface
024	main.tex:1601	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Operational interface / Abstract finite-record interface
025	main.tex:1663	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Operational interface / Abstract finite-record interface
026	main.tex:1763	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Operational interface / Abstract finite-record interface
027	main.tex:1819	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Operational interface / Abstract finite-record interface
028	main.tex:1858	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Operational interface / Abstract finite-record interface
029	main.tex:1960	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Operational interface / Abstract finite-record interface
030	main.tex:2018	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Operational interface / Abstract finite-record interface
031	main.tex:2086	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Operational interface / Abstract finite-record interface
032	main.tex:2107	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Operational interface / Abstract finite-record interface
033	main.tex:2170	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Operational interface / Abstract finite-record interface
034	main.tex:2268	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Operational interface / Abstract finite-record interface
035	main.tex:2278	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Operational interface / Abstract finite-record interface
036	main.tex:2347	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Operational interface / Abstract finite-record interface
037	main.tex:2448	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Operational interface / Abstract finite-record interface
038	main.tex:2535	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Operational interface / Abstract finite-record interface
039	main.tex:2612	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Operational interface / Abstract finite-record interface
040	main.tex:2679	proposition	prop:gate-interface-separation	Gate-interface separation	Operational interface / Abstract finite-record interface
041	main.tex:2703	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Operational interface / Abstract finite-record interface
042	main.tex:2751	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Operational interface / Abstract finite-record interface
043	main.tex:2828	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Operational interface / Abstract finite-record interface
044	main.tex:2872	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Operational interface / Abstract finite-record interface
045	main.tex:3083	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Operational interface / Abstract finite-record interface
046	main.tex:3165	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Operational interface / Abstract finite-record interface
047	main.tex:3301	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Operational interface / Abstract finite-record interface
048	main.tex:3407	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Operational interface / Abstract finite-record interface
049	main.tex:3526	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Operational interface / Abstract finite-record interface
050	main.tex:3636	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Operational interface / Abstract finite-record interface
051	main.tex:3775	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Operational interface / Abstract finite-record interface
052	main.tex:3839	proposition	prop:publication-safety-maximality	Finite-record maximality	Operational interface / Abstract finite-record interface
053	main.tex:3883	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Operational interface / Abstract finite-record interface
054	main.tex:3932	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Operational interface / Abstract finite-record interface
055	main.tex:3979	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Operational interface / Abstract finite-record interface
056	main.tex:4065	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Operational interface / Abstract finite-record interface
