# n^s Z_n(sigma_0) from the Stern-Brocot walk, vmax=60000, exact integers
# sigma_0 = 2.4787507857339602606714872614
# validated against brute force at n=4..12 (verify_Zn_large_n.py)
# NOTE: the sequence is known to turn over near n=27, so every value here is
# pre-peak and none of it bears directly on the limit.
#  n    n^s Z_n                  error bound      keys
  12  11.399293756568          0.0              1024
  13  12.065847575784          0.0              2048
  14  12.650120356356          0.0              4096
  15  13.157586018641          0.0              8192
  16  13.594142079405          0.0              16384
  17  13.965813555604          0.0              32768
  18  14.27854991269           0.0              65536
  19  14.538089776658          0.0              131072
  20  14.749874795394          0.0              262144
  21  14.918998919553          0.0              524288
  22  15.050182968939          0.0              1048576
  23  15.147767007473          0.0              2097152
  24  15.215714214281          1.61e-6          4194074
  25  15.257306586293          0.0006447        8290632
