168	182	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution	proof=True
211	228	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution	proof=True
276	313	definition	def:architecture-axis-map	Architecture-axis map	Architecture	proof=False
315	329	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture	proof=True
491	508	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture	proof=True
530	546	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture	proof=True
573	586	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture	proof=True
603	632	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture	proof=True
670	699	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture	proof=True
735	748	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture	proof=True
769	787	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture	proof=True
823	837	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture	proof=True
861	881	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture	proof=True
919	935	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture	proof=True
1038	1217	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface	proof=False
1219	1249	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface	proof=False
1251	1263	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface	proof=True
1295	1317	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface	proof=False
1319	1357	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface	proof=False
1359	1379	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface	proof=True
1425	1459	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface	proof=True
1492	1510	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Abstract finite-record interface	proof=True
1550	1586	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface	proof=True
1626	1651	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface	proof=True
1686	1703	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface	proof=True
1725	1746	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface	proof=True
1787	1819	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface	proof=True
1887	1913	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Abstract finite-record interface	proof=True
1956	1969	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Abstract finite-record interface	proof=True
1995	2025	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface	proof=True
2097	2120	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface	proof=True
2155	2179	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface	proof=True
2223	2230	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface	proof=True
2244	2274	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Abstract finite-record interface	proof=True
2307	2347	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Abstract finite-record interface	proof=True
2405	2408	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Abstract finite-record interface	proof=True
2415	2444	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Abstract finite-record interface	proof=True
2484	2518	theorem	thm:six-coordinate-gate-implementation-soundness-skeleton	Six-coordinate gate-implementation soundness skeleton	Abstract finite-record interface	proof=True
2561	2585	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Abstract finite-record interface	proof=True
2662	2700	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Abstract finite-record interface	proof=True
2749	2778	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Abstract finite-record interface	proof=True
2826	2855	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Abstract finite-record interface	proof=True
2893	2898	proposition	prop:gate-interface-separation	Gate-interface separation	Abstract finite-record interface	proof=True
2917	2935	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Abstract finite-record interface	proof=True
2965	2978	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Abstract finite-record interface	proof=True
3046	3062	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Abstract finite-record interface	proof=True
3090	3162	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness	Abstract finite-record interface	proof=True
3223	3244	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction	Abstract finite-record interface	proof=True
3390	3419	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Abstract finite-record interface	proof=True
3472	3527	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Abstract finite-record interface	proof=True
3608	3654	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Abstract finite-record interface	proof=True
3714	3763	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Abstract finite-record interface	proof=True
3833	3881	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Abstract finite-record interface	proof=True
3943	4014	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Abstract finite-record interface	proof=True
4082	4110	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Abstract finite-record interface	proof=True
4146	4165	proposition	prop:publication-safety-maximality	Finite-record maximality	Abstract finite-record interface	proof=True
4190	4214	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Abstract finite-record interface	proof=True
4239	4253	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Abstract finite-record interface	proof=True
4286	4322	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Abstract finite-record interface	proof=True
4372	4392	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Abstract finite-record interface	proof=True
4421	4449	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	Abstract finite-record interface	proof=True
4521	4560	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Primary-claim inventory audit	proof=True
4631	4699	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness	Current-package instantiation	proof=True
4789	4811	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Current-package instantiation	proof=True
4868	4884	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Current-package instantiation	proof=True
4910	4946	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	Current-package instantiation	proof=True
5003	5028	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Current-package instantiation	proof=True
5069	5116	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification	Current-package instantiation	proof=True
5179	5210	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation	Current-package instantiation	proof=True
5282	5293	lemma	lem:gate-witness-criterion	Gate-witness criterion	Case-study witness protocol	proof=True
5307	5331	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses	Case-study witness protocol	proof=True
