177	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution	proof=True/True
220	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution	proof=True/True
285	definition	def:architecture-axis-map	Architecture-axis map	Architecture	proof=True/True
324	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture	proof=True/True
368	theorem	thm:presentation-compressed-interface	Presentation-route compressed interface	Architecture	proof=True/True
598	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture	proof=True/True
637	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture	proof=True/True
680	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture	proof=True/True
710	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture	proof=True/True
777	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture	proof=True/True
842	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture	proof=True/True
876	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture	proof=True/True
930	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture	proof=True/True
968	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture	proof=True/True
1026	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture	proof=True/True
1145	definition	def:operational-acceptance-interface	Operational acceptance interface	Abstract finite-record interface	proof=True/True
1326	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Abstract finite-record interface	proof=True/True
1358	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Abstract finite-record interface	proof=True/True
1402	definition	def:stronger-reading-preorder	Stronger-reading preorder	Abstract finite-record interface	proof=True/False
1426	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Abstract finite-record interface	proof=True/True
1466	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Abstract finite-record interface	proof=True/True
1532	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Abstract finite-record interface	proof=True/True
1599	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Abstract finite-record interface	proof=True/True
1657	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Abstract finite-record interface	proof=True/True
1733	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Abstract finite-record interface	proof=True/True
1812	theorem	thm:finite-record-method-schema-compression	Verifier-schema compression of the finite-record calculus	Abstract finite-record interface	proof=True/True
1869	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Abstract finite-record interface	proof=True/True
1908	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Abstract finite-record interface	proof=True/True
1970	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Abstract finite-record interface	proof=True/True
2070	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Abstract finite-record interface	proof=True/True
2139	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Abstract finite-record interface	proof=True/True
2178	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Abstract finite-record interface	proof=True/True
2280	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Abstract finite-record interface	proof=True/True
2338	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Abstract finite-record interface	proof=True/True
2406	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Abstract finite-record interface	proof=True/True
