sec_introduction_core.tex:233	proposition	prop:intro-finite-state-transfer-split	Finite-dimensional determinant reduction
sec_introduction_core.tex:311	theoremsummary	stmt:main-theorem-i-adams-mobius-linearisation,stmt:intro-adams-mobius-linearisation,stmt:intro-finite-group,stmt:intro-adams-mobius	Main Theorem I: finite determinant recovery of primitive channels
sec_introduction_core.tex:342	theoremsummary	stmt:main-theorem-ii-class-mertens-constants,stmt:intro-class-mertens-constants,stmt:intro-class-mertens	Main Theorem II: Perron-point class Mertens constants
sec_introduction_core.tex:374	theoremsummary	stmt:main-theorem-iii-adams-frobenius-products,stmt:intro-adams-frobenius-products	Main Theorem III: Adams-corrected Frobenius-class Euler-product constants
sec_preliminaries.tex:106	proposition	prop:prelim-trace-primitive,eq:zeta-def	Trace, primitive orbits, and Euler product
sec_preliminaries.tex:143	lemma	lem:pf-trace-bound	Perron--Frobenius trace bound
sec_preliminaries.tex:200	lemma	lem:primitive-orbit-asymptotic	Primitive M\"obius asymptotic
sec_preliminaries.tex:383	proposition	prop:finite-state-data-collection,prop:finite-state-data-package	Finite-state determinant data
sec_preliminaries.tex:472	lemma	lem:simple-eigenvalue-reduced-constant	Reduced constant at a simple eigenvalue
sec_preliminaries.tex:521	definition	def:abel-finite-part,eq:cyclic-lift-def	Abel finite-part constant
sec_preliminaries.tex:567	definition	def:spectral-fingerprints	Fixed-matrix cyclic-lift records
sec_chebotarev_main_inversion.tex:59	proposition	prop:main-theorem-i-assembly-map	Finite determinant assembly for Main Theorem I
sec_chebotarev_main_inversion.tex:207	proposition	prop:class-indicator-expansion	Conjugacy-class expansion
sec_chebotarev_main_inversion.tex:247	proposition	prop:kernel-peter-weyl-block-diagonalisation	Peter--Weyl determinant factorisation
sec_chebotarev_main_inversion.tex:341	lemma	lem:twisted-gap-skew-product-peripheral	Twisted gap as a skew-product peripheral-spectrum condition
sec_chebotarev_main_inversion.tex:423	proposition	prop:twisted-spectral-radius-bound	Twisted spectral-radius bound
sec_chebotarev_main_inversion.tex:499	lemma	lem:twisted-trace-identity	Twisted trace identity
sec_chebotarev_main_inversion.tex:560	theorem	thm:class-function-linearisation,eq:class-logarithm-determinant-linearisation	Main Theorem I(a): class-function determinant linearisation
sec_chebotarev_fixed_label_and_boundary.tex:1	lemma	lem:class-logarithm-primitive-expansion,eq:class-logarithm-primitive-expansion,rem:ordinary-mobius-stops	Primitive expansion of class-function logarithms
sec_chebotarev_fixed_label_and_boundary.tex:66	corollary	cor:class-function-adams-mobius,eq:class-adams-mobius-inversion,subsec:fixed-label-vs-artin-logarithm	Main Theorem I(b): Adams--M\"obius primitive inversion
sec_chebotarev_fixed_label_and_boundary.tex:177	theorem	thm:fixed-label-euler-transform,eq:fixed-label-euler-transform-adams-mobius,eq:fixed-label-euler-transform-vs-artin,eq:fixed-label-euler-transform-perron-branch-series	Fixed-label Euler transform with Perron branch convention
sec_chebotarev_fixed_label_and_boundary.tex:294	proposition	prop:logarithmic-channel-separation,eq:channel-separation-artin,eq:channel-separation-primitive,eq:channel-separation-fixed,eq:channel-separation-obstruction	Periodic, primitive, and fixed-label logarithms
sec_chebotarev_fixed_label_and_boundary.tex:357	lemma	lem:perron-boundary-trace-power-majorant,eq:trace-power-perron-bound,eq:double-trace-power-majorant	Trace-power majorant for Perron-boundary determinant logarithms
sec_chebotarev_fixed_label_and_boundary.tex:477	lemma	lem:fixed-label-perron-double-majorant,eq:fixed-label-perron-double-majorant-series,eq:fixed-label-perron-double-majorant-bound,rem:adams-mobius-literature-position	Perron-boundary majorant for the fixed-label double series
sec_chebotarev_peter_weyl_bridge.tex:35	lemma	lem:adams-coefficients-bounded,rem:adams-coefficients-periodic	Uniform bound for Adams decomposition coefficients
sec_chebotarev_peter_weyl_bridge.tex:79	corollary	cor:primitive-peter-weyl-determinant,eq:primitive-peter-weyl-determinant,rem:abelian-toy-model-cyclic	Main Theorem I(c): irreducible-channel determinant formula
sec_chebotarev_peter_weyl_bridge.tex:164	theorem	thm:primitive-peter-weyl-trace,eq:primitive-peter-weyl-trace	Main Theorem I(d): primitive Peter--Weyl trace formula
sec_chebotarev_peter_weyl_bridge.tex:191	corollary	cor:primitive-peter-weyl-trace	Finite trace formula for primitive coefficients
sec_chebotarev_peter_weyl_bridge.tex:236	proposition	prop:class-primitive-decomposition,eq:class-primitive-generating-function,eq:class-primitive-coefficients	Conjugacy-class primitive decomposition
sec_chebotarev_peter_weyl_bridge.tex:271	theorem	thm:class-count-trace-recovery,thm:class-count-trace-readout,eq:class-artin-mobius-trace	Main Theorem I(e): class-count trace recovery
sec_chebotarev_peter_weyl_bridge.tex:355	lemma	lem:class-primitive-trivial-split	Trivial and non-trivial class decomposition
sec_chebotarev_peter_weyl_bridge.tex:375	lemma	lem:nontrivial-peter-weyl-channel-bound	Non-trivial Peter--Weyl channel bound
sec_chebotarev_peter_weyl_bridge.tex:470	lemma	lem:nontrivial-perron-point-convergence	Absolute convergence at the Perron point
sec_chebotarev_peter_weyl_bridge.tex:494	lemma	lem:abel-correction-sum	Abel limit equals the ordinary correction sum
sec_chebotarev_peter_weyl_bridge.tex:537	lemma	lem:geometric-harmonic-tail	Geometric-harmonic tails
sec_chebotarev_peter_weyl_bridge.tex:563	lemma	lem:harmonic-log-remainder	Harmonic-log remainder bound
sec_chebotarev_peter_weyl_bridge.tex:615	lemma	lem:perron-channel-contribution	Perron-channel contribution
sec_chebotarev_class_mertens_overview.tex:55	proposition	prop:class-mertens-product-dependency-chain	Finite determinant dependence for Main Theorems II--III
sec_chebotarev_class_mertens_additive.tex:15	theorem	thm:class-mertens-explicit,eq:class-primitive-asymptotic,eq:class-chebotarev-density,eq:class-mertens-harmonic,eq:class-mertens-constant,eq:class-mertens-base-constant,eq:class-mertens-explicit-constant,eq:class-primitive-explicit-bound	Main Theorem II(a): class Mertens theorem under the stated twisted spectral gap
sec_chebotarev_class_mertens_additive.tex:270	corollary	cor:class-mertens-log-form,eq:class-mertens-log,eq:class-mertens-log-explicit	Logarithmic form of Main Theorem II
sec_chebotarev_class_mertens_products.tex:11	lemma	lem:class-euler-product-tail-bound,eq:class-product-tail-bound,eq:class-product-log-bound-input,eq:class-product-log-bound-output	Explicit product-tail bound
sec_chebotarev_class_mertens_products.tex:93	proposition	prop:main-ii-iii-uniform-remainders	Uniform remainders for the class Mertens and product formulae
sec_chebotarev_class_mertens_products.tex:153	lemma	lem:class-product-log-to-product-error	Exponentiating the class product logarithm
sec_chebotarev_class_mertens_products.tex:179	proposition	prop:class-euler-product-main-chain-reduction,eq:class-euler-product-reduction-asymptotic,eq:class-euler-product-reduction-normalisation	Product-tail reduction from the additive Mertens formula
sec_chebotarev_class_mertens_products.tex:259	proposition	prop:class-product-internal-k-certificate,eq:class-product-internal-k-certificate	Fixed-label formula for the displayed product constant
sec_chebotarev_class_mertens_products.tex:319	proposition	prop:three-logarithm-product-interface,eq:three-logarithm-product-interface	Three logarithmic objects at the product constant
sec_chebotarev_class_mertens_products.tex:428	proposition	prop:main-iii-product-constant-factorisation,eq:main-iii-factorisation-mc-constant,eq:main-iii-factorisation-fourier-profile,eq:main-iii-factorisation-inverse-profile	Product-constant factorisation for Main Theorem~III
sec_chebotarev_class_mertens_products.tex:546	theorem	thm:class-euler-product-mertens,eq:class-euler-product-def,eq:class-euler-product-asymptotic,eq:class-euler-product-k-mc,eq:class-euler-product-k-f	Main Theorem III: Adams-corrected Frobenius-class Euler-product constants
sec_chebotarev_class_mertens_products.tex:722	proposition	prop:main-iii-dependency-map,rem:main-iii-dependency-map	Dependency map for Main Theorem~III
sec_chebotarev_class_mertens_products.tex:784	proposition	prop:main-iii-fixed-label-coordinate-factorisation	Closed fixed-label coordinate equivalence
sec_chebotarev_class_mertens_products.tex:897	corollary	cor:class-euler-product-determinant-evaluation,eq:class-euler-product-determinant-F,eq:class-euler-product-k-det-adjacent	Branch-compatible finite-determinant evaluation of the product constants
sec_chebotarev_class_mertens_products.tex:954	proposition	prop:classical-layer-adams-corrected-constant-separation,eq:classical-layer-forward-transform,eq:classical-layer-inverse-transform,eq:classical-layer-replacement-error,eq:classical-layer-replacement-parseval	Adams-corrected constant formula and replacement obstruction
sec_chebotarev_class_mertens_rigidity_core.tex:10	theorem	thm:class-product-determinant-rigidity,eq:class-product-rigidity-determinant-coordinate,eq:class-product-rigidity-d-equals-f,eq:class-product-log-vector,eq:class-product-normalisation-constraint,eq:class-product-fourier-coordinates,eq:class-product-rigidity-product-formula,eq:class-product-parseval	Finite determinant-coordinate rigidity for Adams-corrected constants
sec_chebotarev_class_mertens_rigidity_core.tex:205	corollary	cor:class-product-hyperplane-stability,cor:class-product-stability-scalar-independence,eq:class-product-coordinate-map,eq:class-product-coordinate-map-inverse,eq:class-product-hyperplane-expansion,eq:class-product-stability-isometry,eq:class-product-stability-forward	Branch-compatible hyperplane classification and fixed-coordinate stability
sec_chebotarev_class_mertens_rigidity_core.tex:310	corollary	cor:assembled-adams-frobenius-product-formula,cor:assembled-adams-frobenius-product-package,eq:class-product-finite-truncation-coordinate,eq:class-product-finite-truncation-constant,eq:class-product-finite-truncation-error,eq:assembled-truncation-coordinate-tail	Assembled finite-determinant product formula and truncation
sec_chebotarev_class_mertens_rigidity_consequences.tex:10	proposition	prop:class-product-fixed-coordinate-equivalence	Fixed-coordinate equivalence after scalar normalisation
sec_chebotarev_class_mertens_rigidity_consequences.tex:62	theorem	thm:class-product-minimal-obstruction-skeleton,eq:fixed-coordinate-support-product-map,eq:fixed-coordinate-support-rank-bound,eq:fixed-coordinate-support-peter-weyl-record	Fixed-coordinate support lemma for Main Theorem III
sec_chebotarev_class_mertens_rigidity_consequences.tex:240	corollary	cor:class-product-artin-obstruction-recovery,cor:class-product-artin-obstruction-readout	Artin substitution after scalar normalisation
sec_chebotarev_class_mertens_rigidity_consequences.tex:314	proposition	prop:finite-data-main-chain-closure,prop:finite-data-main-factorisation-closure	Finite determinant closure of the main constants
sec_chebotarev_class_mertens_rigidity_consequences.tex:416	proposition	prop:assembled-recovery-dependency-order,rem:assembled-recovery-dependency-order,eq:assembled-recovery-dependency-order	Ordered finite recovery for the three main theorem outputs
sec_chebotarev_class_mertens_rigidity_consequences.tex:503	proposition	prop:class-product-comparison	Adams correction to Frobenius-class Mertens products
sec_chebotarev_class_mertens_rigidity_consequences.tex:776	theorem	thm:class-product-novelty-boundary	Classical exponent and Adams-coordinate separation
sec_chebotarev_class_mertens_rigidity_consequences.tex:873	corollary	cor:class-product-classical-layer-uniqueness	Classical-layer uniqueness of the Adams coordinate
sec_chebotarev_class_mertens_rigidity_consequences.tex:930	proposition	prop:theorem-by-theorem-comparison-calibration	Comparison with existing symbolic-dynamical results
sec_chebotarev_class_mertens_equivalence.tex:8	lemma	lem:class-product-constant-equivalence,eq:class-product-constant-compatibility,eq:class-product-tail-split,eq:class-product-before-scalar-normalisation	Compatibility of class Euler-product constants
sec_chebotarev_class_mertens_equivalence.tex:162	lemma	lem:class-product-hermitian-normalisation,eq:class-product-normalisation-identity	Hermitian normalisation of the class-product constant
sec_chebotarev_class_mertens_equivalence.tex:226	lemma	lem:class-product-positive-real-branch,lem:class-euler-product-real-branch,eq:class-euler-product-character-exponent	Positive real branch for the character formula
sec_chebotarev_class_mertens_equivalence.tex:285	lemma	lem:class-product-sign-normalisation-conventions	Sign and normalisation conventions for \texorpdfstring{$K_C$}{KC}
sec_chebotarev_class_mertens_determinants.tex:26	lemma	lem:fixed-label-singular-triple-deletion,eq:fixed-label-singular-deletion-abel	Singular-triple deletion and branch convention
sec_chebotarev_class_mertens_determinants.tex:102	proposition	prop:fixed-label-determinant-perron,eq:fixed-label-determinant-perron	Branch-sensitive determinant formula for fixed-label Perron values
