174	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution
223	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution
288	definition	def:architecture-axis-map	Architecture-axis map	Architecture
327	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture
487	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture
526	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture
569	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture
599	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture
666	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture
731	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture
785	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture
823	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture
881	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture
972	definition	def:operational-acceptance-interface	Operational acceptance interface	Operational interface
1153	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Operational interface
1185	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Operational interface
1229	definition	def:stronger-reading-preorder	Stronger-reading preorder	Operational interface
1253	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Operational interface
1293	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Operational interface
1359	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Operational interface
1426	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Operational interface
1502	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Operational interface
1562	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Operational interface
1601	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Operational interface
1663	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Operational interface
1763	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Operational interface
1819	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Operational interface
1858	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Operational interface
1960	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Operational interface
