"Line","Kind","Title","Section"
"71","SECTION","Problem and contribution",""
"183","proposition","Final package-shape convention","Problem and contribution"
"226","theorem","Nested six-row and seven-row package states","Problem and contribution"
"277","SECTION","Architecture",""
"291","definition","Architecture-axis map","Architecture"
"330","proposition","Axis non-escalation","Architecture"
"374","theorem","Presentation-route compressed interface","Architecture"
"467","corollary","Compact-presentation boundary routing","Architecture"
"683","lemma","Manual bounded source-interface extraction correctness","Architecture"
"722","proposition","Manual source-interface non-escalation","Architecture"
"765","proposition","Reviewable source-snapshot interface","Architecture"
"795","proposition","Executable source-interface record comparison","Architecture"
"862","theorem","Bounded source-interface maximality","Architecture"
"927","corollary","Downstream imported-label use factors through bounded rows","Architecture"
"961","theorem","Public-source reachability non-escalation","Architecture"
"1015","corollary","Public-source coordinate exactness","Architecture"
"1053","theorem","Source-interface semantic-completeness obstruction","Architecture"
"1111","proposition","Source-interface evidence-level separation","Architecture"
"1157","SECTION","Operational interface",""
"1189","SUBSECTION","Abstract finite-record interface",""
"1230","definition","Operational acceptance interface","Operational interface"
"1411","definition","Record-gate soundness external interface","Operational interface"
"1443","proposition","Record-gate interface equivalence and non-claim boundary","Operational interface"
"1487","definition","Stronger-reading preorder","Operational interface"
"1511","definition","Certificate-schema acceptance table","Operational interface"
"1551","proposition","Finite certificate schema verifier as a record check","Operational interface"
"1617","theorem","Verifier input--predicate--output contract","Operational interface"
"1684","theorem","Auditable compiler-boundary completeness","Operational interface"
"1742","theorem","Executable-record verifier normal form","Operational interface"
"1818","theorem","Schema-relative executable-record acceptance exactness","Operational interface"
"1897","theorem","Verifier-schema compression of the finite-record calculus","Operational interface"
"1954","corollary","Executable schema exactness and negative fixture","Operational interface"
"1993","theorem","Finite-coordinate determination and trust-boundary classifier","Operational interface"
"2055","theorem","Record-interface rigidity and refresh fixed point","Operational interface"
"2155","theorem","Record-gate implementation overclaim obstruction","Operational interface"
"2224","corollary","Finite-record acceptance is not implementation soundness","Operational interface"
"2263","proposition","Machine-readable certificate records","Operational interface"
"2365","theorem","Executable record non-escalation","Operational interface"
"2423","theorem","Executable certificate-construction invariant","Operational interface"
"2491","proposition","Deterministic claim-kind dispatch","Operational interface"
"2512","theorem","Mixed-claim projection obstruction","Operational interface"
"2575","theorem","Concrete finite-script projection-contract boundary","Operational interface"
"2673","corollary","Finite-script projection instantiation boundary","Operational interface"
"2683","theorem","Assigned-gate soundness audit boundary","Operational interface"
"2752","theorem","Six-coordinate gate-implementation soundness skeleton","Operational interface"
"2829","theorem","Finite certificate obstruction skeleton","Operational interface"
"2930","theorem","Finite extension-budget normal form","Operational interface"
"3017","theorem","Finite-record certificate calculus spine","Operational interface"
"3094","proposition","Dependency normal form for the publication-safety chain","Operational interface"
"3161","proposition","Gate-interface separation","Operational interface"
"3185","corollary","Human promotion is not daemon-visible active-track equivalence","Operational interface"
"3233","proposition","Scheduler selection is advisory before discovery gating","Operational interface"
"3314","proposition","Minimal bad-record witness for command-run escalation","Operational interface"
"3358","theorem","Conditional finite-record publication audit interface","Operational interface"
"3493","theorem","Gate implementation-soundness upgrade obstruction","Operational interface"
"3660","theorem","Finite-record certificate rigidity","Operational interface"
"3742","theorem","Boundary-axis exact non-escalation","Operational interface"
"3878","theorem","Mixed-interface overclaim skeleton","Operational interface"
"3984","theorem","Package-local boundary normal form for the presentation package","Operational interface"
"4103","theorem","Package-local five-axis upgrade obstruction","Operational interface"
"4213","theorem","Current package-local boundary skeleton and non-gluing lower bound","Operational interface"
"4352","proposition","Certificate constructor and bad-subrecord extractor","Operational interface"
"4416","proposition","Finite-record maximality","Operational interface"
"4460","corollary","Current-package bounded source-level audit instance","Operational interface"
"4511","corollary","Finite-record boundary for external gate soundness","Operational interface"
"4558","theorem","Boundary extension criterion for implementation-soundness readings","Operational interface"
"4644","corollary","Submitted gate-implementation contract dichotomy","Operational interface"
"4693","theorem","External-interface projection and no-free-implementation upgrade","Operational interface"
"4773","SUBSECTION","Primary-claim inventory audit",""
"4793","proposition","Current-package acceptance and certificate ledger","Operational interface"
"4892","SUBSECTION","Current-package instantiation",""
"4903","theorem","Current-package path-verified ledger-relative certificate exactness","Operational interface"
"5062","theorem","Ledger dependence and semantic extractor-completeness boundary","Operational interface"
"5141","corollary","Row-frozen current-package invariance","Operational interface"
"5183","theorem","Current-package extension-coordinate rigidity","Operational interface"
"5276","theorem","Current-package semantic non-escalation","Operational interface"
"5342","theorem","Named boundary positive-coordinate classification","Operational interface"
"5452","corollary","Current package path-verified ledger-relative instantiation","Operational interface"
"5528","SECTION","Gate summary",""
"5530","SUBSECTION","Case-study witness protocol",""
"5559","lemma","Gate-witness criterion","Gate summary"
"5584","proposition","Path-complete historical case-audit witnesses","Gate summary"
"5659","SECTION","Case studies",""
"5712","proposition","Review-bundle case-snapshot coverage","Case studies"
"5771","theorem","Historical case-audit skeleton rigidity","Case studies"
"5863","SECTION","Evidence boundary",""
"5865","SUBSECTION","Primary--supplement interface",""
"5914","proposition","Fresh venue-record criterion","Evidence boundary"
"5965","theorem","Venue-rule freshness non-escalation","Evidence boundary"
"6011","corollary","Historical venue record non-escalation","Evidence boundary"
