  177	  191	proposition	prop:final-package-shape-convention	Final package-shape convention	Problem and contribution
  220	  237	theorem	thm:nested-package-states	Nested six-row and seven-row package states	Problem and contribution
  285	  322	definition	def:architecture-axis-map	Architecture-axis map	Architecture
  324	  338	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	Architecture
  368	  418	theorem	thm:presentation-compressed-interface	Presentation-route compressed interface	Architecture
  598	  615	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	Architecture
  637	  653	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	Architecture
  680	  693	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	Architecture
  710	  739	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	Architecture
  777	  806	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality	Architecture
  842	  855	corollary	cor:downstream-imported-label-bounded-factorization	Downstream imported-label use factors through bounded rows	Architecture
  876	  894	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation	Architecture
  930	  944	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness	Architecture
  968	  988	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction	Architecture
 1026	 1042	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	Architecture
 1145	 1324	definition	def:operational-acceptance-interface	Operational acceptance interface	Operational interface
 1326	 1356	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface	Operational interface
 1358	 1370	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary	Operational interface
 1402	 1424	definition	def:stronger-reading-preorder	Stronger-reading preorder	Operational interface
 1426	 1464	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table	Operational interface
 1466	 1486	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check	Operational interface
 1532	 1566	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract	Operational interface
 1599	 1617	theorem	thm:auditable-compiler-boundary-completeness	Auditable compiler-boundary completeness	Operational interface
 1657	 1693	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form	Operational interface
 1733	 1758	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness	Operational interface
 1812	 1835	theorem	thm:finite-record-method-schema-compression	Verifier-schema compression of the finite-record calculus	Operational interface
 1869	 1886	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture	Operational interface
 1908	 1929	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier	Operational interface
 1970	 2002	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point	Operational interface
 2070	 2096	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction	Operational interface
 2139	 2152	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness	Operational interface
 2178	 2208	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records	Operational interface
 2280	 2303	theorem	thm:executable-record-non-escalation	Executable record non-escalation	Operational interface
 2338	 2362	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant	Operational interface
 2406	 2413	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch	Operational interface
 2427	 2457	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction	Operational interface
 2490	 2530	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary	Operational interface
 2588	 2591	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary	Operational interface
 2598	 2627	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary	Operational interface
 2667	 2701	theorem	thm:six-coordinate-gate-implementation-soundness-skeleton	Six-coordinate gate-implementation soundness skeleton	Operational interface
 2744	 2768	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton	Operational interface
 2845	 2883	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form	Operational interface
 2932	 2961	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine	Operational interface
 3009	 3038	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain	Operational interface
 3076	 3081	proposition	prop:gate-interface-separation	Gate-interface separation	Operational interface
 3100	 3118	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence	Operational interface
 3148	 3161	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating	Operational interface
 3229	 3245	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation	Operational interface
 3273	 3347	theorem	thm:publication-safety-interface	Conditional finite-record publication audit interface	Operational interface
 3408	 3429	theorem	thm:gate-implementation-soundness-upgrade-obstruction	Gate implementation-soundness upgrade obstruction	Operational interface
 3575	 3604	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity	Operational interface
 3657	 3712	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation	Operational interface
 3793	 3839	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton	Operational interface
 3899	 3948	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package	Operational interface
 4018	 4066	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction	Operational interface
 4128	 4199	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound	Operational interface
 4267	 4295	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor	Operational interface
 4331	 4350	proposition	prop:publication-safety-maximality	Finite-record maximality	Operational interface
 4375	 4399	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance	Operational interface
 4424	 4438	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness	Operational interface
 4471	 4507	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings	Operational interface
 4557	 4577	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy	Operational interface
 4606	 4634	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade	Operational interface
 4706	 4745	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger	Operational interface
 4816	 4885	theorem	thm:current-package-certificate-exactness	Current-package path-verified ledger-relative certificate exactness	Operational interface
 4975	 4997	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary	Operational interface
 5054	 5070	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance	Operational interface
 5096	 5132	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity	Operational interface
 5189	 5214	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation	Operational interface
