COMPILED FILES
main.tex
sec_introduction.tex
sec_introduction_core.tex
sec_introduction_scalar_and_plan.tex
sec_preliminaries.tex
sec_chebotarev.tex
sec_chebotarev_main_inversion.tex
sec_chebotarev_fixed_label_and_boundary.tex
sec_chebotarev_peter_weyl_bridge.tex
sec_chebotarev_class_mertens.tex
sec_chebotarev_class_mertens_overview.tex
sec_chebotarev_class_mertens_additive.tex
sec_chebotarev_class_mertens_products.tex
sec_chebotarev_class_mertens_rigidity_core.tex
sec_chebotarev_class_mertens_rigidity_consequences.tex
sec_chebotarev_class_mertens_equivalence.tex
sec_chebotarev_class_mertens_determinants.tex
sec_chebotarev_class_mertens_obstruction.tex
sec_chebotarev_readout.tex
sec_eta_gap.tex
sec_shadows.tex
sec_shadows_quotient_boundary.tex
sec_shadows_abelian_and_cyclic.tex
sec_shadows_s3_certificates.tex
sec_finite_part.tex
sec_conclusion.tex
sec_appendices_s3_model.tex
sec_appendices_s3_certificates.tex
sec_appendices_fixed_label_certificates.tex

ENVIRONMENTS
sec_introduction_core.tex:233	proposition	prop:intro-finite-state-transfer-split	Finite-dimensional determinant reduction
sec_preliminaries.tex:106	proposition	prop:prelim-trace-primitive	Trace, primitive orbits, and Euler product
sec_preliminaries.tex:143	lemma	lem:pf-trace-bound	Perron--Frobenius trace bound
sec_preliminaries.tex:200	lemma	lem:primitive-orbit-asymptotic	Primitive M\"obius asymptotic
sec_preliminaries.tex:383	proposition	prop:finite-state-data-collection	Finite-state determinant data
sec_preliminaries.tex:472	lemma	lem:simple-eigenvalue-reduced-constant	Reduced constant at a simple eigenvalue
sec_preliminaries.tex:521	definition	def:abel-finite-part	Abel finite-part constant
sec_preliminaries.tex:567	definition	def:spectral-fingerprints	Fixed-matrix cyclic-lift records
sec_chebotarev_main_inversion.tex:59	proposition	prop:main-theorem-i-assembly-map	Finite determinant assembly for Main Theorem I
sec_chebotarev_main_inversion.tex:207	proposition	prop:class-indicator-expansion	Conjugacy-class expansion
sec_chebotarev_main_inversion.tex:247	proposition	prop:kernel-peter-weyl-block-diagonalisation	Peter--Weyl determinant factorisation
sec_chebotarev_main_inversion.tex:341	lemma	lem:twisted-gap-skew-product-peripheral	Twisted gap as a skew-product peripheral-spectrum condition
sec_chebotarev_main_inversion.tex:423	proposition	prop:twisted-spectral-radius-bound	Twisted spectral-radius bound
sec_chebotarev_main_inversion.tex:499	lemma	lem:twisted-trace-identity	Twisted trace identity
sec_chebotarev_main_inversion.tex:560	theorem	thm:class-function-linearisation	Main Theorem I(a): class-function determinant linearisation
sec_chebotarev_fixed_label_and_boundary.tex:1	lemma	lem:class-logarithm-primitive-expansion	Primitive expansion of class-function logarithms
sec_chebotarev_fixed_label_and_boundary.tex:48	remark	rem:ordinary-mobius-stops	Where ordinary M\"obius inversion stops
sec_chebotarev_fixed_label_and_boundary.tex:66	corollary	cor:class-function-adams-mobius	Main Theorem I(b): Adams--M\"obius primitive inversion
sec_chebotarev_fixed_label_and_boundary.tex:177	theorem	thm:fixed-label-euler-transform	Fixed-label Euler transform with Perron branch convention
sec_chebotarev_fixed_label_and_boundary.tex:294	proposition	prop:logarithmic-channel-separation	Periodic, primitive, and fixed-label logarithms
sec_chebotarev_fixed_label_and_boundary.tex:357	lemma	lem:perron-boundary-trace-power-majorant	Trace-power majorant for Perron-boundary determinant logarithms
sec_chebotarev_fixed_label_and_boundary.tex:477	lemma	lem:fixed-label-perron-double-majorant	Perron-boundary majorant for the fixed-label double series
sec_chebotarev_fixed_label_and_boundary.tex:526	remark	rem:adams-mobius-literature-position	Relation to necklace/Witt inversion and twisted-zeta precedents
sec_chebotarev_peter_weyl_bridge.tex:35	lemma	lem:adams-coefficients-bounded	Uniform bound for Adams decomposition coefficients
sec_chebotarev_peter_weyl_bridge.tex:65	remark	rem:adams-coefficients-periodic	Periodicity of Adams coefficients
sec_chebotarev_peter_weyl_bridge.tex:79	corollary	cor:primitive-peter-weyl-determinant	Main Theorem I(c): irreducible-channel determinant formula
sec_chebotarev_peter_weyl_bridge.tex:137	remark	rem:abelian-toy-model-cyclic	Abelian toy model: the cyclic lift
sec_chebotarev_peter_weyl_bridge.tex:164	theorem	thm:primitive-peter-weyl-trace	Main Theorem I(d): primitive Peter--Weyl trace formula
sec_chebotarev_peter_weyl_bridge.tex:191	corollary	cor:primitive-peter-weyl-trace	Finite trace formula for primitive coefficients
sec_chebotarev_peter_weyl_bridge.tex:236	proposition	prop:class-primitive-decomposition	Conjugacy-class primitive decomposition
sec_chebotarev_peter_weyl_bridge.tex:271	theorem	thm:class-count-trace-recovery	Main Theorem I(e): class-count trace recovery
sec_chebotarev_peter_weyl_bridge.tex:355	lemma	lem:class-primitive-trivial-split	Trivial and non-trivial class decomposition
sec_chebotarev_peter_weyl_bridge.tex:375	lemma	lem:nontrivial-peter-weyl-channel-bound	Non-trivial Peter--Weyl channel bound
sec_chebotarev_peter_weyl_bridge.tex:470	lemma	lem:nontrivial-perron-point-convergence	Absolute convergence at the Perron point
sec_chebotarev_peter_weyl_bridge.tex:494	lemma	lem:abel-correction-sum	Abel limit equals the ordinary correction sum
sec_chebotarev_peter_weyl_bridge.tex:537	lemma	lem:geometric-harmonic-tail	Geometric-harmonic tails
sec_chebotarev_peter_weyl_bridge.tex:563	lemma	lem:harmonic-log-remainder	Harmonic-log remainder bound
sec_chebotarev_peter_weyl_bridge.tex:615	lemma	lem:perron-channel-contribution	Perron-channel contribution
sec_chebotarev_class_mertens_overview.tex:55	proposition	prop:class-mertens-product-dependency-chain	Finite determinant dependence for Main Theorems II--III
sec_chebotarev_class_mertens_overview.tex:303	remark		Product-constant refinements
sec_chebotarev_class_mertens_additive.tex:15	theorem	thm:class-mertens-explicit	Main Theorem II(a): class Mertens theorem under the stated twisted spectral gap
sec_chebotarev_class_mertens_additive.tex:270	corollary	cor:class-mertens-log-form	Logarithmic form of Main Theorem II
sec_chebotarev_class_mertens_products.tex:11	lemma	lem:class-euler-product-tail-bound	Explicit product-tail bound
sec_chebotarev_class_mertens_products.tex:93	proposition	prop:main-ii-iii-uniform-remainders	Uniform remainders for the class Mertens and product formulae
sec_chebotarev_class_mertens_products.tex:153	lemma	lem:class-product-log-to-product-error	Exponentiating the class product logarithm
sec_chebotarev_class_mertens_products.tex:179	proposition	prop:class-euler-product-main-chain-reduction	Product-tail reduction from the additive Mertens formula
