174	proposition	prop:final-package-shape-convention	Final package-shape convention
223	theorem	thm:nested-package-states	Nested six-row and seven-row package states
288	definition	def:architecture-axis-map	Architecture-axis map
327	proposition	prop:architecture-axis-non-escalation	Axis non-escalation
487	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness
526	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation
569	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface
599	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison
666	theorem	thm:bounded-source-interface-maximality	Bounded source-interface maximality
731	theorem	thm:public-source-reachability-non-escalation	Public-source reachability non-escalation
785	corollary	cor:public-source-coordinate-exactness	Public-source coordinate exactness
823	theorem	thm:source-interface-semantic-completeness-obstruction	Source-interface semantic-completeness obstruction
881	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation
972	definition	def:operational-acceptance-interface	Operational acceptance interface
1153	definition	def:record-gate-soundness-external-interface	Record-gate soundness external interface
1185	proposition	prop:record-gate-soundness-external-interface-exactness	Record-gate interface equivalence and non-claim boundary
1229	definition	def:stronger-reading-preorder	Stronger-reading preorder
1253	definition	def:certificate-schema-acceptance-table	Certificate-schema acceptance table
1293	proposition	prop:finite-certificate-schema-verifier	Finite certificate schema verifier as a record check
1359	theorem	thm:verifier-input-output-contract	Verifier input--predicate--output contract
1426	theorem	thm:finite-verifier-normal-form	Executable-record verifier normal form
1502	theorem	thm:record-acceptance-exactness	Schema-relative executable-record acceptance exactness
1562	corollary	cor:executable-schema-exactness-negative-fixture	Executable schema exactness and negative fixture
1601	theorem	thm:finite-coordinate-determination-boundary	Finite-coordinate determination and trust-boundary classifier
1663	theorem	thm:record-interface-rigidity	Record-interface rigidity and refresh fixed point
1763	theorem	thm:record-gate-implementation-overclaim-obstruction	Record-gate implementation overclaim obstruction
1819	corollary	cor:finite-record-acceptance-not-implementation-soundness	Finite-record acceptance is not implementation soundness
1858	proposition	prop:machine-readable-certificate-records	Machine-readable certificate records
1960	theorem	thm:executable-record-non-escalation	Executable record non-escalation
2018	theorem	thm:executable-certificate-construction-invariant	Executable certificate-construction invariant
2086	proposition	prop:claim-kind-dispatch	Deterministic claim-kind dispatch
2107	theorem	thm:mixed-claim-projection-obstruction	Mixed-claim projection obstruction
2170	theorem	thm:concrete-finite-script-implementation-soundness	Concrete finite-script projection-contract boundary
2268	corollary	cor:finite-script-rgs-instantiation-boundary	Finite-script projection instantiation boundary
2278	theorem	thm:assigned-gate-soundness-audit-boundary	Assigned-gate soundness audit boundary
2347	theorem	thm:finite-certificate-obstruction-skeleton	Finite certificate obstruction skeleton
2448	theorem	thm:finite-extension-budget-normal-form	Finite extension-budget normal form
2535	theorem	thm:finite-record-certificate-calculus-spine	Finite-record certificate calculus spine
2612	proposition	prop:publication-safety-dependency-normal-form	Dependency normal form for the publication-safety chain
2679	proposition	prop:gate-interface-separation	Gate-interface separation
2703	corollary	cor:human-promotion-daemon-active-track-separation	Human promotion is not daemon-visible active-track equivalence
2751	proposition	prop:scheduler-selection-advisory	Scheduler selection is advisory before discovery gating
2828	proposition	prop:publication-safety-minimal-bad-record-witness	Minimal bad-record witness for command-run escalation
2872	theorem	thm:publication-safety-interface	Bounded software-audit interface under record-gate soundness
3083	theorem	thm:finite-record-certificate-rigidity	Finite-record certificate rigidity
3165	theorem	thm:boundary-axis-non-escalation-exactness	Boundary-axis exact non-escalation
3301	theorem	thm:mixed-interface-overclaim-skeleton	Mixed-interface overclaim skeleton
3407	theorem	thm:presentation-scoped-boundary-normal-form	Package-local boundary normal form for the presentation package
3526	theorem	thm:five-axis-upgrade-obstruction	Package-local five-axis upgrade obstruction
3636	theorem	thm:current-boundary-skeleton-non-gluing	Current package-local boundary skeleton and non-gluing lower bound
3747	proposition	prop:certificate-constructor-bad-subrecord-extractor	Certificate constructor and bad-subrecord extractor
3811	proposition	prop:publication-safety-maximality	Finite-record maximality
3855	corollary	cor:publication-safety-current-package-instance	Current-package bounded source-level audit instance
3904	corollary	cor:finite-record-gate-soundness-boundary	Finite-record boundary for external gate soundness
3951	theorem	thm:implementation-soundness-extension-criterion	Boundary extension criterion for implementation-soundness readings
4037	corollary	cor:submitted-gate-implementation-contract-dichotomy	Submitted gate-implementation contract dichotomy
4086	theorem	thm:external-interface-projection-no-free-upgrade	External-interface projection and no-free-implementation upgrade
4186	proposition	prop:current-package-acceptance-certificate-ledger	Current-package acceptance and certificate ledger
4296	theorem	thm:current-package-certificate-exactness	Current-package bounded schema-relative certificate exactness
4420	theorem	thm:manual-ledger-dependence-boundary	Ledger dependence and semantic extractor-completeness boundary
4499	corollary	cor:row-frozen-current-package-invariance	Row-frozen current-package invariance
4541	theorem	thm:current-package-extension-coordinate-rigidity	Current-package extension-coordinate rigidity
4634	theorem	thm:current-package-semantic-non-escalation	Current-package semantic non-escalation
4700	theorem	thm:named-boundary-positive-coordinate-classification	Named boundary positive-coordinate classification
4810	corollary	cor:current-package-path-verified-instantiation	Current package path-verified instantiation
4913	lemma	lem:gate-witness-criterion	Gate-witness criterion
4938	proposition	prop:path-complete-case-witnesses	Path-complete case witnesses
5066	proposition	prop:review-bundle-case-snapshot-coverage	Review-bundle case-snapshot coverage
5125	theorem	thm:case-witness-skeleton-rigidity	Case-witness skeleton rigidity
5268	proposition	audit:fresh-venue-record-criterion	Fresh venue-record criterion
5311	theorem	thm:venue-rule-freshness-non-escalation	Venue-rule freshness non-escalation
5355	corollary	cor:historical-venue-record-non-escalation	Historical venue record non-escalation
5385	corollary	cor:upload-time-venue-compliance-record-requirement	Upload-time venue-compliance record requirement
5434	proposition	prop:round-five-venue-record-instantiation	Round-five venue-record instantiation
5485	proposition	audit:venue-submission-pack-gate	Venue-submission pack gate
5556	proposition	audit:submission-artifact-role-separation	Submission artifact role separation
5648	proposition	prop:formal-source-gate-instantiation	Formal-source gate instantiation
