line	end	env	label	title	section	hasproof	summary
144	156	proposition	prop:final-package-shape-convention	Final package-shape convention	section: Problem and contribution	True	For the current presentation package there is a single source-level package shape. The primary article is submission_abstract.tex; the selected technical supplement is main.tex; the selected bounded theorem-obligation ledger is theorem_inventory.json; and the selected supplemental support surface is exact inclusion of review_bundle/ with the final digest record review_bundle/FINAL_DIGESTS_SHA256.md. No archive locato
183	200	theorem	thm:nested-package-states	Nested six-row and seven-row package states	section: Problem and contribution	True	Let P^{+}_{6} denote the current row-frozen certificate state whose accepted rows are exactly a_1,,a_6 in Table~tab:current-acceptance-ledger. Let P^{+}_{7} denote the enlarged submitted support state obtained by adjoining the single theorem-ledger row a_7 whose submitted coordinate is theorem_inventory.json. Then P^{+}_{6} P^{+}_{7} as finite record surfaces, and the inclusion is conservative for the first six certi
248	285	definition	def:architecture-axis-map	Architecture-axis map	section: Architecture	False	The compiler architecture uses five disjoint evidence axes. An accepted claim may read evidence from an axis only at the admissible evidence level shown in the displayed axis map; the negative boundary in the last column is part of the claim certificate and cannot be discharged by prose from another axis. {}{p{.16}p{.27}p{.27}X} Axis & Role in this paper & Admissible evidence & Negative boundary \\ BEDC source theory
287	301	proposition	prop:architecture-axis-non-escalation	Axis non-escalation	section: Architecture	True	In any record-gate-sound package using Definition~def:architecture-axis-map, passage or evidence on one architecture axis cannot certify a load-bearing claim whose claim kind requires another axis. More precisely, if a claim certificate uses an axis A but its stronger reading needs an evidence item or negative-boundary discharge listed only on a different axis A', then the stronger reading is not accepted unless the 
447	464	lemma	lem:source-interface-extraction-correctness	Manual bounded source-interface extraction correctness	section: Architecture	True	For the pinned newmath repository path papers/bedc/parts/visions/audit_map_methodology/automated_theory_discovery_pipeline_calculus.tex at commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record is the complete imported interface used by this paper at the manual path-verified level and only at that level. Its extraction certificate is: manual line-range audit against the pinned file, mirror
486	502	proposition	prop:manual-source-interface-non-escalation	Manual source-interface non-escalation	section: Architecture	True	Let I be the imported discovery-gate interface certified by Lemma~lem:source-interface-extraction-correctness. Any later use of an imported source label in this paper is a consequence of I only if it is a function of the finite fields recorded in Table~tab:source-interface-record: the source path, pinned commit, label, line range, extraction date, bounded summary, and evidence-level qualifier. A proposed stronger use
529	542	proposition	prop:reviewable-source-snapshot-interface	Reviewable source-snapshot interface	section: Architecture	True	The imported discovery-gate spine used in the finite-record interface theorem, Theorem~thm:publication-safety-interface, has a reviewer-facing source interface. Namely, the tuple consisting of the pinned local source path, commit 3fb3d6a0641767388a401883062aa522ea0b397b, Table~tab:source-interface-record, source_interface_record.json, and the supplemental copy review_bundle/source_snapshots/automated_theory_discovery
559	589	proposition	prop:source-interface-record-file-consistency	Executable source-interface record comparison	section: Architecture	True	The source-interface table, its JSON mirror, and the bundled source snapshot give one record-level imported discovery-gate interface for the finite-record interface theorem, Theorem~thm:publication-safety-interface. The record fields are as follows: the source commit is 3fb3d6a0641767388a401883062aa522ea0b397b; the bundled snapshot is review_bundle/source_snapshots/automated_theory_discovery_pipeline_calculus_3fb3d6a
628	644	proposition	prop:source-interface-evidence-level-separation	Source-interface evidence-level separation	section: Architecture	True	Let r be any accepted manuscript claim whose discovery component cites one of the imported labels in Table~tab:source-interface-record. If r uses only Lemma~lem:source-interface-extraction-correctness, then the imported-label premise of r is accepted only at the manual path-verified bounded-paraphrase level. If r additionally cites Proposition~prop:source-interface-record-file-consistency, then the same premise is up
715	894	definition	def:operational-acceptance-interface	Operational acceptance interface	subsection: Abstract finite-record interface	False	A claim is a manuscript assertion that can affect a mathematical, artifact, route, or submission decision. A load-bearing claim is a claim whose removal would change a theorem statement, a case-study conclusion, or the submission-readiness status. An advisory output is any AI-agent draft, score, suggested theorem, review packet, or repair proposal before a gate records it. A deterministic gate is a repeatable predica
