file	line	env	title	labels	proof_after	body_start
sec_introduction_core.tex	237	proposition	Class-product calibration from fixed-label Euler coordinates	prop:intro-class-product-calibration;stmt:intro-class-product-calibration	yes	 \label{prop:intro-class-product-calibration} \label{stmt:intro-class-product-calibration} Under the hypotheses of Main Theorem~III the product constants satisfy \[ -\frac{|G|}{|C|}\log K_C-(\gamma+\log C(A)) = \sum_{\varrho\ne\mathbf1} \chi_\varrho^\ast(C)F_\varrho(\lambda^{-1}) \] for each conjugacy class \(C\), with \(\chi_\varrho^\ast(C)=\overline{\chi_\varrho(C)}\). Thus, after the scalar normalisation \(C(A)\) is fixed, the non-trivial fixed-label Euler vector is equivalent to the class-pr
sec_introduction_core.tex	288	proposition	Finite-state transfer split for the main theorem chain	prop:intro-finite-state-transfer-split;stmt:intro-finite-state-dependency	yes	 \label{prop:intro-finite-state-transfer-split} \label{stmt:intro-finite-state-dependency} The proofs of Main Theorems~I--III depend only on the finite adjacency matrix \(A\), the finite group \(G\), the twisted matrices \(A_\varrho\), the character table and Adams coefficients of \(G\), the Perron root \(\lambda\), and, for the Perron-point statements, the strict gap \(\eta<\lambda\). Scalar normalisation is used in the product formula through \(C(A)\) and \(\mathcal M(A)=\gamma+\FP(A)\); its i
sec_introduction_core.tex	372	theoremsummary	Main Theorem I: finite determinant recovery of primitive channels	stmt:main-theorem-i-adams-mobius-linearisation;stmt:intro-adams-mobius-linearisation;stmt:intro-finite-group;stmt:intro-adams-mobius	yes	 \phantomsection\label{stmt:main-theorem-i-adams-mobius-linearisation} \label{stmt:intro-adams-mobius-linearisation} \label{stmt:intro-finite-group} \label{stmt:intro-adams-mobius} Let \(A\) be primitive and let \(\tau:E_A\to G\) be a finite-group edge cocycle. For every class function \(\phi:G\to\CC\), the primitive label series \(\Pi_\phi(z)\) on \(|z|<\lambda^{-1}\) is determined by the finite family of twisted determinant polynomials \[ \{\det(I-zA_\varrho):\varrho\in\Irr(G)\} \] together wi
sec_introduction_core.tex	405	theoremsummary	Main Theorem II: Perron-point class Mertens constants	stmt:main-theorem-ii-class-mertens-constants;stmt:intro-class-mertens-constants;stmt:intro-class-mertens	yes	 \phantomsection\label{stmt:main-theorem-ii-class-mertens-constants} \label{stmt:intro-class-mertens-constants} \label{stmt:intro-class-mertens} Assume \(\lambda>1\) and the twisted spectral gap \(\eta=\max_{\varrho\neq\mathbf1}\rho(A_\varrho)<\lambda\). Then for every conjugacy class \(C\subset G\), \[ \sum_{n\le N}\frac{p_{n,C}}{\lambda^n} = \frac{|C|}{|G|}\log N+\mathcal M_C(A,\tau;G)+O(N^{-1}), \] where \[ \mathcal M_C(A,\tau;G)= \frac{|C|}{|G|}\biggl(\mathcal M(A)+ \sum_{\varrho\neq\mathbf1
sec_introduction_core.tex	442	theoremsummary	Main Theorem III: Adams-corrected Frobenius-class Euler-product constants	stmt:main-theorem-iii-adams-frobenius-products;stmt:intro-adams-frobenius-products	yes	 \phantomsection\label{stmt:main-theorem-iii-adams-frobenius-products} \label{stmt:intro-adams-frobenius-products} Under the hypotheses of Main Theorem~II, namely \(\lambda>1\) and the strict twisted spectral gap \(\eta<\lambda\), define the fixed-label Euler transform \[ F_\varrho(z):=\sum_{r\ge1}\frac{\Pi_\varrho(z^r)}{r}. \] This is distinct from the periodic Artin logarithm \(\mathcal L_\varrho(z)=\sum_{r\ge1}\Pi_{\psi^r\varrho}(z^r)/r\) in general. For every conjugacy class \(C\), \[ P_C(N)
sec_introduction_scalar_and_plan.tex	51	proposition	Roadmap: scalar finite-part computation	prop:intro-scalar-finite-part-computation;thm:intro-finite-part;stmt:intro-scalar-finite-part-computation;stmt:intro-finite-part	yes	 \label{prop:intro-scalar-finite-part-computation} \label{thm:intro-finite-part} \label{stmt:intro-scalar-finite-part-computation} \label{stmt:intro-finite-part} For a primitive non-negative matrix \(A\) with Perron root \(\lambda>1\), the body proves \begin{align*} \FP(A) &=\log C(A) +\sum_{k\ge 2}\frac{\mu(k)}{k} \log\det(I-\lambda^{-k}A)^{-1} \\ &=\log C(A)+\sum_{n\ge1}p_n(A) \bigl(\lambda^{-n}+\log(1-\lambda^{-n})\bigr), \end{align*} and hence \(\mathcal M(A)=\gamma+\FP(A)\). This is exactly
sec_introduction_scalar_and_plan.tex	95	corollary	Quotient shadow and scalar boundary	thm:intro-quotient-shadow;stmt:intro-quotient-shadow	yes	 \label{thm:intro-quotient-shadow} \label{stmt:intro-quotient-shadow} Assume the hypotheses of Main Theorem~II. For every finite quotient \(q:G\twoheadrightarrow Q\) and every class function \(f\) on \(Q\), the pullback \(q^\ast f\) satisfies \[ \mathcal L^G_{q^\ast f}(z)=\mathcal L^Q_f(z), \qquad \Pi^G_{q^\ast f}(z)=\Pi^Q_f(z) \quad(|z|<\lambda^{-1}). \] At the Perron point, the cyclic quotients of the fixed cocycle detect exactly the one-dimensional Peter--Weyl shadow of the normalised primiti
sec_preliminaries.tex	99	proposition	Trace, primitive orbits, and Euler product	prop:prelim-trace-primitive;eq:zeta-def	yes	 \label{prop:prelim-trace-primitive} For the adjacency matrix \(A\) of a primitive finite directed multigraph, the dynamical \(\zeta\)-function satisfies \begin{equation}\label{eq:zeta-def} \zeta_A(z) :=\exp\!\left(\sum_{n\ge 1}\frac{\Tr(A^n)}{n}z^n\right) =\frac{1}{\det(I-zA)} =\prod_{n\ge 1}(1-z^n)^{-p_n(A)}. \end{equation} 
sec_preliminaries.tex	133	lemma	Perron--Frobenius trace bound	lem:pf-trace-bound	yes	 \label{lem:pf-trace-bound} Let \(A\) be a primitive non-negative \(d\times d\) matrix with Perron root \(\lambda=\rho(A)\). Then \[ \abs{\Tr(A^n)}\le d\,\lambda^n \qquad (n\ge 1). \] In particular, there is a constant \(C_A>0\) such that \[ \abs{\Tr(A^n)}\le C_A\lambda^n \qquad (n\ge 1). \] 
sec_preliminaries.tex	186	lemma	"Primitive M\""obius asymptotic"	lem:primitive-orbit-asymptotic	yes	 \label{lem:primitive-orbit-asymptotic} Let \(A\) be a primitive non-negative matrix with Perron root \(\lambda>1\), and let \[ \Lambda(A):=\max\{|\mu|:\mu\in\spec(A),\ \mu\neq\lambda\}. \] If the set is empty, put \(\Lambda(A)=0\). Then \[ \Tr(A^n)=\lambda^n+O(\Lambda(A)^n) \] and \[ K_{\mathrm{PF}}(A) := \begin{cases} \displaystyle \sup_{n\ge 1} \frac{\abs{\Tr(A^n)-\lambda^n}}{\Lambda(A)^n}, & \Lambda(A)>0, \\[2ex] 0, & \Lambda(A)=0, \end{cases} \qquad K_{\mathrm{tr}}(A) := \sup_{\ell\ge 1}\fr
